SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000031,460,0,0,0,0,5500900,34,0,0,0,0,0,34,0,0,34,0,0,64832
2022HU0000097,0,0,1,1,1,5501000,202,0,0,202,0,0,0,202,0,0,0,0,10006
2022HU0000398,501,0,0,0,0,5500100,20,0,0,0,0,0,20,0,20,0,0,0,140712
2022HU0000432,28,0,0,0,0,5500100,25,0,0,0,0,0,25,0,25,25,25,0,3857
2022HU0000446,265,0,0,0,0,5502807,112,0,0,0,0,0,112,0,0,112,0,0,36585
2022HU0000618,501,0,0,0,0,5500502,120,120,0,120,0,0,120,0,0,0,0,0,167187
2022HU0000628,283,0,0,0,0,5502808,168,0,0,0,0,0,168,0,0,0,0,0,57327
2022HU0000703,501,0,0,0,0,5502000,31,0,0,0,0,0,31,0,0,0,0,0,109443
2022HU0000710,287,0,0,0,0,5501900,279,0,0,0,0,0,279,0,0,279,0,0,42214
2022HU0000727,501,0,0,0,0,5502900,178,0,0,0,0,0,178,0,0,0,0,0,165727
2022HU0000754,474,0,0,0,0,5500200,18,0,0,0,0,0,18,0,0,18,0,0,85991
2022HU0000844,338,0,0,0,0,5502300,23,0,0,0,0,0,23,0,0,0,23,0,72128
2022HU0000983,327,0,0,0,0,5502803,809,0,0,809,0,0,0,0,0,0,0,0,94850
2022HU0001047,327,0,0,1,0,5502300,128,0,0,0,0,0,128,0,0,0,128,0,96935
2022HU0001054,501,0,0,0,0,5500100,36,0,0,0,0,0,36,0,0,0,0,0,193244
2022HU0001104,501,0,0,1,0,5500600,35,0,0,0,0,0,35,0,35,35,0,0,89430
2022HU0001143,501,0,0,0,0,5502802,131,0,131,0,0,0,131,131,0,131,0,0,273085
2022HU0001166,328,0,0,0,0,5501900,17,0,0,0,0,0,17,0,0,0,0,17,205231
2022HU0001169,501,0,0,0,0,5500200,34,0,0,0,0,0,34,0,0,34,34,0,478421
2022HU0001176,270,0,0,0,0,5500501,86,0,0,86,0,0,86,0,0,0,0,0,63060
2022HU0001266,452,0,0,0,0,5501800,28,0,0,0,0,0,28,0,0,28,0,0,64623
2022HU0001277,203,1,0,1,1,5502600,214,0,0,0,0,0,214,0,0,214,214,0,27517
2022HU0001288,280,0,0,0,0,5500300,32,0,0,0,0,0,32,0,0,0,0,0,42526
2022HU0001319,501,0,0,0,0,5502103,90,0,0,0,0,0,90,0,0,0,0,0,83385
2022HU0001337,283,0,0,0,0,5502000,138,0,0,0,0,0,138,0,0,0,0,0,76089
2022HU0001541,253,0,0,0,0,5501500,164,0,0,164,0,0,164,0,0,0,0,0,47946
2022HU0001686,258,0,0,0,0,5502805,339,0,0,0,0,0,339,0,0,339,0,0,35960
2022HU0001845,363,0,0,0,0,5500800,21,0,0,0,0,0,21,0,0,0,0,0,57327
2022HU0001969,263,0,0,0,0,5501100,11,11,0,0,0,0,11,0,0,11,11,0,92245
2022HU0001993,234,0,0,0,0,5502300,88,0,0,0,0,0,88,0,0,88,88,0,32207
2022HU0002031,417,0,0,0,0,5500600,234,0,0,0,0,0,234,0,0,0,0,0,62539
2022HU0002038,387,0,0,0,0,5500200,64,0,0,0,0,0,64,0,64,64,64,0,67333
2022HU0002053,303,0,0,0,0,5501100,19,0,0,0,0,0,19,0,0,0,0,0,87554
2022HU0002095,92,0,0,0,0,5502105,165,0,0,0,0,0,165,0,0,165,0,0,16885
2022HU0002154,296,0,0,0,0,5502802,183,0,0,0,0,0,183,0,0,0,0,0,97977
2022HU0002170,120,0,0,1,0,5501900,24,24,0,0,0,0,24,0,0,24,0,0,28757
2022HU0002294,286,0,0,0,0,5500800,35,0,0,0,0,0,35,0,0,0,0,0,43777
2022HU0002352,501,0,1,1,0,5501800,13,0,0,0,0,0,13,0,0,13,13,0,168959
2022HU0002426,141,0,0,0,1,5500600,106,0,0,0,0,0,106,0,106,106,0,0,20012
2022HU0002485,487,0,0,0,0,5502200,100,0,0,0,0,0,100,100,0,0,100,0,101104
2022HU0002513,218,0,0,0,0,5500100,19,0,0,0,0,0,19,0,0,19,19,0,41734
2022HU0002603,417,0,0,0,0,5501400,39,0,0,0,0,0,39,0,0,39,39,0,78851
2022HU0002605,430,0,0,0,0,5500600,41,0,0,0,0,0,41,0,0,41,0,0,81300
2022HU0002771,398,0,0,0,0,5502502,234,0,0,0,0,0,234,0,0,0,0,0,117781
2022HU0002788,441,0,0,0,0,5501500,67,0,0,0,0,0,67,0,67,0,0,0,88596
2022HU0002855,436,0,0,0,0,5500100,30,0,0,0,0,0,30,0,0,0,30,0,131540
2022HU0002870,110,0,0,1,0,5501900,24,0,0,0,0,0,24,0,0,24,0,0,15947
2022HU0002938,275,0,0,0,0,5500502,39,0,0,0,0,0,39,0,39,39,0,0,49614
2022HU0003011,501,0,0,0,0,5502600,32,0,0,0,0,0,32,0,32,32,0,0,107566
2022HU0003028,501,0,0,0,0,5502805,170,0,0,0,0,0,170,0,0,0,0,0,116739
2022HU0003187,357,0,0,0,0,5503000,188,0,0,0,0,0,188,0,0,188,0,0,55034
2022HU0003192,86,0,0,1,1,5500200,37,0,0,0,0,0,37,0,0,37,0,0,12612
2022HU0003272,179,0,0,0,0,5501200,30,0,0,0,0,0,30,0,0,30,0,0,25224
2022HU0003283,284,0,0,0,0,5502802,183,0,0,0,0,0,183,0,0,0,0,0,43777
2022HU0003339,501,0,0,0,0,5502300,47,0,0,0,0,0,47,0,0,0,0,0,138627
2022HU0003356,302,0,0,0,0,5500600,79,0,0,0,0,0,79,0,0,0,0,0,104231
2022HU0003366,156,0,0,1,1,5500900,62,0,0,0,0,0,62,0,0,0,0,0,36481
2022HU0003533,186,0,0,0,0,5500700,60,0,0,0,0,0,60,0,0,60,0,0,35855
2022HU0003653,501,0,0,0,0,5502503,194,0,0,0,0,0,194,0,0,0,0,0,114654
2022HU0003679,170,0,0,1,1,5502805,254,0,0,0,0,0,254,254,0,0,0,254,41692
2022HU0003840,501,0,0,0,0,5501900,14,0,0,0,0,0,14,0,0,14,0,0,379818
2022HU0003930,385,0,0,0,0,5502600,150,0,0,0,0,0,150,0,0,0,0,0,59412
2022HU0004120,63,0,0,1,0,5502802,353,0,0,0,0,0,353,0,0,0,0,0,43777
2022HU0004144,196,0,0,0,0,5501400,26,0,0,0,0,0,26,0,26,0,0,0,70460
2022HU0004166,501,0,0,1,0,5501300,23,0,0,0,0,0,23,0,0,23,23,0,289762
2022HU0004168,501,0,0,0,0,5502103,189,0,0,0,0,0,189,0,0,0,0,0,116739
2022HU0004242,501,0,0,0,0,5501500,360,0,0,0,0,0,360,0,0,0,0,0,112570
2022HU0004306,501,0,0,0,0,5502501,172,0,0,0,0,0,172,0,0,0,0,0,594117
2022HU0004430,501,0,0,0,0,5501400,66,0,0,0,0,0,66,0,0,66,0,0,130602
2022HU0004501,295,0,0,0,0,5502806,284,0,0,0,0,0,284,284,0,0,0,0,84636
2022HU0004633,280,0,0,0,0,5502102,156,0,156,0,0,0,0,0,0,0,0,0,43777
2022HU0004666,501,0,0,0,0,5500100,17,17,0,0,0,0,0,0,0,17,17,0,83176
2022HU0004711,86,0,0,1,1,5500501,346,0,0,0,0,0,346,0,0,0,346,0,97143
2022HU0004750,261,0,0,0,0,5500300,59,0,0,0,0,0,59,0,0,59,59,0,35439
2022HU0004815,368,0,0,0,0,5502501,252,0,0,0,0,0,252,0,0,0,0,0,56285
2022HU0004845,269,0,0,0,0,5502103,100,0,0,0,0,0,100,0,0,0,0,0,41692
2022HU0004879,428,0,0,0,0,5502503,127,0,0,0,0,0,127,0,127,127,0,0,74108
2022HU0004924,194,0,0,1,0,5502400,144,0,0,0,0,0,144,0,0,144,144,0,46383
2022HU0004994,129,0,0,0,0,5500300,171,0,0,0,0,0,171,0,0,171,171,0,19074
2022HU0005021,501,0,0,0,0,5502808,165,0,0,0,0,0,165,0,0,165,0,0,227849
2022HU0005038,501,0,0,0,0,5502600,48,0,0,0,0,0,48,0,0,0,48,0,97769
2022HU0005043,462,0,0,0,0,5500400,71,0,0,0,0,0,71,0,71,71,0,0,80466
2022HU0005087,501,0,0,0,0,5501700,74,0,0,0,0,0,74,0,0,74,0,0,124660
2022HU0005193,91,0,0,1,0,5503000,200,0,0,0,0,0,200,0,0,200,0,0,13133
2022HU0005255,192,0,0,1,0,5501300,29,0,29,0,0,0,29,0,0,0,0,0,66395
2022HU0005260,348,0,0,0,0,5501000,44,0,0,0,0,0,44,0,0,0,0,0,52116
2022HU0005262,300,0,0,1,1,5501700,106,0,0,0,0,0,106,0,0,0,106,0,72962
2022HU0005278,501,0,0,0,0,5500600,50,0,0,0,0,0,50,0,0,0,0,0,176151
2022HU0005325,501,0,0,0,0,5502502,134,0,0,0,0,0,134,0,0,0,0,0,203251
2022HU0005366,501,0,0,0,0,5500502,63,0,0,0,0,0,63,0,0,63,0,0,105690
2022HU0005421,13,0,0,0,1,5503000,129,0,0,0,0,0,129,0,0,129,0,0,1876
2022HU0005440,173,0,0,0,0,5501300,127,0,0,0,0,0,127,0,0,0,0,0,60454
2022HU0005567,273,0,0,0,0,5501500,39,0,0,0,0,0,39,0,0,39,39,0,39295
2022HU0005633,264,0,0,0,0,5502804,260,0,0,260,0,0,0,0,0,0,0,0,53158
2022HU0005704,136,0,0,1,0,5501500,139,0,139,0,0,0,0,0,0,0,0,0,40650
2022HU0005875,173,0,0,1,1,5502300,461,0,0,0,0,0,461,0,0,0,461,0,53158
2022HU0005889,338,0,0,0,0,5501100,49,0,0,0,0,0,49,0,0,0,0,0,52116
