metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
11694,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,3600,0,0,60
11694,0,0,0,0,0,0,0,0,0,0,3721,0,0,3721,0,0,0,61
11694,0,0,0,0,0,0,0,0,0,0,14400,0,0,14400,14400,0,0,120
11694,0,0,0,0,0,0,0,0,0,0,19600,0,0,19600,0,0,0,140
11694,0,0,0,1,0,0,0,0,0,0,12321,0,0,0,0,0,47946,111
11694,0,0,0,1,0,0,0,0,0,0,17161,0,0,0,0,0,0,131
11694,0,0,0,1,0,0,0,0,0,0,42025,0,0,42025,0,0,0,205
11694,0,0,1,1,0,0,0,0,0,0,10201,0,0,10201,0,0,-1251,101
11694,3,0,0,1,0,0,0,0,0,0,109561,0,0,0,0,0,13154,331
11694,3,0,0,1,1,0,0,1600,0,0,1600,1600,0,0,0,0,1042,40
11694,7,0,0,1,1,0,0,16900,0,0,0,0,0,16900,0,0,1001,130
11694,7,1,0,1,1,0,0,87616,0,0,0,0,0,0,0,0,2710,296
11694,8,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,1563,64
11694,8,0,0,1,0,0,0,0,0,0,28224,0,0,0,28224,0,1563,168
11694,10,0,0,1,1,0,0,0,0,0,6724,0,0,0,6724,0,2095,82
11694,11,0,0,1,1,0,0,0,0,0,20449,0,0,0,0,0,1772,143
11694,15,0,0,0,0,0,0,0,0,0,17689,0,0,17689,0,0,2189,133
11694,17,0,0,0,0,0,0,0,0,0,5184,0,0,5184,5184,0,2397,72
11694,17,0,0,0,0,0,0,0,0,0,8281,0,0,8281,0,0,2918,91
11694,29,0,0,1,1,0,0,0,0,0,18769,18769,0,0,0,0,10423,137
11694,30,0,0,1,0,0,0,4356,0,0,0,0,0,4356,0,0,4378,66
11694,32,0,0,0,0,0,0,0,0,0,5476,0,0,5476,0,0,4586,74
11694,41,0,0,1,1,0,0,0,0,0,55696,0,0,0,0,0,8338,236
11694,44,0,0,0,0,0,0,0,0,0,51529,0,0,51529,0,0,6254,227
11694,47,0,0,1,0,0,0,1089,0,0,0,0,0,1089,0,1089,11465,33
11694,47,0,1,1,0,0,0,0,0,0,11025,0,0,0,11025,0,9485,105
11694,51,0,1,1,1,0,0,0,0,0,63504,0,0,63504,63504,0,7109,252
11694,52,0,0,1,0,0,0,0,0,0,41616,0,0,0,0,0,12195,204
11694,52,0,1,1,1,0,0,206116,0,0,206116,0,0,206116,0,0,7744,454
11694,54,0,0,0,0,0,0,0,0,0,2500,0,2500,2500,0,0,7922,50
11694,54,0,0,1,0,0,0,0,0,0,27889,0,0,0,27889,0,10840,167
11694,55,0,1,1,1,0,0,0,0,0,28224,0,0,0,28224,0,15739,168
11694,58,0,0,1,1,0,0,0,0,0,132496,0,0,132496,0,0,22514,364
11694,65,0,0,1,1,0,0,0,0,0,39601,0,0,0,39601,0,10215,199
