SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000341,278,0,0,0,0,5400300,57,0,0,0,0,0,57,0,0,57,0,0,84719
2022HU0000392,159,0,0,0,0,5401200,329,0,0,0,0,0,329,0,0,329,329,0,21889
2022HU0000499,227,0,0,0,0,5400900,79,0,0,0,0,0,79,0,79,79,0,0,44819
2022HU0000569,387,0,0,0,0,5401200,28,0,0,0,0,0,28,28,0,0,0,0,60454
2022HU0000818,501,0,0,0,0,5400300,126,0,0,0,0,0,126,0,0,0,0,0,359597
2022HU0000873,501,0,0,0,0,5400100,40,0,0,0,0,0,40,0,0,0,0,0,161558
2022HU0001402,493,0,0,0,0,5400700,106,0,0,0,0,0,106,0,0,106,106,0,111736
2022HU0001432,400,0,0,0,0,5400300,60,0,0,0,0,0,60,0,0,60,0,0,76089
2022HU0001972,352,0,0,0,0,5400500,72,0,0,0,0,0,72,0,0,0,0,0,68793
2022HU0002124,469,0,0,0,0,5400700,55,0,0,0,0,0,55,0,0,0,0,0,69835
2022HU0002224,16,0,0,1,1,5400900,41,41,0,0,0,0,41,0,0,0,41,0,2397
2022HU0002234,175,0,0,0,0,5400900,131,0,0,0,0,0,131,0,0,131,131,0,31999
2022HU0002795,459,0,0,0,0,5400600,97,0,0,0,0,0,97,0,0,0,0,0,138627
2022HU0002854,398,0,0,0,0,5400100,79,0,0,0,0,0,79,0,0,79,0,0,70252
2022HU0002894,282,0,0,0,0,5400900,64,0,0,0,0,0,64,0,0,0,0,0,41692
2022HU0003424,330,0,0,0,0,5400400,35,0,35,35,0,0,35,0,0,0,0,0,75046
2022HU0004276,497,0,0,0,0,5401200,207,0,0,0,0,0,207,0,0,0,0,0,100479
2022HU0004441,308,0,0,0,0,5400200,116,0,0,0,0,0,116,0,0,0,0,0,90681
2022HU0004808,230,0,0,1,0,5401200,88,0,0,0,0,0,88,0,0,0,0,0,54221
2022HU0005066,230,0,0,0,1,5400200,21,0,0,0,0,0,21,0,0,21,0,0,35543
2022HU0005242,196,0,0,1,0,5400700,17,17,0,0,0,0,17,0,0,17,0,0,33562
2022HU0005276,501,0,0,0,0,5400500,83,0,0,0,0,0,83,0,0,0,0,0,112570
2022HU0005677,91,0,0,1,1,5400700,21,0,0,0,0,0,21,0,0,0,0,0,21680
2022HU0005840,501,0,0,0,0,5400100,131,0,0,0,0,0,131,0,0,131,0,0,151135
2022HU0006270,227,1,0,1,0,5401000,236,0,0,0,0,0,236,0,236,236,0,0,81300
2022HU0006310,281,0,0,0,0,5400500,35,0,0,0,0,0,35,0,0,35,0,0,50761
2022HU0006458,413,0,0,0,0,5400500,79,0,0,0,0,0,79,0,79,0,79,0,93808
2022HU0006459,243,0,0,1,0,5400300,109,0,0,0,0,0,109,0,0,0,0,0,114654
2022HU0006771,501,0,0,0,0,5400200,88,0,0,0,0,0,88,0,0,88,0,0,152907
2022HU0007055,294,0,0,0,0,5401200,52,0,0,0,0,0,52,0,0,52,52,0,52355
2022HU0007071,0,0,0,1,1,5401000,232,0,0,0,0,0,232,0,0,0,232,0,22514
2022HU0007138,254,0,0,0,0,5400800,130,0,0,0,0,0,130,0,0,0,0,0,50073
2022HU0007623,330,0,0,0,0,5401200,124,0,0,0,0,0,124,0,0,0,0,0,52116
2022HU0007711,128,0,1,1,1,5400400,263,0,0,0,0,0,263,0,0,263,263,0,21993
2022HU0007726,61,0,0,0,0,5400900,111,0,0,0,0,0,111,0,0,111,111,0,8338
2022HU0007749,458,0,0,0,0,5400500,59,0,0,0,0,0,59,0,0,0,0,0,104231
2022HU0007795,402,0,0,0,0,5400200,54,0,0,0,0,0,54,0,0,0,0,0,79216
2022HU0008214,6,0,0,1,1,5401000,276,0,0,276,0,0,0,0,0,0,0,0,980
2022HU0008585,501,0,0,0,0,5401200,13,0,0,0,0,0,13,0,0,13,0,0,79216
2022HU0008603,377,0,0,0,0,5400400,81,0,0,0,0,0,81,0,0,81,0,0,57327
2022HU0008704,317,0,0,0,0,5400500,10,0,0,0,0,0,10,0,0,10,0,0,71919
2022HU0009468,306,0,0,0,0,5400900,70,0,0,0,0,0,70,0,0,70,70,0,54826
2022HU0009563,267,0,0,0,0,5400400,146,0,0,0,0,0,146,0,0,0,0,0,175317
2022HU0009667,501,0,1,1,0,5400600,154,0,0,0,0,0,154,0,0,154,154,0,176151
2022HU0009747,121,0,0,1,0,5401100,77,0,0,0,0,0,77,0,0,0,77,0,27725
2022HU0010037,247,0,0,0,0,5400400,55,0,0,0,0,0,55,0,0,55,0,0,33562
2022HU0010090,69,0,0,1,0,5400500,42,0,0,0,0,0,42,0,0,0,0,0,20846
2022HU0010280,499,0,0,0,0,5400300,68,0,0,0,0,0,68,0,0,68,0,0,96935
2022HU0010755,402,0,0,0,0,5400800,148,0,0,0,0,0,148,0,0,148,0,0,69574
2022HU0010826,70,0,1,1,0,5400900,279,0,0,0,0,0,279,0,0,279,279,0,10423
2022HU0010829,81,0,0,0,1,5400100,230,0,0,0,0,0,230,0,0,230,0,0,11465
2022HU0010852,420,0,0,0,0,5400100,82,0,0,0,0,0,82,0,0,0,0,0,62539
2022HU0010853,501,0,0,0,0,5400900,252,0,0,0,0,0,252,0,0,0,0,0,104231
2022HU0010937,92,0,0,1,0,5401100,106,0,0,0,0,0,106,0,0,106,106,0,18970
2022HU0011283,365,0,0,0,0,5400100,15,0,0,0,0,0,15,0,0,0,0,0,57640
2022HU0011339,348,1,0,1,1,5400600,86,0,0,0,0,0,86,0,0,0,0,0,72441
2022HU0011423,67,1,1,1,1,5400500,155,0,0,0,0,155,155,0,0,0,155,0,34667
2022HU0011436,181,0,0,0,0,5400300,317,317,0,0,0,0,317,0,0,0,0,0,27100
2022HU0011626,501,0,0,1,0,5400600,64,0,0,0,0,0,64,0,0,64,0,0,316550
2022HU0012187,268,0,0,0,0,5400400,101,0,0,0,0,0,101,0,0,0,0,0,65666
2022HU0012259,188,0,0,0,0,5400800,92,0,0,0,0,0,92,0,0,92,0,0,32312
2022HU0012290,127,1,0,1,1,5401200,51,0,0,0,0,0,51,0,0,51,51,0,23348
2022HU0012453,501,0,0,1,0,5400100,174,0,0,174,0,0,0,0,0,0,0,174,175108
2022HU0012755,48,0,0,1,1,5400200,17,0,0,0,0,0,17,0,0,0,17,0,7088
2022HU0012810,309,0,0,0,0,5400400,134,0,0,0,0,0,134,0,0,0,0,0,46904
2022HU0013076,249,0,0,0,0,5400300,78,0,0,0,0,0,78,0,78,0,0,0,71815
2022HU0013142,303,0,0,0,0,5400600,39,0,0,0,0,0,39,0,0,0,0,0,59412
2022HU0013177,501,0,0,0,0,5400100,53,0,0,0,0,0,53,0,0,53,0,0,97039
2022HU0013596,501,0,0,0,0,5400200,28,0,0,0,0,0,28,0,0,0,0,0,151135
2022HU0013694,501,0,0,0,0,5400900,71,0,0,0,0,0,71,0,0,71,0,0,83906
2022HU0013729,181,0,0,1,0,5400800,65,0,0,0,0,0,65,0,0,65,0,0,26058
2022HU0014025,501,0,0,0,0,5400100,49,0,0,0,0,0,49,0,0,0,0,0,127162
2022HU0014309,54,0,0,0,0,5400300,63,0,0,0,0,0,63,0,0,0,0,0,8547
