puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
5600100,47,71,0,1,1,0,0,0,2209,0,0,2209,2209,0,2209,2209,0,17407
5600100,74,249,0,0,0,0,0,0,0,0,0,5476,0,0,5476,0,0,36272
5600200,146,117,0,0,0,0,21316,0,0,0,0,21316,0,0,21316,0,0,16260
5600400,149,501,0,0,0,0,0,0,0,0,0,22201,0,0,0,0,0,84427
5600400,70,201,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,47946
5600200,112,389,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,58369
5600500,49,161,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,23765
5600300,123,7,0,0,1,1,0,0,0,0,0,15129,0,0,0,15129,0,1251
5600400,246,117,0,0,1,1,0,0,0,0,0,60516,0,0,60516,60516,0,15947
5600100,30,310,0,0,0,0,0,0,0,0,0,900,0,0,900,900,0,42526
5600200,15,162,0,0,0,0,0,0,0,0,0,225,0,225,225,225,0,28393
5600400,88,501,0,0,1,0,0,0,0,0,0,7744,0,0,7744,0,0,79216
5600300,131,288,0,0,0,0,0,0,0,0,0,17161,17161,0,17161,0,0,52876
5600300,93,45,0,0,0,0,0,0,0,0,0,0,0,0,8649,8649,0,6254
5600500,84,143,0,0,1,1,7056,0,0,0,0,0,0,0,0,0,0,44090
5600300,33,501,0,0,0,0,0,0,0,0,0,1089,0,1089,0,0,0,125911
5600300,112,162,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,66708
5600200,96,501,0,0,0,0,0,0,0,0,0,9216,0,0,9216,9216,0,267040
5600200,723,94,0,0,0,0,0,0,0,0,0,522729,0,0,0,0,0,14592
5600100,41,167,0,1,1,0,0,0,0,0,0,1681,1681,0,0,1681,0,69105
