geography_id,geography_desc,geography_desc_full,total_units,"Calculated percentage of units for broadband serviceable locations contained within the geography for which providers report residential fixed broadband service with Copper, Cable, Fiber to the Premises, or Licensed Fixed Wireless technology and speeds of at least 25 / 3 Mbps."
2013,Aleutians East Borough,"Aleutians East Borough, AK",1065,0
2050,Bethel Census Area,"Bethel Census Area, AK",7565,0
2060,Bristol Bay Borough,"Bristol Bay Borough, AK",1191,0
2070,Dillingham Census Area,"Dillingham Census Area, AK",3153,0
2158,Kusilvak Census Area,"Kusilvak Census Area, AK",2918,0
2164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK",2445,0
2282,Yakutat City and Borough,"Yakutat City and Borough, AK",503,0
60030,Rose Island,"Rose Island, AS",,0
60040,Swains Island,"Swains Island, AS",1,0
69085,Northern Islands Municipality,"Northern Islands Municipality, MP",,0
32009,Esmeralda County,"Esmeralda County, NV",818,0.0049
48431,Sterling County,"Sterling County, TX",994,0.018100001
32033,White Pine County,"White Pine County, NV",5193,0.026799999
13101,Echols County,"Echols County, GA",1729,0.0359
2290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",5764,0.0363
48105,Crockett County,"Crockett County, TX",2773,0.038899999
28005,Amite County,"Amite County, MS",8605,0.043000001
28157,Wilkinson County,"Wilkinson County, MS",5853,0.063600004
41069,Wheeler County,"Wheeler County, OR",1187,0.069899999
6091,Sierra County,"Sierra County, CA",2582,0.0713
48461,Upton County,"Upton County, TX",2320,0.072800003
48271,Kinney County,"Kinney County, TX",2421,0.075999998
48235,Irion County,"Irion County, TX",1252,0.077500001
1063,Greene County,"Greene County, AL",5805,0.079899997
13007,Baker County,"Baker County, GA",1936,0.097599998
1105,Perry County,"Perry County, AL",5591,0.1136
28063,Jefferson County,"Jefferson County, MS",4644,0.1236
29035,Carter County,"Carter County, MO",3227,0.12980001
48383,Reagan County,"Reagan County, TX",2283,0.1375
28031,Covington County,"Covington County, MS",10634,0.1508
53043,Lincoln County,"Lincoln County, WA",8242,0.1514
2240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",6542,0.16419999
37095,Hyde County,"Hyde County, NC",4274,0.16779999
28147,Walthall County,"Walthall County, MS",9134,0.1718
29153,Ozark County,"Ozark County, MO",6451,0.1724
35033,Mora County,"Mora County, NM",4383,0.1734
16025,Camas County,"Camas County, ID",1045,0.1742
22085,Sabine Parish,"Sabine Parish, LA",17661,0.178
13125,Glascock County,"Glascock County, GA",1785,0.1821
48103,Crane County,"Crane County, TX",2321,0.184
8093,Park County,"Park County, CO",16187,0.2023
29223,Wayne County,"Wayne County, MO",7143,0.21340001
22037,East Feliciana Parish,"East Feliciana Parish, LA",10642,0.21430001
48351,Newton County,"Newton County, TX",8408,0.21870001
22081,Red River Parish,"Red River Parish, LA",4674,0.2202
54015,Clay County,"Clay County, WV",5309,0.22149999
1007,Bibb County,"Bibb County, AL",11133,0.22229999
2068,Denali Borough,"Denali Borough, AK",2564,0.22499999
28077,Lawrence County,"Lawrence County, MS",7460,0.22840001
54013,Calhoun County,"Calhoun County, WV",4573,0.2325
48301,Loving County,"Loving County, TX",254,0.2362
48327,Menard County,"Menard County, TX",2735,0.242
12059,Holmes County,"Holmes County, FL",10352,0.2458
48051,Burleson County,"Burleson County, TX",13613,0.24609999
29017,Bollinger County,"Bollinger County, MO",6184,0.2474
6003,Alpine County,"Alpine County, CA",1717,0.2516
54001,Barbour County,"Barbour County, WV",10152,0.2536
21201,Robertson County,"Robertson County, KY",1933,0.25709999
51037,Charlotte County,"Charlotte County, VA",8366,0.25889999
40129,Roger Mills County,"Roger Mills County, OK",2859,0.26719999
22025,Catahoula Parish,"Catahoula Parish, LA",6105,0.2757
22091,St. Helena Parish,"St. Helena Parish, LA",5751,0.28130001
22043,Grant Parish,"Grant Parish, LA",10618,0.28490001
29185,St. Clair County,"St. Clair County, MO",6430,0.28510001
1085,Lowndes County,"Lowndes County, AL",6890,0.28639999
13259,Stewart County,"Stewart County, GA",2765,0.2868
2198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",4460,0.28920001
51141,Patrick County,"Patrick County, VA",13650,0.29170001
22127,Winn Parish,"Winn Parish, LA",7762,0.30109999
22107,Tensas Parish,"Tensas Parish, LA",3847,0.30880001
12075,Levy County,"Levy County, FL",27269,0.30970001
54095,Tyler County,"Tyler County, WV",5875,0.31099999
12029,Dixie County,"Dixie County, FL",10470,0.31150001
30079,Prairie County,"Prairie County, MT",972,0.31380001
12065,Jefferson County,"Jefferson County, FL",8449,0.31659999
35003,Catron County,"Catron County, NM",4281,0.3184
39053,Gallia County,"Gallia County, OH",17299,0.3193
28127,Simpson County,"Simpson County, MS",13964,0.31979999
18171,Warren County,"Warren County, IN",5166,0.32249999
22111,Union Parish,"Union Parish, LA",12148,0.32609999
51111,Lunenburg County,"Lunenburg County, VA",7592,0.32960001
30075,Powder River County,"Powder River County, MT",1506,0.33070001
27031,Cook County,"Cook County, MN",6882,0.33090001
22013,Bienville Parish,"Bienville Parish, LA",8900,0.33129999
48405,San Augustine County,"San Augustine County, TX",7591,0.33140001
51021,Bland County,"Bland County, VA",4388,0.33270001
16049,Idaho County,"Idaho County, ID",12190,0.3335
1131,Wilcox County,"Wilcox County, AL",6928,0.33489999
2188,Northwest Arctic Borough,"Northwest Arctic Borough, AK",3455,0.3355
54021,Gilmer County,"Gilmer County, WV",4531,0.33680001
53019,Ferry County,"Ferry County, WA",5365,0.33700001
48419,Shelby County,"Shelby County, TX",16914,0.33750001
28055,Issaquena County,"Issaquena County, MS",1413,0.33759999
6043,Mariposa County,"Mariposa County, CA",11288,0.33919999
48145,Falls County,"Falls County, TX",11081,0.34220001
53047,Okanogan County,"Okanogan County, WA",26072,0.3477
1129,Washington County,"Washington County, AL",10574,0.35139999
26113,Missaukee County,"Missaukee County, MI",10470,0.35159999
53065,Stevens County,"Stevens County, WA",29633,0.3531
22123,West Carroll Parish,"West Carroll Parish, LA",5873,0.35420001
48325,Medina County,"Medina County, TX",27666,0.35600001
54063,Monroe County,"Monroe County, WV",8987,0.35800001
54027,Hampshire County,"Hampshire County, WV",15463,0.35980001
39111,Monroe County,"Monroe County, OH",10070,0.36269999
31085,Hayes County,"Hayes County, NE",742,0.36520001
28021,Claiborne County,"Claiborne County, MS",5293,0.36579999
54087,Roane County,"Roane County, WV",9594,0.36680001
54007,Braxton County,"Braxton County, WV",8911,0.3682
22125,West Feliciana Parish,"West Feliciana Parish, LA",6200,0.36970001
13307,Webster County,"Webster County, GA",1702,0.3707
53059,Skamania County,"Skamania County, WA",6684,0.37130001
51113,Madison County,"Madison County, VA",8007,0.3723
51081,Greensville County,"Greensville County, VA",4987,0.37380001
29179,Reynolds County,"Reynolds County, MO",4382,0.37560001
1027,Clay County,"Clay County, AL",8829,0.3766
48403,Sabine County,"Sabine County, TX",10624,0.37720001
2105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",2262,0.38150001
28029,Copiah County,"Copiah County, MS",14809,0.38159999
35053,Socorro County,"Socorro County, NM",9710,0.38339999
2180,Nome Census Area,"Nome Census Area, AK",5459,0.38409999
48267,Kimble County,"Kimble County, TX",5235,0.38510001
5127,Scott County,"Scott County, AR",6785,0.38609999
51157,Rappahannock County,"Rappahannock County, VA",5160,0.38659999
26083,Keweenaw County,"Keweenaw County, MI",2693,0.38690001
16003,Adams County,"Adams County, ID",3295,0.38730001
1119,Sumter County,"Sumter County, AL",8303,0.39129999
51025,Brunswick County,"Brunswick County, VA",10197,0.39140001
29203,Shannon County,"Shannon County, MO",4655,0.39179999
16015,Boise County,"Boise County, ID",6211,0.39289999
54023,Grant County,"Grant County, WV",8043,0.39309999
42057,Fulton County,"Fulton County, PA",10156,0.39410001
22117,Washington Parish,"Washington Parish, LA",24878,0.39539999
22027,Claiborne Parish,"Claiborne Parish, LA",9095,0.39579999
29067,Douglas County,"Douglas County, MO",7443,0.39610001
48137,Edwards County,"Edwards County, TX",3307,0.39700001
29181,Ripley County,"Ripley County, MO",6388,0.40009999
37173,Swain County,"Swain County, NC",10700,0.40110001
54075,Pocahontas County,"Pocahontas County, WV",9256,0.403
48287,Lee County,"Lee County, TX",12329,0.40310001
37075,Graham County,"Graham County, NC",6840,0.40799999
30033,Garfield County,"Garfield County, MT",1273,0.41080001
16033,Clark County,"Clark County, ID",673,0.41159999
54017,Doddridge County,"Doddridge County, WV",4982,0.41229999
56011,Crook County,"Crook County, WY",4681,0.41420001
13037,Calhoun County,"Calhoun County, GA",2732,0.41510001
29085,Hickory County,"Hickory County, MO",7141,0.41729999
28099,Neshoba County,"Neshoba County, MS",16315,0.41800001
12013,Calhoun County,"Calhoun County, FL",7204,0.42160001
55129,Washburn County,"Washburn County, WI",21021,0.42309999
48315,Marion County,"Marion County, TX",7515,0.42340001
8033,Dolores County,"Dolores County, CO",2089,0.42359999
21097,Harrison County,"Harrison County, KY",10592,0.4249
12077,Liberty County,"Liberty County, FL",3988,0.4258
28041,Greene County,"Greene County, MS",7349,0.4258
48067,Cass County,"Cass County, TX",19760,0.4258
41055,Sherman County,"Sherman County, OR",1387,0.42829999
28079,Leake County,"Leake County, MS",13630,0.42860001
26133,Osceola County,"Osceola County, MI",14917,0.42930001
37177,Tyrrell County,"Tyrrell County, NC",2358,0.4296
21181,Nicholas County,"Nicholas County, KY",4189,0.43020001
39115,Morgan County,"Morgan County, OH",9151,0.43020001
39163,Vinton County,"Vinton County, OH",7134,0.43020001
48033,Borden County,"Borden County, TX",733,0.43380001
26153,Schoolcraft County,"Schoolcraft County, MI",6930,0.4346
1035,Conecuh County,"Conecuh County, AL",8686,0.43610001
22049,Jackson Parish,"Jackson Parish, LA",8830,0.43759999
48289,Leon County,"Leon County, TX",12436,0.43790001
51101,King William County,"King William County, VA",9795,0.43849999
13099,Early County,"Early County, GA",6350,0.44049999
1111,Randolph County,"Randolph County, AL",15477,0.4429
51175,Southampton County,"Southampton County, VA",13110,0.4452
13301,Warren County,"Warren County, GA",3241,0.44549999
29221,Washington County,"Washington County, MO",13212,0.4472
54105,Wirt County,"Wirt County, WV",3885,0.44760001
30009,Carbon County,"Carbon County, MT",8992,0.44839999
35057,Torrance County,"Torrance County, NM",10982,0.44940001
26095,Luce County,"Luce County, MI",5044,0.45039999
17013,Calhoun County,"Calhoun County, IL",3123,0.45050001
28101,Newton County,"Newton County, MS",12316,0.45109999
40077,Latimer County,"Latimer County, OK",6681,0.4517
42053,Forest County,"Forest County, PA",7973,0.4558
31117,McPherson County,"McPherson County, NE",326,0.4571
5129,Searcy County,"Searcy County, AR",6018,0.45879999
6049,Modoc County,"Modoc County, CA",6270,0.45919999
51049,Cumberland County,"Cumberland County, VA",6023,0.4621
13061,Clay County,"Clay County, GA",2379,0.46360001
1107,Pickens County,"Pickens County, AL",12556,0.4639
28009,Benton County,"Benton County, MS",4956,0.46450001
47055,Giles County,"Giles County, TN",17393,0.4646
5083,Logan County,"Logan County, AR",13421,0.46509999
21091,Hancock County,"Hancock County, KY",4621,0.46529999
22011,Beauregard Parish,"Beauregard Parish, LA",19230,0.46669999
30103,Treasure County,"Treasure County, MT",612,0.4673
29149,Oregon County,"Oregon County, MO",5796,0.46740001
55075,Marinette County,"Marinette County, WI",34821,0.46869999
48457,Tyler County,"Tyler County, TX",12473,0.46939999
29125,Maries County,"Maries County, MO",5772,0.4716
21197,Powell County,"Powell County, KY",6845,0.47330001
30011,Carter County,"Carter County, MT",1203,0.4738
5113,Polk County,"Polk County, AR",12816,0.47420001
30069,Petroleum County,"Petroleum County, MT",511,0.47549999
42113,Sullivan County,"Sullivan County, PA",6624,0.4761
31165,Sioux County,"Sioux County, NE",1168,0.47690001
1099,Monroe County,"Monroe County, AL",13244,0.4795
28129,Smith County,"Smith County, MS",8791,0.48089999
54065,Morgan County,"Morgan County, WV",10889,0.48100001
12041,Gilchrist County,"Gilchrist County, FL",9435,0.48249999
20019,Chautauqua County,"Chautauqua County, KS",3020,0.48280001
40053,Grant County,"Grant County, OK",3809,0.48280001
27065,Kanabec County,"Kanabec County, MN",9441,0.4833
30039,Granite County,"Granite County, MT",3743,0.48359999
20207,Woodson County,"Woodson County, KS",2718,0.48379999
17151,Pope County,"Pope County, IL",3349,0.484
54089,Summers County,"Summers County, WV",8868,0.48429999
51147,Prince Edward County,"Prince Edward County, VA",11403,0.48500001
48225,Houston County,"Houston County, TX",16609,0.48539999
21183,Ohio County,"Ohio County, KY",12588,0.48570001
2122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",39960,0.48710001
39121,Noble County,"Noble County, OH",9340,0.48719999
51083,Halifax County,"Halifax County, VA",23379,0.4878
35007,Colfax County,"Colfax County, NM",11570,0.48789999
26071,Iron County,"Iron County, MI",10843,0.48809999
26039,Crawford County,"Crawford County, MI",11771,0.4892
54103,Wetzel County,"Wetzel County, WV",10096,0.48949999
28123,Scott County,"Scott County, MS",24445,0.49079999
30095,Stillwater County,"Stillwater County, MT",6311,0.49180001
12079,Madison County,"Madison County, FL",10907,0.4921
12133,Washington County,"Washington County, FL",12979,0.49259999
48365,Panola County,"Panola County, TX",15348,0.49270001
31107,Knox County,"Knox County, NE",6197,0.49349999
13053,Chattahoochee County,"Chattahoochee County, GA",2041,0.49529999
41063,Wallowa County,"Wallowa County, OR",5575,0.49649999
18161,Union County,"Union County, IN",5120,0.4973
16059,Lemhi County,"Lemhi County, ID",5793,0.49779999
2016,Aleutians West Census Area,"Aleutians West Census Area, AK",1889,0.49810001
5101,Newton County,"Newton County, AR",6067,0.50059998
48229,Hudspeth County,"Hudspeth County, TX",1946,0.5036
48001,Anderson County,"Anderson County, TX",27479,0.50379997
41037,Lake County,"Lake County, OR",5735,0.50459999
51035,Carroll County,"Carroll County, VA",22095,0.50470001
48241,Jasper County,"Jasper County, TX",21671,0.505
16021,Boundary County,"Boundary County, ID",7104,0.50590003
22041,Franklin Parish,"Franklin Parish, LA",10630,0.50650001
39001,Adams County,"Adams County, OH",15770,0.50660002
1025,Clarke County,"Clarke County, AL",15066,0.50809997
26109,Menominee County,"Menominee County, MI",16871,0.50819999
4001,Apache County,"Apache County, AZ",34647,0.50830001
40045,Ellis County,"Ellis County, OK",3219,0.50889999
15005,Kalawao County,"Kalawao County, HI",217,0.5115
48243,Jeff Davis County,"Jeff Davis County, TX",2175,0.51169997
5097,Montgomery County,"Montgomery County, AR",7519,0.51200002
30055,McCone County,"McCone County, MT",1655,0.51239997
31009,Blaine County,"Blaine County, NE",518,0.51349998
29093,Iron County,"Iron County, MO",5683,0.51359999
53055,San Juan County,"San Juan County, WA",15605,0.51560003
54101,Webster County,"Webster County, WV",5907,0.51620001
53039,Klickitat County,"Klickitat County, WA",12965,0.5165
21203,Rockcastle County,"Rockcastle County, KY",10251,0.51670003
55125,Vilas County,"Vilas County, WI",28893,0.51679999
29057,Dade County,"Dade County, MO",4655,0.51709998
13011,Banks County,"Banks County, GA",8826,0.51950002
31007,Banner County,"Banner County, NE",531,0.51980001
30043,Jefferson County,"Jefferson County, MT",7478,0.52090001
48147,Fannin County,"Fannin County, TX",20032,0.52130002
22021,Caldwell Parish,"Caldwell Parish, LA",5528,0.5237
6105,Trinity County,"Trinity County, CA",9507,0.52420002
48089,Colorado County,"Colorado County, TX",15740,0.52509999
55041,Forest County,"Forest County, WI",10776,0.52630001
29215,Texas County,"Texas County, MO",14050,0.52770001
51183,Sussex County,"Sussex County, VA",6195,0.52850002
21031,Butler County,"Butler County, KY",6983,0.52899998
51053,Dinwiddie County,"Dinwiddie County, VA",14275,0.52920002
13239,Quitman County,"Quitman County, GA",1968,0.52950001
48455,Trinity County,"Trinity County, TX",11250,0.52969998
30081,Ravalli County,"Ravalli County, MT",27855,0.53070003
26141,Presque Isle County,"Presque Isle County, MI",12051,0.53079998
22083,Richland Parish,"Richland Parish, LA",10693,0.53179997
16085,Valley County,"Valley County, ID",14748,0.53210002
26131,Ontonagon County,"Ontonagon County, MI",6289,0.53240001
28085,Lincoln County,"Lincoln County, MS",19456,0.53240001
27115,Pine County,"Pine County, MN",21448,0.53380001
16017,Bonner County,"Bonner County, ID",32472,0.53539997
39105,Meigs County,"Meigs County, OH",14349,0.53560001
54067,Nicholas County,"Nicholas County, WV",15973,0.53600001
55069,Lincoln County,"Lincoln County, WI",19281,0.53609997
21129,Lee County,"Lee County, KY",4123,0.53670001
48095,Concho County,"Concho County, TX",3032,0.53689998
26097,Mackinac County,"Mackinac County, MI",13161,0.53729999
55113,Sawyer County,"Sawyer County, WI",19815,0.53740001
8053,Hinsdale County,"Hinsdale County, CO",1566,0.5377
