Block Group,High Cost,Tract,County,Population
010159819031,1,01015981903,01015,0
010259578004,1,01025957800,01025,594
010479570001,1,01047957000,01047,293
010599731001,1,01059973100,01059,894
010857811001,1,01085781100,01085,1219
010857811002,1,01085781100,01085,484
011056868001,1,01105686800,01105,486
011310352001,1,01131035200,01131,873
020130001001,1,02013000100,02013,909
020130001002,1,02013000100,02013,1336
020130001003,1,02013000100,02013,1164
020160001001,1,02016000100,02016,912
020160002001,1,02016000200,02016,1762
020160002002,1,02016000200,02016,2577
020209800001,1,02020980000,02020,0
020500001001,1,02050000100,02050,1836
020500001002,1,02050000100,02050,1594
020500001003,1,02050000100,02050,1465
020500001004,1,02050000100,02050,2854
020500001005,1,02050000100,02050,3073
020500002001,1,02050000200,02050,3085
020500002002,1,02050000200,02050,1894
020500002003,1,02050000200,02050,653
020500002004,1,02050000200,02050,641
020500003001,1,02050000300,02050,1419
020600001001,1,02060000100,02060,849
020700001001,1,02070000100,02070,2689
020700002001,1,02070000200,02070,2210
020900019021,1,02090001902,02090,1173
021050004003,1,02105000400,02105,750
021220001001,1,02122000100,02122,441
021220002002,1,02122000200,02122,597
021220004001,1,02122000400,02122,1363
021220008001,1,02122000800,02122,1664
021220008002,1,02122000800,02122,532
021220012001,1,02122001200,02122,955
021500001001,1,02150000100,02150,333
021500001002,1,02150000100,02150,302
021500001003,1,02150000100,02150,978
021580001001,1,02158000100,02158,3459
021580001002,1,02158000100,02158,371
021580001003,1,02158000100,02158,2314
021580001004,1,02158000100,02158,2210
021640001001,1,02164000100,02164,986
021700001011,1,02170000101,02170,499
021800001001,1,02180000100,02180,6176
021880001001,1,02188000100,02188,1467
021880001002,1,02188000100,02188,978
021880001003,1,02188000100,02188,633
021880001004,1,02188000100,02188,659
021880001005,1,02188000100,02188,840
021980001001,1,02198000100,02198,1003
021980001002,1,02198000100,02198,562
021980002001,1,02198000200,02198,917
021980003001,1,02198000300,02198,13
021989401003,1,02198940100,02198,75
022200001001,1,02220000100,02220,50
022400001001,1,02240000100,02240,1252
022400004001,1,02240000400,02240,2087
022400004002,1,02240000400,02240,150
022400004003,1,02240000400,02240,2045
022820001001,1,02282000100,02282,562
022900001001,1,02290000100,02290,540
022900001002,1,02290000100,02290,600
022900002001,1,02290000200,02290,686
022900003001,1,02290000300,02290,725
022900003002,1,02290000300,02290,519
022900003003,1,02290000300,02290,569
022900004001,1,02290000400,02290,1083
040019427001,1,04001942700,04001,1052
040019441003,1,04001944100,04001,991
040019443021,1,04001944302,04001,1119
040019449021,1,04001944902,04001,1632
040019450021,1,04001945002,04001,1247
040019702011,1,04001970201,04001,1563
040019702021,1,04001970202,04001,346
040019702022,1,04001970202,04001,636
040019703001,1,04001970300,04001,1578
040030002031,1,04003000203,04003,884
040030003031,1,04003000303,04003,1039
040030005031,1,04003000503,04003,3146
040030014013,1,04003001401,04003,105
040050023013,1,04005002301,04005,626
040059800001,1,04005980000,04005,333
040059801001,1,04005980100,04005,10
040070013001,1,04007001300,04007,411
040120206022,1,04012020602,04012,258
040130405354,1,04013040535,04013,44
040130506211,1,04013050621,04013,0
040136108002,1,04013610800,04013,0
040136113001,1,04013611300,04013,0
040137233052,1,04013723305,04013,828
040139407001,1,04013940700,04013,34
040139801001,1,04013980100,04013,0
