tract,total_population,area_land,pop_density
01001020100,1791,3.7935714000000003,472.11448293816215
01001020200,2010,1.2821750600000001,1567.648648539459
01001020300,3577,2.06536512,1731.897166928044
01001020400,3802,2.46498508,1542.402844888619
01001020501,4381,2.39524435,1829.0409494129483
01001020502,3328,0.80980685,4109.621942565687
01001020503,3174,1.19993719,2645.138450955087
01001020600,3858,3.10488351,1242.558694255167
01001020700,3765,8.6532632,435.0959762786367
01001020801,3015,47.9819449,62.836135681527985
01001020803,4589,49.818812,92.11379829771934
01001020804,5026,10.184694799999999,493.48557798707924
01001020805,2574,13.682418599999998,188.1246346314825
01001020901,3900,40.638119,95.96900880180993
01001020902,2640,72.39592400000001,36.46614138110869
01001021000,2959,149.36953,19.80993044565381
01001021100,3850,184.615435,20.85416097521857
01003010100,3244,375.10868700000003,8.648160153113169
01003010200,2959,85.636375,34.55307397119507
01003010300,8863,132.4477046,66.91697698172112
01003010400,6120,284.739828,21.493305109392704
01003010500,5048,6.7277852,750.3212201245665
01003010600,3601,7.17311344,502.01353012479336
01003010704,5936,3.2482037999999998,1827.471539809171
01003010706,3757,5.1894794,723.9647198522457
01003010707,5158,37.04694559,139.22875200249402
01003010708,9681,31.4711591,307.6149807269094
01003010709,11873,24.1693605,491.24179350959656
01003010710,5925,5.3360246,1110.3771897903168
01003010711,4133,1.3709631500000001,3014.668920896962
01003010800,7440,6.9771769,1066.3338634856743
01003010903,7620,21.4621654,355.0433918471246
01003010904,7057,106.632429,66.18061753052629
01003010906,4738,15.1828151,312.06334061197913
01003010907,4364,15.5105788,281.3563604731501
01003010908,4803,11.9499398,401.9267109613389
01003011000,5456,50.387842,108.28008867694712
01003011102,5586,17.4692402,319.76204666302544
01003011103,4379,6.0668726,721.7886856565935
01003011104,7097,6.9105359,1026.9825817705396
01003011201,4345,4.755033,913.7686320999244
01003011202,5344,5.20738468,1026.23491990609
01003011300,5616,25.3589987,221.45984809723578
01003011409,5850,20.730966000000002,282.1865609156852
01003011410,7567,42.8806111,176.46670152049208
01003011411,4683,15.9108561,294.32734295170957
01003011412,3771,8.7937019,428.82963772060543
01003011413,4144,8.1934194,505.7717416491581
01003011414,3841,2.9798247,1289.0020006881614
01003011415,1715,3.002403,571.2091281550145
01003011416,1696,5.2039843,325.9041346454485
01003011417,2354,6.2774194,374.9948585560493
01003011418,1770,6.919621,255.79435636720567
01003011419,4956,18.41447457,269.13610709664687
01003011501,7948,14.908834579999999,533.106726575539
01003011503,8164,9.6183137,848.7974352510462
01003011504,6309,10.424670599999999,605.1989786612539
01003011601,5894,90.578341,65.0707435677145
01003011603,3748,21.5254679,174.11932773828346
01003011604,2578,9.9365661,259.4457656755285
01003990000,0,0.0,0.0
01005950100,2850,187.349965,15.212172577667681
01005950200,3841,199.617158,19.241832908972686
01005950300,1504,136.215584,11.04132108702041
01005950400,3859,132.556419,29.11213224611929
01005950500,3030,128.84834999999998,23.516017085201327
01005950600,1918,39.26327349,48.849722132529195
01005950700,1590,49.1167766,32.371831175908234
01005950800,2430,5.6871915,427.2759234500896
01005950900,4237,6.35330999,666.8964691899129
01007010001,2485,89.751499,27.68755984788622
01007010005,4563,24.511210499999997,186.15971659172038
01007010006,1470,45.233745,32.49786193913416
01007010007,2205,150.909042,14.61145051865083
01007010008,2952,116.14610300000001,25.416263858633293
01007010009,3426,25.6909075,133.3545730138182
01007010010,2760,20.8814277,132.17487039930703
01007010011,2551,149.345636,17.081182070830646
01009050103,2231,39.229805,56.87002522699259
01009050104,2709,29.655145,91.3500844457176
01009050105,4847,41.7066372,116.21651433455776
01009050106,2974,7.7288058,384.7942459622934
01009050107,2335,36.128142,64.63105686420299
01009050200,4199,44.993835,93.32389648492955
01009050301,2918,33.713441,86.55301605077926
01009050302,2446,39.606589,61.75740102234
01009050400,4076,94.651108,43.06341559150053
01009050501,4014,52.843627999999995,75.9599624764598
01009050502,3425,43.380165,78.95313445672694
01009050601,4081,32.2942086,126.36940729985872
01009050603,4228,21.2738305,198.7418297800201
01009050604,5875,49.0329624,119.81735780255447
01009050701,5991,45.3971572,131.96861586742705
01009050702,2535,33.255203,76.22867314928133
01011952100,1627,165.33141,9.840840285581548
01011952201,2319,72.9671923,31.78140650479709
01011952202,3795,80.91018025,46.90386287947987
01011952500,2645,303.60625600000003,8.711941693322682
01013952700,1947,51.668427,37.68258708553291
01013952800,1264,1.3320985,948.8787803604613
01013952900,2363,22.1771437,106.5511425621506
01013953000,1377,170.45696700000002,8.078285236648613
01013953100,2670,12.43244932,214.76057784565336
01013953200,3674,184.82166610000002,19.878621795412975
01013953300,1988,136.009006,14.616679133733246
01013953400,2284,96.1402127,23.756968451142193
01013953500,1614,101.8006,15.85452345074587
01015000200,2325,2.6291381,884.3202264650913
01015000300,2432,1.01193711,2403.3114073660167
01015000400,2923,3.90644735,748.250197202837
01015000500,920,0.9025833299999999,1019.2964676181202
01015000600,2028,2.65459577,763.9581223321245
01015000700,2848,17.67808535,161.10341949446465
01015000800,1207,1.4076861,857.4354751389532
01015000900,3443,4.6791054,735.8244163510401
01015001000,5904,6.43886635,916.9315961962777
01015001101,2060,11.716270999999999,175.82386068058688
01015001102,1141,1.46421796,779.2555693006251
01015001103,4231,5.5709503300000005,759.4754484195876
01015001201,3288,2.82646173,1163.29188720344
01015001202,4102,9.085151790000001,451.505940111541
01015001300,1954,2.2255509,877.9848620851583
01015001400,3262,8.149147,400.287293872598
01015001501,3431,9.2948892,369.1275846515739
01015001502,1822,11.6108852,156.92171342801666
01015001600,3562,5.43731866,655.1023073567662
01015001700,6192,7.21327418,858.4173907000995
01015001801,2545,9.5942164,265.26397716023996
01015001802,5286,6.29795283,839.320354198334
01015002001,2756,54.92637499999999,50.17625867354254
01015002002,4451,37.4752612,118.77168717372409
01015002101,3364,5.28609784,636.3862534939384
01015002102,3788,8.00307475,473.3180831529782
01015002104,4268,4.69268659,909.5003295329808
01015002105,2806,5.0436459000000005,556.3435767764743
01015002200,3750,33.93911773,110.4919706467573
01015002300,3520,34.17317657,103.00476435925312
01015002400,4423,48.081693,91.9892733394392
01015002502,4319,63.3285652,68.19987135915721
01015002503,3689,17.7147365,208.2447006761856
01015002504,3750,19.8927241,188.51113508380686
01015002600,4626,68.6062429,67.42826606527377
01015981901,9,24.373432,0.3692545227114507
01015981902,0,34.646717,0.0
01015981903,0,13.911067,0.0
01017953800,3715,199.10987699999998,18.65803975158902
01017953900,3334,37.9783456,87.78686768283029
01017954001,2188,153.501641,14.253919278947643
01017954002,3717,107.55423880000001,34.55930739198351
01017954200,3800,24.323934100000002,156.22472846610776
01017954300,5275,51.2135734,103.00003787667744
01017954600,3601,3.7437869299999997,961.8602947577468
01017954700,4586,14.6860991,312.2680821348945
01017954800,4618,4.44942059,1037.8879466640847
01019955701,2976,40.1803412,74.06607089737705
01019955702,4388,136.259288,32.20330932596683
01019955801,2373,46.354186999999996,51.192786532961954
01019955802,3115,43.8339535,71.06363335444976
01019955900,3873,118.90102119999999,32.5733114897755
01019956000,4316,23.9629185,180.11161703863408
01019956101,1603,75.311153,21.285027995787022
01019956102,2331,68.72126,33.91963418598553
01021060101,4640,21.59376274,214.8768630955144
01021060103,3150,18.7774448,167.75445400324116
01021060104,3077,6.09166961,505.11603501096636
01021060200,3181,38.072641,83.55081014737065
01021060300,3551,105.075113,33.79487205500317
01021060401,5270,35.2201978,149.6300511974978
01021060403,3242,30.833325,105.14597436377686
01021060404,6520,63.357237,102.90852803445327
01021060500,3362,174.171154,19.302851952166545
01021060600,4011,100.67289,39.841907786694115
01021060701,1809,34.494587,52.44301084109225
01021060702,3044,64.476719,47.21083900066317
01023956700,3248,222.889423,14.572248230908652
01023956800,4204,290.625237,14.465364547814543
01023956900,3172,223.369686,14.20067358647762
01023957000,2168,176.594826,12.276690371438175
01025957500,1641,96.14312899999999,17.068302405676857
01025957601,924,189.05234,4.88753537776893
01025957603,2182,24.523338000000003,88.97646804851769
01025957604,1997,50.123604,39.841508603411675
01025957700,1228,142.918667,8.592299562939528
01025957800,5163,321.512669,16.058465179796695
01025957901,3359,145.139223,23.14329600620778
01025957902,3606,41.63660857,86.60647742088663
01025958003,3246,227.370863,14.276235561458021
01027958900,5473,198.0880206,27.62913165280021
01027959000,2969,69.3669734,42.80134845842935
01027959100,3379,147.886303,22.848633926564517
01027959200,2363,188.62114100000002,12.527757956887768
01029959500,3018,189.760579,15.904251641222068
01029959600,4026,94.2303582,42.725084324257615
01029959700,3491,161.687767,21.590996429556725
01029959800,4511,114.426772,39.422592468133246
01031010100,2347,94.271637,24.896141349492
01031010200,1815,80.431861,22.56568451151466
01031010300,4390,112.913101,38.87945651231384
01031010400,1690,80.728455,20.934378095059543
01031010500,4643,77.5164557,59.89695940135715
01031010600,1669,49.435372,33.76125095205109
01031010700,2329,82.458389,28.244548896049864
01031010800,3197,52.916917,60.41546222354564
01031010900,2571,7.8234634,328.62683297016514
01031011000,3857,11.0742802,348.2844871488803
01031011100,2523,1.2835751,1965.6037266537815
01031011203,5828,5.0387944000000005,1156.6258786030244
01031011204,3642,10.691766699999999,340.63593998922556
01031011205,3828,2.11660864,1808.5535170072822
01031011206,4429,2.69813416,1641.5047352574936
01031011300,4285,7.587314579999999,564.7584471184534
01033020100,3564,1.8102183900000002,1968.8232202745437
01033020200,1839,0.86660132,2122.0830819874586
01033020300,2153,1.9941219700000001,1079.6731756583574
01033020400,1792,2.05563389,871.7505625478863
01033020500,6033,9.11693882,661.735273112209
01033020600,4721,3.80699456,1240.0858277034154
01033020703,6411,3.14345396,2039.4763472215766
01033020704,4440,2.80554932,1582.5777748223654
01033020705,1063,13.12254,81.0056589654137
01033020706,5438,30.6091225,177.659454301573
01033020801,4397,45.930918000000005,95.7307232570444
01033020802,3401,83.112834,40.920274719545716
01033020901,4626,51.366828,90.05812077786855
01033020902,3303,100.066289,33.00811924783181
01033021000,3608,243.14540110000002,14.838857669843872
01035960200,1916,217.81003199999998,8.796656345011694
01035960300,1789,151.16823,11.834497235298715
01035960400,2779,185.438842,14.986072874635402
01035960500,1628,35.1019869,46.37914100526315
01035960600,3666,260.760299,14.05888861939064
01037961000,3072,97.066003,31.64856803674094
01037961100,3575,302.927285,11.801512036131047
01037961200,3795,250.915886,15.124590397596428
01039961600,4863,138.953393,34.99734619650489
01039961700,3302,194.55999,16.971629161781927
01039961800,3086,17.0075331,181.44900744012077
01039961900,2240,16.0056073,139.95095331371775
01039962000,3813,19.27000362,197.87230325387972
01039962100,1828,5.9574578,306.8422910188302
01039962300,3338,107.684107,30.998074766966308
01039962400,3184,59.721498,53.31413488656966
01039962500,1504,4.8357616,311.01615927468384
01039962600,1365,4.601793799999999,296.62346018198383
01039962700,1870,5.0374140999999995,371.22221101497297
01039962800,1707,96.449623,17.69835844770487
01039962900,1915,204.820669,9.349642344933459
01039963000,3475,155.66582689999998,22.32346089827632
01041963400,1943,92.24501599999999,21.0634686214375
01041963500,2075,87.41225399999999,23.738090542774476
01041963600,2862,144.478112,19.809228957809193
01041963700,3573,99.49054799999999,35.91295928935883
01041963800,1420,105.67236,13.43776177611629
01041963900,1427,79.566605,17.934659899087062
01043964100,6536,56.7928141,115.08498220376087
01043964201,3821,28.3944963,134.568331821403
01043964202,3795,31.154034,121.81408032102681
01043964300,4869,34.6894994,140.35947719672194
01043964400,4088,29.599545,138.11023108632244
01043964500,4667,83.365452,55.982423030585856
01043964600,3863,51.283629,75.32618255233069
01043964700,5375,27.353030699999998,196.50473320311085
01043964800,4448,3.62679054,1226.428698030077
01043964901,3924,5.846764439999999,671.1404299366643
01043964902,3362,12.5111046,268.7212766169344
01043965001,3268,4.2191227399999995,774.568601433956
01043965002,4318,4.815526220000001,896.6828966824729
01043965100,4138,20.9550583,197.47022130690038
01043965200,2549,21.5085861,118.5108118287701
