County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
02013,3407,576,183,1263,676,10,405,41.6,79961,67,1002,51,339,106,7,145,284,899,529,370,256,0,519,287,93,519,519,392,327,36,17,60,28,108,27,77,49,2161,10,134,312,790,186,642,2675,3299,899,0,0,0,0,0,0,9,1,1.61,0,0,0,0.0,1,1,0,0
02016,5219,1356,201,487,2123,183,802,39.2,100662,18,1310,286,508,73,11,263,215,969,268,701,314,1,724,178,66,753,752,437,129,12,9,18,5,57,39,59,38,2683,9,229,962,1336,122,928,3861,4999,969,0,0,0,0,0,0,3,1,2.74,2,1,OptimERA Holdings Inc -- GCI Communication Corp.,0.49810001,1,1,1,1
02020,290674,172004,15469,21507,28440,8563,28162,34.5,95731,722,38782,8373,44340,18753,5322,11472,15943,107134,68356,38778,34382,102,99868,4547,2617,100374,100245,83025,5123,3507,2701,5238,3856,7421,6643,8943,8166,250196,1855,7150,20489,10984,3127,12236,192454,271240,107134,96101,96668,96052,97440,103007,104979,12166,0,171.39,5,4,Matanuska Telecom Association Inc. -- ALASKA COMMUNICATIONS -- Borealis Broadband Inc. -- Verizon -- GCI Communication Corp.,0.9655,0,1,1,1
02050,18538,1678,215,15452,262,40,399,28.7,64094,317,4028,810,532,379,67,1993,2593,4565,2693,1872,2281,3,3502,753,307,3528,3522,1728,850,344,180,407,237,607,369,499,346,18109,0,12,265,152,18,627,10109,16568,4565,0,0,0,0,0,0,166,1,3.56,0,0,0,0.0,1,1,0,0
02060,854,387,3,269,48,17,74,36.4,94167,2,152,28,139,24,2,42,24,284,144,140,54,0,221,44,19,221,221,199,48,2,1,10,2,31,14,24,15,755,0,20,40,39,1,13,636,788,284,0,0,0,0,0,0,4,1,1.76,0,0,0,0.0,1,1,0,0
02063,7000,5015,113,371,489,94,414,37.8,83068,30,1037,135,1001,482,21,205,134,2755,1725,1030,841,0,2437,174,144,2449,2449,2154,226,14,11,135,65,238,154,294,250,6301,31,100,205,363,0,234,4929,6588,2755,0,0,0,0,0,0,143,0,2.62,3,2,Copper Valley Telephone -- Cordova Telephone Cooperative -- GCI Communication Corp.,0.89109999,0,1,1,1
02066,2614,1385,1,886,12,0,171,43.1,70606,17,415,106,341,120,38,168,121,1090,750,340,327,0,837,178,75,845,845,418,203,34,16,107,35,135,100,75,70,2554,4,20,18,18,0,0,1791,2426,1090,0,0,0,0,0,0,46,0,1.59,1,1,Copper Valley Telephone,0.67559999,0,1,1,1
02068,2101,1591,48,64,73,0,35,44.4,87292,2,740,44,229,176,16,43,107,525,456,69,112,0,435,68,22,435,435,347,62,18,3,29,19,70,61,36,20,1867,0,34,92,108,0,49,1674,2037,525,0,0,0,0,0,0,20,1,1.32,1,1,Matanuska Telecom Association Inc.,0.22499999,0,1,1,1
02070,4854,775,76,3451,78,3,162,30.7,69412,24,1045,161,329,154,40,290,475,1384,841,543,737,0,1043,268,73,1047,1047,583,273,51,25,111,57,156,95,178,121,4694,1,3,91,65,0,149,2902,4435,1384,0,0,0,0,0,0,69,1,4.96,0,0,0,0.0,1,1,0,0
02090,96299,68726,3979,6733,3032,653,8038,32.1,81655,452,12233,3279,12039,5358,1111,3366,2990,35824,21494,14330,11076,198,31969,2906,751,32244,32046,23917,2511,1276,895,1789,1184,2624,2196,3841,3004,88019,803,2383,2716,2378,697,1782,61350,89424,35824,27964,29939,32317,31845,31802,34425,2401,0,20.27,6,5,SPITwSPOTS Inc. -- Matanuska Telecom Association Inc. -- ALASKA COMMUNICATIONS -- Summit Telephone and Telegraph Company -- Verizon -- GCI Communication Corp.,0.8096,0,1,1,1
02100,2079,1682,0,129,68,0,170,46.2,68276,7,381,108,238,220,20,44,77,786,548,238,161,17,634,94,41,658,641,546,128,60,20,87,68,112,98,46,36,1898,0,88,39,54,0,18,1420,2002,786,0,0,0,0,0,0,151,1,2.49,1,1,Alaska Telephone Company,0.53969997,0,1,1,1
02105,2329,1238,9,672,19,4,230,50.0,62344,1,516,102,375,113,11,120,149,867,646,221,140,0,518,182,167,527,527,205,329,60,21,92,15,95,70,105,31,2247,10,14,27,31,15,28,1838,2254,867,0,0,0,0,0,0,51,1,1.01,3,2,TheSnowCloud -- Alaska Telephone Company -- GCI Communication Corp.,0.38150001,0,1,1,1
02110,32108,20543,345,3018,2317,437,2300,39.0,95711,36,3869,1202,5922,2241,735,1127,1049,13017,8365,4652,3664,0,11920,634,463,11973,11973,10243,790,333,232,603,373,857,709,1091,927,28940,30,416,1896,826,250,883,22947,30429,13017,11387,11344,11762,11320,12109,10741,832,0,19.85,3,2,TheSnowCloud -- ALASKA COMMUNICATIONS -- GCI Communication Corp.,0.97149998,0,1,1,1
02122,59235,47151,424,4389,1021,222,2623,41.2,76272,200,9673,3166,7313,3302,717,3593,3672,23201,17808,5393,5758,78,19682,2044,1397,19912,19834,12426,2521,1209,858,1740,1114,2341,1615,2438,2045,56427,123,510,1311,864,241,697,41645,55870,23201,16670,17858,19045,16832,21554,21927,1716,1,9.17,4,3,SPITwSPOTS Inc. -- ALASKA COMMUNICATIONS -- Fastwyre Broadband -- GCI Communication Corp.,0.48710001,0,1,1,1
02130,13910,8909,91,2030,1180,29,785,40.6,82763,28,2324,490,1908,671,145,664,665,5568,3656,1912,1514,5,4958,297,308,4987,4982,4250,459,224,204,319,205,523,384,503,442,12499,34,131,857,389,26,458,9869,13155,5568,0,0,0,0,0,0,381,1,16.32,3,1,Ketchikan Public Utilities -- NetFortris -- GCI Communication Corp.,0.96960002,0,1,1,1
02150,13065,6612,120,1492,2964,2,1150,35.1,91138,6,2167,340,1655,550,131,358,669,4415,2500,1915,1805,23,3963,170,259,4001,3978,2968,318,236,144,129,87,268,241,527,431,10186,7,347,1326,1199,204,1545,8634,12245,4415,0,0,0,0,0,0,280,1,5.3,2,2,ALASKA COMMUNICATIONS -- GCI Communication Corp.,0.68300003,0,1,1,1
02158,8372,265,70,7606,14,12,76,23.7,42663,65,2058,198,161,21,3,1363,1473,1864,1322,542,1312,0,1404,205,255,1426,1426,229,411,203,146,189,112,337,233,312,239,8262,0,3,70,37,9,166,4052,7286,1864,0,0,0,0,0,0,59,1,2.52,0,0,0,0.0,1,1,0,0
02164,999,171,22,617,35,0,1,33.6,61607,16,206,87,56,45,0,50,101,326,219,107,147,0,244,56,26,244,244,93,79,8,0,31,16,57,28,48,39,933,0,1,20,45,0,32,651,917,326,0,0,0,0,0,0,12,1,1.19,0,0,0,0.0,1,1,0,0
02170,108661,86055,1392,6743,1956,464,6074,36.3,86435,478,18601,5074,10907,4499,898,5287,5523,39290,30043,9247,14352,124,35536,2293,1337,35791,35664,28496,2875,1659,1239,2311,1522,3245,2591,3536,3120,103233,227,1403,2586,1212,396,1430,71369,101639,39290,26059,25218,27975,28782,37940,36646,2234,1,24.08,4,4,Copper Valley Telephone -- Matanuska Telecom Association Inc. -- Verizon -- GCI Communication Corp.,0.73119998,0,1,1,1
02180,10018,1423,103,7617,130,2,201,29.1,70121,107,2058,357,433,515,48,904,1137,2786,1745,1041,1515,0,2297,348,141,2306,2306,942,424,152,85,235,133,378,262,262,184,9824,8,23,100,63,8,164,5564,9117,2786,0,0,0,0,0,0,69,1,6.43,0,0,0,0.38409999,1,1,0,0
02185,10924,3474,193,5480,632,209,428,36.3,83472,77,3113,159,725,298,20,525,332,2168,1012,1156,1035,0,1391,456,321,1396,1396,898,685,123,13,137,40,124,61,289,114,9922,0,184,415,403,83,673,7601,10316,2168,0,0,0,0,0,0,20,1,3.18,3,2,Arctic Slope Telephone Association Cooperative Inc. -- ALASKA COMMUNICATIONS -- Quintillion,0.61870003,0,1,1,1
02188,7682,818,95,6200,99,22,196,29.2,77647,75,1644,310,425,164,44,739,666,1776,1083,693,994,2,1497,141,136,1505,1503,774,249,91,36,128,74,163,117,171,139,7491,13,35,62,81,0,97,4230,6881,1776,0,0,0,0,0,0,66,1,1.77,0,0,0,0.3355,1,1,0,0
02195,3374,1948,39,268,602,16,306,50.1,77826,13,754,53,448,168,10,65,88,1254,920,334,328,1,1032,128,93,1033,1032,866,179,24,18,101,37,126,74,176,127,2617,20,34,430,273,17,335,2537,3226,1254,0,0,0,0,0,0,91,1,4.05,2,2,GCI Communication Corp. -- Alaska Telephone Company,0.8502,0,1,1,1
02198,5799,2613,22,2230,80,45,236,43.1,61779,28,1255,254,566,226,7,363,516,2334,1695,639,761,0,1709,359,266,1711,1711,937,570,107,44,229,120,288,174,280,183,5584,0,25,97,93,0,36,4151,5513,2334,0,0,0,0,0,0,206,1,2.53,2,2,ALASKA COMMUNICATIONS -- Alaska Telephone Company,0.28920001,0,1,1,1
02220,8462,5269,58,793,667,103,626,39.5,95261,22,1396,168,1391,501,126,279,292,3459,2231,1228,978,6,3009,291,153,3025,3019,2671,398,72,50,195,159,228,139,326,248,7473,53,83,350,503,93,152,6071,8064,3459,0,0,0,0,0,0,230,1,9.55,2,2,ALASKA COMMUNICATIONS -- GCI Communication Corp.,0.94209999,0,1,1,1
02230,1303,1017,40,64,29,0,32,38.6,79583,5,273,57,214,53,0,41,40,410,269,141,72,0,364,30,16,365,365,306,38,5,5,10,7,71,56,35,31,1147,0,51,63,42,8,6,970,1224,410,0,0,0,0,0,0,13,1,3.06,1,1,Alaska Telephone Company,0.7058,0,1,1,1
