County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
05001,17024,12112,4379,46,8,0,649,41.4,58695,162,4350,699,1237,478,121,948,1868,6559,4345,2214,1637,7,4887,754,911,4938,4910,2791,1445,408,289,934,363,879,542,521,384,16741,0,46,96,141,116,40,11889,15977,6559,0,0,0,0,0,0,1305,1,17.41,6,2,Aristotle Unified Communications -- Connect2First -- Ritter Communications Inc. -- Optimum -- Verizon -- Brightspeed,0.73540002,0,0,1,1
05003,19018,13461,4725,43,25,55,1164,43.1,44804,173,5327,1077,1090,338,32,1764,2626,7194,5347,1847,1686,13,5291,728,1162,5381,5368,3592,1695,646,468,1243,534,1046,705,958,750,18541,0,40,124,313,336,13,13222,17869,7194,4407,5067,4872,5304,0,0,1651,1,20.92,7,3,Swyft Connect -- AIRECAST -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- AT&T Inc -- SkyRider Communications  LLC,0.69620001,0,0,1,1
05005,41801,39074,100,237,230,18,1118,52.1,47403,155,9054,2193,4004,1275,308,1840,3747,19021,14142,4879,3877,111,15328,1873,1709,15669,15549,11977,2818,1007,563,1781,1029,4142,3379,3197,2701,40673,2,218,624,284,153,180,31982,40043,19021,12235,13661,14840,14736,16708,15973,1866,1,74.88,9,3,Reynolds Media -- Verizon -- Ritter Communications Inc. -- Optimum -- T-Mobile US -- NEXT Powered by NAEC LLC -- TCW -- Yelcot Video Group Inc -- Brightspeed,0.98140001,0,0,1,1
05007,286528,205967,5374,3225,12068,1963,49721,35.7,85269,1491,46792,7487,43246,18618,3563,9252,13037,104164,70667,33497,40087,91,94674,5135,4264,94959,94868,78719,7663,2972,2099,4839,3375,9148,7051,10675,9571,248784,1063,2394,11191,23096,13102,3832,188577,267313,104164,55146,57030,83734,89148,99932,104507,13041,0,328.85,16,8,Xfinity -- BarryElectricCooperative -- Rally Networks -- UPN -- Blue Pulse Networks LLC -- Total HighSpeed Internet Solutions -- TPx Communications -- Ritter Communications Inc. -- Fusion -- T-Mobile US -- Cox Communications -- Verizon -- OzarksGo -- AT&T Inc -- Wisper ISP LLC -- Brightspeed,0.85570002,0,0,1,1
05009,37662,35724,123,130,165,2,1089,41.9,52275,361,7614,1554,2892,1102,238,1994,2875,15172,10640,4532,4408,12,12852,1125,1183,13043,13031,9016,1865,872,622,1502,1080,2548,1970,2289,1972,36936,39,246,192,249,66,181,26260,35543,15172,11388,12909,11978,12339,12320,13028,3297,1,63.5,10,5,Reynolds Media -- HBE Internet -- Total HighSpeed Internet Solutions -- Northern Arkansas Telephone Company Inc -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Windstream Buffalo Valley Inc. -- Wisper ISP LLC,0.77920002,0,0,1,1
05011,10461,6370,2722,488,6,0,1674,40.2,43688,91,3068,279,620,175,59,575,995,3587,2329,1258,961,0,2589,516,482,2604,2604,1618,870,317,179,619,309,598,394,487,334,9701,3,13,167,577,214,7,7105,9810,3587,0,0,0,0,0,0,858,1,16.32,6,4,Rally Networks -- Vyve Broadband -- AIRECAST -- T-Mobile US -- Verizon -- AT&T Inc,0.85409999,0,0,1,1
05013,4773,3542,994,21,8,0,233,44.2,60237,21,1434,137,266,105,58,225,349,1498,1295,203,504,0,1148,215,135,1154,1154,818,321,105,54,194,81,193,132,87,59,4684,0,8,65,16,59,0,3462,4586,1498,0,0,0,0,0,0,314,1,7.65,6,3,Swyft Connect -- Arkansas Rural Internet Services LLC -- AIRECAST -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc.,0.89380002,0,0,1,1
05015,28362,22594,103,264,346,330,4417,44.6,56826,349,6010,1228,2932,1021,269,1559,2770,11357,8682,2675,3099,0,9269,992,1096,9325,9325,5695,1849,687,462,1302,868,1830,1323,1386,1138,25630,11,184,523,2014,1499,463,20180,26875,11357,8874,5548,8721,8321,10387,9863,1955,1,44.69,11,5,Madison County Telephone Company -- Reynolds Media -- HBE Internet -- Total HighSpeed Internet Solutions -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Patriot Broadband -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.63190001,0,0,1,1
05017,10234,4339,5483,4,26,0,628,43.2,36593,122,2344,331,889,290,39,1513,1105,4008,2723,1285,1105,0,2962,477,569,2990,2990,1883,949,581,353,602,295,756,617,460,303,9820,43,93,107,171,135,11,7065,9656,4008,0,0,0,0,0,0,1120,1,16.33,8,6,Aristotle Unified Communications -- Swyft Connect -- AT&T Inc -- T-Mobile US -- Verizon -- Vyve Broadband -- TecInfo Communications  LLC -- SkyRider Communications  LLC,0.74260002,0,0,1,1
05019,21469,14848,5157,17,140,9,1092,31.7,48071,75,3323,553,2161,742,71,1690,2122,7955,4964,2991,2050,4,6139,819,993,6184,6180,4708,1488,680,499,854,481,1499,1010,1115,828,20610,0,395,165,299,260,6,12424,20392,7955,5388,5931,4730,6415,6882,6658,1181,1,24.91,8,4,South Central Connect -- Ritter Communications Inc. -- Optimum -- T-Mobile US -- Verizon -- AT&T Inc -- Central Arkansas Telephone Cooperative -- Windstream Buffalo Valley Inc.,0.90359998,0,0,1,1
