County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
13001,18441,13032,3349,105,105,0,1898,39.6,43268,306,4108,567,676,422,90,2585,1992,6890,4990,1900,2328,6,4644,1583,657,4783,4769,2852,1444,710,280,850,526,1589,818,627,526,17238,8,34,332,829,592,78,12283,17295,6890,0,0,0,0,0,0,1375,1,36.42,8,5,Conexon Connect LLC -- Altamaha Fiber -- Alma Telephone -- MCC_Georgia_LLC -- T-Mobile US -- Verizon -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.87900001,0,0,1,1
13003,8265,5517,1259,0,0,0,2258,35.5,38007,118,1570,329,306,187,63,722,1544,3063,2049,1014,1263,2,2196,510,355,2260,2258,1423,608,101,39,427,159,843,584,407,316,7067,57,7,124,1010,1183,0,5468,7753,3063,0,0,0,0,0,0,604,1,24.13,5,2,MCC_Georgia_LLC -- T-Mobile US -- Verizon -- Plant TiftNet Inc -- Windstream Buffalo Valley Inc.,0.97619998,0,0,1,1
13005,11138,8229,1679,28,70,0,968,38.1,43938,53,2320,480,373,243,158,1526,752,3909,2814,1095,1293,6,2962,435,506,3056,3039,2272,673,352,212,522,253,648,472,607,529,10736,23,0,135,244,107,65,7324,10359,3909,0,0,0,0,0,0,1015,1,39.29,4,4,Alma Telephone -- T-Mobile US -- Conexon Connect LLC -- Verizon,0.954,0,0,1,1
13007,2878,1505,981,26,284,0,24,47.0,45417,33,673,64,227,158,0,287,379,1097,821,276,258,0,605,176,316,634,634,195,427,172,55,65,15,223,57,158,133,2711,0,80,43,44,20,65,2055,2794,1097,0,0,0,0,0,0,332,1,8.56,0,0,0,0.097599998,0,0,0,0
13009,43778,23141,18284,50,695,59,1161,36.1,54699,327,6809,2067,3770,1794,562,5635,3229,15853,9974,5879,4349,41,13083,1343,1386,13410,13369,11387,2012,1797,1362,1586,1152,2129,1623,1734,1373,42245,130,278,644,481,234,246,27849,41728,15853,11821,12166,11934,11349,13011,14266,5146,1,169.6,8,5,Pavlov Media -- TRI-COGO FIBER -- Charter Communications Inc -- T-Mobile US -- Everstream -- Zito Media -- Verizon -- Windstream Buffalo Valley Inc.,0.93629998,0,0,1,1
13011,18381,16063,541,17,259,0,1409,42.3,69096,235,3696,738,1372,518,166,1141,1270,6667,4984,1683,2209,19,5500,477,671,5606,5587,3806,906,297,160,835,608,710,512,715,635,17330,0,21,462,568,478,22,12937,17470,6667,0,0,0,0,0,0,971,1,77.64,9,5,Xfinity -- Point Broadband Fiber Holding LLC -- TrailWave -- gcibroadband -- TruVista Communications - GA -- T-Mobile US -- Verizon -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.51950002,0,0,1,1
13013,84399,60747,10655,324,3558,10,11133,36.2,75053,511,14905,3793,7743,2749,512,4145,3864,28781,22667,6114,11469,25,26492,1145,1119,26664,26639,23372,1696,1249,1054,1361,1128,2919,2519,3523,3001,75415,579,839,4253,3313,3300,1382,55726,78992,28781,20933,22322,23905,24914,28337,28979,3735,0,510.06,8,6,Xfinity -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- Fusion -- T-Mobile US -- Verizon -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.9763,0,0,1,1
13015,109410,87427,11887,250,1204,126,10489,38.2,74812,822,21447,5797,10517,3359,917,6160,5540,38429,27974,10455,13329,23,31069,5164,2173,31361,31338,23696,4249,2038,1356,2241,1195,4073,2460,4366,3382,103524,398,477,2276,2735,3252,311,73182,102635,38429,30951,30271,27321,31132,32852,36609,5094,0,235.05,9,5,Xfinity -- City of Cartersville -- Fusion -- T-Mobile US -- Parker FiberNet LLC -- Verizon -- FRONTIER -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.91640002,0,0,1,1
13017,17169,9917,6411,0,63,0,1121,38.7,38255,198,5141,764,1003,256,103,2569,1873,7126,4123,3003,2171,0,4553,1817,756,4667,4667,3548,1825,957,391,1085,484,1272,626,1037,797,16590,0,184,82,313,247,90,11502,16143,7126,0,0,0,0,0,0,2034,1,68.92,6,3,Conexon Connect LLC -- MCC_Georgia_LLC -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- Accelecom GA LLC,0.87050003,0,0,1,1
13019,18187,14934,1869,0,194,27,1030,39.8,48670,122,4042,729,1211,408,109,1998,2169,6773,4677,2096,2142,0,5020,778,975,5108,5108,3802,1449,595,347,1025,676,968,675,857,614,17836,63,49,119,120,52,138,12433,17049,6773,0,0,0,0,0,0,1739,1,40.13,5,3,MCC_Georgia_LLC -- T-Mobile US -- Verizon -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.64490002,0,0,1,1
