County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
19001,7479,7192,48,0,9,12,196,43.0,63172,31,1999,175,755,152,34,266,470,3224,2278,946,805,22,2515,288,399,2567,2540,1653,597,111,80,322,181,389,272,455,352,7403,0,7,39,30,1,0,5285,7023,3224,0,0,0,0,0,0,266,1,13.07,13,5,BTWI -- Casey Mutual Telephone Company -- Westel_Systems -- Cumberland Telephone Company -- MCC_Georgia_LLC -- Fusion -- TDS Telecom -- Nextlink -- Coon Valley Co-op Telephone Association Inc. -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0.88910002,0,0,1,1
19003,3680,3490,11,16,0,0,72,46.3,64750,38,854,83,442,68,45,160,181,1523,1232,291,417,5,1255,105,158,1280,1275,848,220,77,51,129,48,186,145,200,164,3665,0,0,5,10,4,4,2644,3483,1523,0,0,0,0,0,0,90,1,8.73,12,5,Massena Telephone Company -- FMTC of Stanton Iowa -- Cumberland Telephone Company -- MCC_Georgia_LLC -- Griswold Communications Blue Surge Internet -- TDS Telecom -- Nextlink -- Coon Valley Co-op Telephone Association Inc. -- T-Mobile US -- Verizon -- FRONTIER -- Windstream Buffalo Valley Inc.,0.60299999,0,0,1,1
19005,14046,12981,241,132,84,0,1047,43.1,64049,144,3610,423,1319,369,60,536,1058,5970,4778,1192,1410,37,4821,394,718,4972,4935,3688,844,157,123,526,356,800,524,796,646,13084,94,56,337,475,464,305,9729,13086,5970,0,0,0,0,0,0,286,1,22.01,12,6,Community Digital Wireless -- ACENTEK -- Allamakee-Clayton Electric Inc -- MiBroadband -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Verizon -- Spring Grove Communications -- CenturyLink,0.86309999,0,0,1,1
19007,12279,11650,50,16,34,0,291,45.0,50684,206,2684,593,1223,291,67,1037,1067,5028,3484,1544,1175,24,4079,433,492,4120,4089,2803,702,278,196,688,445,789,608,733,606,12115,1,24,66,73,44,91,8720,11679,5028,0,0,0,0,0,0,709,1,24.75,10,6,Farmers Mutual Cooperative Telephone Company -- MCC_Georgia_LLC -- West LIberty Telephone Company -- Grand River Mutual Telephone Corporation -- TDS Telecom -- T-Mobile US -- Aureon Communications L.L.C. -- Verizon -- Rise Broadband -- Windstream Buffalo Valley Inc.,0.75129998,0,0,1,1
19009,5651,5385,17,4,2,0,124,48.2,54973,99,1329,125,648,185,19,276,376,2535,1981,554,628,24,2061,148,302,2088,2064,1463,393,125,75,201,74,377,290,485,377,5598,0,4,19,30,35,0,4054,5279,2535,0,0,0,0,0,0,185,1,12.77,15,8,Templeton Telephone Company -- Manning Municipal Utilities -- Casey Mutual Telephone Company -- Western Iowa Wireless -- Westel_Systems -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- T-Mobile US -- Marne & Elk Horn Telephone Company -- Verizon -- Aureon Communications L.L.C. -- Farmers Mutual Coop Telephone Co -- Windstream Buffalo Valley Inc. -- Panora Telecommunications Inc,0.84829998,0,0,1,1
19011,25652,24514,108,22,61,0,442,43.0,79444,104,5506,666,2879,1064,149,934,1155,10114,8471,1643,3065,60,8718,587,749,8863,8788,7243,1098,371,246,660,383,937,693,977,810,25376,0,91,125,60,91,42,17867,24146,10114,7892,8690,8184,8622,8577,9366,583,1,35.82,18,8,Atkins Telephone Company -- Farmers Cooperative Telephone Company -- Fiber Vinton BDC -- Verizon -- South Slope Cooperative Telephone Company CLEC -- Van Horne Communications -- MCC_Georgia_LLC -- LaPorte City Telephone Co -- Keystone Communications -- TDS Telecom -- T-Mobile US -- LTD Broadband -- GigFire -- Nextlink -- SHLB CATV BPLN CU -- Rise Broadband -- Windstream Buffalo Valley Inc. -- CenturyLink,0.94450003,0,0,1,1
19013,131041,106818,12800,443,3458,616,6217,35.5,62329,758,21433,3603,16143,5828,1617,9652,10156,53691,35056,18635,14219,86,46125,3740,3740,46678,46584,37896,5271,2730,1834,4802,3211,7089,5757,6881,5795,121473,438,689,3841,4600,1379,3411,82951,123020,53691,41451,42714,44592,44261,47657,48539,7422,0,232.25,23,8,Reinbeck Telecommunications Utility -- T-Mobile US -- Cedar Falls Utilties -- Verizon -- Aureon Communications L.L.C. -- Butler-Bremer Mutual Telephone Company -- Dunkerton Telephone Cooperative -- Metronet Holdings -- UPN -- STS Broadband LLC -- TDS Telecom -- LTD Broadband -- GigFire -- Rise Broadband -- CenturyLink -- BTWI -- Nextlink -- Heartland Technology -- Windstream Buffalo Valley Inc. -- SDN Communications -- MCC_Georgia_LLC -- LaPorte City Telephone Co -- Readlyn Telephone Company,0.98110002,0,0,1,1
19015,26700,25368,347,16,40,0,747,42.0,75759,63,5422,727,3658,989,191,892,1064,10893,8676,2217,3127,46,9408,740,699,9511,9465,7104,999,301,215,777,476,1350,1017,1103,918,26283,0,80,214,123,30,24,19033,25328,10893,8557,8781,9642,8931,9229,10590,625,0,46.84,19,7,ICS Advanced Technologies -- T-Mobile US -- Verizon -- Aureon Communications L.L.C. -- Minburn Communications -- TDS Telecom -- LTD Broadband -- GigFire -- InfoBunker -- Rise Broadband -- CenturyLink -- Cooperative Telephone Exchange -- BTWI -- Huxley Communications Cooperative -- Webster-Calhoun Cooperative Telephone Association -- Windstream Buffalo Valley Inc. -- Stratford Mutual Telephone Company -- MCC_Georgia_LLC -- Ogden Telephone Company,0.8653,0,0,1,1
19017,25012,23454,328,55,220,5,464,38.9,84727,91,4592,476,3826,1206,321,680,861,9684,8092,1592,2940,58,8685,354,587,8777,8719,7062,738,282,225,377,221,893,690,1034,871,24358,34,95,351,174,37,177,16513,23612,9684,7788,8029,8686,8677,8519,9019,350,1,57.09,17,8,Community Digital Wireless -- Butler-Bremer Mutual Telephone Company -- Dunkerton Telephone Cooperative -- Verizon -- Waverly Communications Utility -- Allamakee-Clayton Electric Inc -- Oran Mutual Telephone Company -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- LTD Broadband -- GigFire -- Nextlink -- Windstream Buffalo Valley Inc. -- Rise Broadband -- Readlyn Telephone Company -- CenturyLink,0.96539998,0,0,1,1
19019,20631,19955,160,36,14,19,382,39.5,73493,289,4438,486,2062,742,54,635,1129,8020,6468,1552,2522,44,6717,545,714,6861,6817,5245,998,263,234,570,318,956,669,890,732,20282,0,29,82,238,136,149,13831,19306,8020,6365,5629,6018,6731,7235,7069,407,1,36.07,18,9,ImOn Communications LLC -- Comelec Internet Services -- Verizon -- Heartland Technology -- East Buchanan Telephone Cooperative -- Little Wapsie Communications -- Maquoketa Valley Electric Cooperative -- MCC_Georgia_LLC -- LaPorte City Telephone Co -- TDS Telecom -- T-Mobile US -- Independence Telecommunications Utility -- GigFire -- LTD Broadband -- Nextlink -- Rise Broadband -- Windstream Buffalo Valley Inc. -- CenturyLink,0.89859998,0,0,1,1
