County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
16001,497494,429014,6260,2938,12867,1081,44317,38.1,83881,1087,53631,13835,94823,35986,8633,19998,22462,190641,136018,54623,58780,475,177066,7846,5254,178329,177854,156383,7866,6016,5022,9063,7152,16299,13309,19725,17765,461678,1405,5650,15348,13413,6305,7109,340007,471186,190641,124491,140609,159970,169379,182885,189668,11454,0,461.25,16,8,Xfinity -- Pavlov Media -- ATC Communications -- Anthem Broadband -- Cogent Communication -- White Cloud Communications -- Cable America -- Allstream Business US LLC -- TDS Telecom -- T-Mobile US -- CambridgeTelephoneCompany -- Fusion -- Verizon -- Rise Broadband -- Fatbeam -- CenturyLink,0.9939,0,0,1,1
16003,4464,4137,12,33,0,0,193,54.4,55891,38,1059,193,436,252,53,236,409,1687,1414,273,306,77,1246,231,133,1323,1246,1011,209,92,34,193,70,175,111,247,187,4360,0,65,13,26,12,0,3489,4304,1687,0,0,0,0,0,0,72,1,3.17,5,3,Ziply Fiber -- Cable America -- CambridgeTelephoneCompany -- T-Mobile US -- Airbridge Broadband,0.38730001,0,0,1,1
16005,87434,75035,866,2243,1687,203,8188,34.7,60998,288,11731,2505,10949,3720,653,4375,6166,32704,22320,10384,9988,65,28346,2317,1976,28593,28517,23003,2858,1548,920,2891,1965,4203,3423,4887,4006,83652,149,672,1444,1517,535,804,55903,81852,32704,25715,26213,26718,27893,28729,30560,3303,0,77.63,12,5,ATC Communications -- Anthem Broadband -- FYBERCOM LLC -- White Cloud Communications -- Cable America -- AlwaysOn Internet -- T-Mobile US -- CenturyLink -- Lavalink -- Verizon -- Rise Broadband -- Direct Communications Rockland,0.9472,0,0,1,1
16007,6436,6125,8,91,54,0,277,40.0,63244,22,1324,171,604,226,9,204,467,2323,1873,450,692,3,2043,175,102,2058,2050,1484,225,94,65,218,145,278,228,326,266,6255,4,20,70,87,52,24,4244,6036,2323,0,0,0,0,0,0,78,1,6.48,6,3,Direct Communications Rockland -- Last Mile Wireless -- T-Mobile US -- Verizon -- Rise Broadband -- CenturyLink,0.65939999,0,0,1,1
16009,9731,8250,79,879,4,33,430,45.9,54191,71,2122,243,883,262,61,629,761,3826,2818,1008,1082,7,3050,337,432,3094,3087,1441,575,242,169,326,236,665,450,532,467,9517,0,117,66,31,55,12,6892,9201,3826,0,0,0,0,0,0,347,1,12.24,9,4,Verizon -- Charter Communications Inc -- Wired or Wireless Inc. -- Ziply Fiber -- Intermax Networks -- First Step Internet LLC -- T-Mobile US -- Red Spectrum Communications LLC -- Fatbeam,0.579,0,0,1,1
16011,48253,38011,79,2724,175,22,8786,34.3,69433,137,7529,1969,4176,1200,259,1842,3097,15627,12512,3115,6143,70,13395,1202,960,13621,13551,9175,1740,625,344,998,688,1776,1174,2123,1774,45459,1,262,1100,1431,1710,128,29380,44825,15627,12537,13709,12245,14013,13849,14159,1232,1,22.71,13,7,Silver Star Communications -- ATC Communications -- Anthem Broadband -- FYBERCOM LLC -- White Cloud Communications -- Ziply Fiber -- Cable America -- AlwaysOn Internet -- T-Mobile US -- CenturyLink -- Verizon -- Rise Broadband -- Direct Communications Rockland,0.83209997,0,0,1,1
16013,24248,20253,117,380,103,2,5687,44.5,81794,53,3728,575,5439,1715,495,497,1177,9298,6981,2317,2324,0,8735,361,202,8735,8735,7521,549,108,108,360,280,854,776,956,888,19870,0,263,1544,2571,2425,0,17446,23470,9298,6448,0,7234,0,0,0,497,1,10.64,10,6,ATC Communications -- Anthem Broadband -- Ziply Fiber -- Midvale Telephone Company -- T-Mobile US -- Cox Communications -- Verizon -- Rise Broadband -- Fatbeam -- CenturyLink,0.87809998,0,0,1,1
16015,7809,7022,28,94,61,0,452,53.7,70776,26,1356,423,1079,287,181,367,366,3396,2922,474,795,47,2839,305,205,2971,2924,2106,295,105,61,164,70,558,494,359,298,7494,0,58,133,124,129,2,6136,7529,3396,0,0,0,0,0,0,108,1,4.13,6,4,Anthem Broadband -- Ziply Fiber -- CambridgeTelephoneCompany -- Cable America -- T-Mobile US -- CenturyLink,0.39289999,0,0,1,1
16017,47976,44054,141,276,287,60,1792,48.3,61816,320,8882,1976,6500,2311,689,2054,3567,19228,15044,4184,4610,49,16202,1578,1399,16432,16383,9094,2388,737,568,1556,943,3069,2293,2490,2099,46668,97,312,393,506,161,140,35969,45766,19228,11918,13314,14130,13607,18500,18335,914,1,26.82,13,6,Ting -- MiFiber -- MountainLink -- Charter Communications Inc -- Wired or Wireless Inc. -- Intermax Networks -- Ziply Fiber -- E.L. INTERNET NORTHWEST -- T-Mobile US -- Verizon -- Vyve Broadband -- Fatbeam -- Kaniksu Internet,0.53539997,0,0,1,1
16019,124490,108179,496,779,1162,27,17147,33.2,73103,267,15371,3746,16371,5481,1138,4396,7245,42402,30105,12297,15940,57,38258,2122,1965,38773,38716,31958,2549,1552,1169,2266,1485,4973,4179,4764,4314,118483,42,865,2528,2572,2597,323,75960,114910,42402,34383,34739,36291,37139,39266,39505,2906,0,89.24,15,6,Silver Star Communications -- Direct Communications Rockland -- Anthem Broadband -- ATC Communications -- FYBERCOM LLC -- White Cloud Communications -- TPx Communications -- Cable America -- Allstream Business US LLC -- Fusion -- T-Mobile US -- Verizon -- Rise Broadband -- Rimrock Wireless -- CenturyLink,0.96950001,0,0,1,1
