County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
25001,229436,201599,6515,1007,3421,20,8047,54.5,90447,618,34163,4334,45373,27082,5832,7043,8868,99969,81334,18635,19098,110,92123,3694,4042,92977,92794,83663,4966,3473,2991,5256,4133,8600,7053,9176,7994,205096,627,2161,12453,9099,2001,6048,180261,221430,99969,78571,80388,77634,88098,97956,100216,6108,0,578.22,5,3,Xfinity -- TPx Communications -- Fusion -- T-Mobile US -- Verizon,0.99650002,0,0,1,1
25003,128763,113536,3774,211,2204,27,6829,47.5,69744,482,23693,3893,19592,11718,2727,6354,7164,56078,39380,16698,12333,135,48685,2972,4286,49334,49199,42352,5192,2416,1943,4859,3436,7087,5180,6024,5261,119481,590,1123,4780,2789,998,1058,95692,123591,56078,44755,44564,46851,45942,51378,52740,12419,0,139.27,12,6,Xfinity -- Consolidated Communications -- MID-HUDSON CABLEVISION -- Otelco Telephone LLC -- Whip_City_Fiber -- Charter Communications Inc -- TPx Communications -- Fiber Connect LLC. -- Richmond Telephone -- T-Mobile US -- Verizon -- FirstLight Fiber,0.91439998,0,0,1,1
25005,576699,463728,24303,1181,13371,235,52151,41.0,80628,6533,106604,17587,78287,32584,5564,29222,33579,229861,142186,87675,69225,394,197453,13585,18429,200050,199656,174194,23701,10865,7587,18406,11310,24986,18151,21475,17633,483188,10925,5407,49487,27692,13733,30566,407256,547351,229861,173356,178829,176758,184571,204841,207967,36092,0,1041.51,9,5,Xfinity -- Charter Communications Inc -- TPx Communications -- TMLP Online -- Fusion -- T-Mobile US -- Cox Communications -- Verizon -- Hilltown Networks,0.99620003,0,0,1,1
25007,20543,16945,645,178,305,0,748,49.2,93225,232,3315,690,3694,1995,831,971,393,6899,5285,1614,1731,4,6140,458,297,6159,6155,5542,333,264,261,249,140,679,408,381,272,17254,116,162,1204,1807,240,1701,15726,19763,6899,0,0,0,0,0,0,211,1,196.48,4,3,Xfinity -- MVWIFILLC -- T-Mobile US -- Verizon,0.96539998,0,0,1,1
25009,806103,582834,35280,1672,28271,183,183006,40.9,94378,6341,121561,14771,138834,72217,13259,34706,42144,310059,197371,112688,96880,349,276334,14638,18738,280132,279783,251492,23889,12820,9140,21950,14254,26819,21154,24801,21078,633897,14818,8127,82768,66493,66046,25871,562867,762321,310059,244797,250550,255215,258946,280825,288869,38649,0,1633.63,10,6,Xfinity -- Starry Inc. -- Astound_Broadband -- Charter Communications Inc -- TPx Communications -- NetFortris -- Fusion -- T-Mobile US -- Verizon -- FirstLight Fiber,0.99800003,0,0,1,1
25011,70980,64245,875,59,1337,8,3263,47.1,70383,246,12619,1999,11539,6909,1475,3424,4936,31234,21737,9497,7291,91,27335,1633,2175,27621,27506,23236,2903,1277,941,2621,1861,3895,3015,3148,2774,66328,586,524,1846,1696,635,1046,54094,68214,31234,24473,24158,24687,25503,26932,29611,4455,1,101.67,10,4,Xfinity -- Otelco Telephone LLC -- Whip_City_Fiber -- Charter Communications Inc -- Warwick Broadband Service -- Greenfield Community Energy & Technology (GCET) -- T-Mobile US -- Verizon -- Hilltown Networks -- South Hadley Electric Light Department,0.95270002,0,0,1,1
25013,464575,329283,41192,1056,12038,29,124544,39.5,66619,3455,81830,14039,54812,27822,5326,30434,40818,183380,113182,70198,52385,397,154439,10204,18340,157193,156766,126744,20326,10897,7628,18671,11322,22587,16163,19843,16690,373447,44161,3837,26916,16214,33142,14459,318443,439956,183380,138704,141371,141366,144926,159032,158395,46422,0,755.69,12,5,Xfinity -- Whip_City_Fiber -- Charter Communications Inc -- TPx Communications -- Fusion -- T-Mobile US -- Cox Communications -- Verizon -- CROSSROADS FIBER -- Netafy -- HGE.NET -- South Hadley Electric Light Department,0.98320001,0,0,1,1
25015,153931,130857,3218,147,7563,130,9540,39.3,84025,515,18019,2843,24676,17416,2872,7399,6734,61414,42301,19113,14029,240,54755,3149,3270,55595,55337,49195,3485,2606,1982,4489,3275,6291,5087,5918,5119,137760,1139,1497,7028,6507,1677,3324,99735,148855,61414,50807,52323,50886,52706,53951,56916,6541,0,306.9,9,4,Xfinity -- Otelco Telephone LLC -- Whip_City_Fiber -- Charter Communications Inc -- TPx Communications -- T-Mobile US -- Verizon -- Netafy -- South Hadley Electric Light Department,0.97500002,0,0,1,1
25017,1623109,1154437,81837,2753,210784,751,136457,38.8,121304,5092,179377,22474,330386,227598,45493,58375,58675,629775,387309,242466,185285,580,583904,19192,26099,588846,588243,533244,32105,22381,17640,30395,21689,39688,31039,39175,34799,1228679,12804,20629,184149,176848,35366,113102,1145170,1540324,629775,520910,533398,553979,559973,592906,603692,46290,0,1984.94,17,7,Xfinity -- S-Net Communications -- Starry Inc. -- Netrix -- Hunter Communications Inc. -- Astound_Broadband -- Netafy -- Charter Communications Inc -- TPx Communications -- NetFortris -- Fusion -- T-Mobile US -- Verizon -- netBlazr Inc. -- Concord Light Broadband -- FirstLight Fiber -- Cogent Communication,0.99809998,0,0,1,1
25019,14065,10554,1562,0,259,0,2120,40.5,135590,9,1616,92,3481,1411,347,339,348,4659,3313,1346,1466,0,4301,233,125,4322,4322,3900,170,59,47,166,113,151,113,399,391,11952,83,194,979,857,90,267,9942,13324,4659,0,0,0,0,0,0,81,1,298.64,3,2,Xfinity -- Hilltown Networks -- Verizon,0.98860002,0,0,1,1
25021,722112,527921,51311,815,86084,266,37445,40.7,120621,2286,82804,8720,148960,93667,23785,23044,22563,279104,190649,88455,86265,295,258884,8990,10935,260967,260650,236648,13224,9468,7427,12528,9161,18463,15166,17150,14817,572070,2502,8396,84077,55067,5231,52078,509433,684751,279104,232061,235769,242941,246273,261756,264504,21008,0,1818.73,13,7,Xfinity -- FirstLight Fiber -- Starry Inc. -- Astound_Broadband -- TPx Communications -- Fusion -- T-Mobile US -- Cox Communications -- Verizon -- Norwood Broadband -- netBlazr Inc. -- Netafy -- Cogent Communication,0.99860001,0,0,1,1
25023,529548,420584,47988,723,8648,221,23099,42.7,105387,2209,89313,9836,93963,43905,8433,16697,17850,198937,153841,45096,62273,232,179523,9257,9925,181164,180887,161263,12198,6423,4619,10079,6575,14800,11816,15627,13157,466212,2985,4134,35225,20992,5352,22718,372525,502395,198937,160085,166995,166542,171002,185017,188333,23152,0,801.21,6,3,Xfinity -- TPx Communications -- TMLP Online -- T-Mobile US -- Verizon -- Netafy,0.99440002,0,0,1,1
25025,785443,387745,155625,2916,69412,544,184846,33.6,87669,6880,97430,14950,146861,80599,25609,64552,62425,319307,115640,203667,70483,342,281178,18334,19453,284996,284625,249220,26960,24632,19095,29777,19301,27664,22497,23300,20253,522483,16332,10880,118462,117286,74879,62849,551133,746300,319307,254666,260334,269519,268564,283191,296312,55454,0,13606.9,13,6,Xfinity -- Starry Inc. -- Astound_Broadband -- Allied Telecom Group LLC -- Pilot Fiber -- TPx Communications -- Fusion -- T-Mobile US -- Verizon -- netBlazr Inc. -- Netafy -- FirstLight Fiber -- Cogent Communication,0.99949998,0,0,1,1
25027,858898,671257,44660,2022,43903,352,107201,40.2,88524,4503,138180,21147,133862,72394,11492,39028,44276,330319,217813,112506,101072,568,296832,13897,19022,299946,299348,264200,23812,13361,9786,22195,14784,31891,25068,28288,24415,712349,23277,8147,62153,52972,29602,34003,597824,814422,330319,254437,265053,270744,278470,306637,310022,61354,0,567.2,14,6,Xfinity -- FirstLight Fiber -- Fitchburg Fiber LLC d.b.a. Fitchburg Fiber Company -- Astound_Broadband -- SELCO -- Charter Communications Inc -- TPx Communications -- NetFortris -- Fusion -- T-Mobile US -- Cox Communications -- Verizon -- Netafy -- Cogent Communication,0.96490002,0,0,1,1
