County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
38001,2190,2094,11,26,12,0,83,46.9,57950,14,531,51,209,76,26,119,165,997,734,263,221,0,801,80,116,813,813,738,144,63,44,122,72,157,110,90,63,2128,0,3,0,59,44,0,1576,2047,997,0,0,0,0,0,0,28,1,2.27,6,5,West River Telecommunications Cooperative -- Consolidated Communications Networks Inc. -- West River Cooperative Telephone Company -- T-Mobile US -- Verizon -- Midco,1.0,0,0,1,1
38003,10826,9889,201,168,137,10,253,43.6,64447,81,2083,260,1624,377,69,559,770,4892,3643,1249,1059,3,3998,531,360,4044,4041,3320,698,266,194,398,230,684,527,623,549,10454,0,48,60,264,8,54,7518,10335,4892,0,0,0,0,0,0,170,1,7.29,9,4,Inter-Community Telephone -- MLGC -- Cable Services Inc -- Dakota Central -- T-Mobile US -- Verizon -- Midco -- Dickey Rural Telephone Coop -- CenturyLink,0.98650002,0,0,1,1
38005,5960,2391,15,3268,35,9,81,31.0,63220,54,806,212,495,170,4,1091,523,1869,1341,528,749,0,1424,164,281,1456,1456,1307,371,240,132,181,79,195,144,159,116,5892,6,3,19,40,29,224,3366,5346,1869,0,0,0,0,0,0,508,1,4.39,3,3,North Dakota Telephone Company -- T-Mobile US -- Verizon,0.94230002,0,1,1,1
38007,839,827,0,0,0,0,12,40.6,74000,7,179,37,121,18,17,36,56,320,237,83,73,0,259,27,34,265,265,193,37,12,5,23,18,21,11,38,23,819,0,3,0,17,0,5,608,781,320,0,0,0,0,0,0,7,1,1.01,3,1,Reservation Telephone Cooperative -- Consolidated Communications Networks Inc. -- CenturyLink,0.61449999,0,0,1,1
38009,6411,5858,31,327,24,0,160,44.3,80113,62,1121,242,881,196,61,224,275,2613,2112,501,613,0,2271,159,183,2306,2306,2083,244,107,46,123,76,385,319,216,195,6138,16,48,69,140,13,5,4468,6071,2613,0,0,0,0,0,0,120,1,3.86,5,4,SRT -- United Communications -- T-Mobile US -- Verizon -- Midco,0.93400002,0,0,1,1
38011,2975,2808,0,64,0,9,162,41.6,79709,31,626,51,305,108,13,161,149,1188,939,249,254,0,1019,66,103,1034,1034,936,115,10,5,37,23,144,135,156,112,2929,0,22,13,11,57,4,2027,2793,1188,0,0,0,0,0,0,30,1,2.6,4,3,T-Mobile US -- Midco -- Consolidated Communications Networks Inc. -- Verizon,1.0,0,0,1,1
38013,2184,2031,15,12,56,0,23,44.8,94583,11,361,48,317,55,4,33,109,950,782,168,180,0,843,56,51,843,843,724,67,31,17,49,36,84,76,74,64,2081,0,13,68,22,8,12,1545,2061,950,0,0,0,0,0,0,22,1,1.97,3,2,Reservation Telephone Cooperative -- Northwest Communications -- Verizon,1.0,0,0,1,1
38015,98443,86027,1912,3581,819,654,2826,37.7,82141,766,12549,2860,17514,5256,1339,3543,3983,39885,28486,11399,12065,74,34757,2554,2500,35148,35065,30972,3313,1273,861,2488,1498,3396,2495,3855,3214,94257,235,625,1495,1831,429,963,66365,92279,39885,32677,32417,33302,32737,34964,37602,1944,0,59.96,9,4,SDN Communications -- West River Telecommunications Cooperative -- Inter-Community Telephone -- Fusion -- T-Mobile US -- Verizon -- Midco -- DCN LLC -- CenturyLink,0.99580002,0,0,1,1
38017,186328,157536,12027,1902,5995,4,5592,32.7,73249,675,18176,4020,34136,11372,2308,9252,10338,79505,41610,37895,21733,109,69925,5947,3524,70400,70291,59387,4659,3318,2535,5598,4092,8703,6822,8726,7361,169288,259,1581,6273,8927,574,5091,117253,174225,79505,65374,65531,63085,67922,75359,74829,4411,0,103.68,21,5,MLGC -- Voyant Communications -- Cable America -- T-Mobile US -- Verizon -- Dickey Rural Telephone Coop -- Consolidated Communications -- Polar Telecommunications Inc -- 702 Communications -- TPx Communications -- Halstad Telephone -- Allstream Business US LLC -- CenturyLink -- X-Tech -- SDN Communications -- Xfinity -- Inter-Community Telephone -- LORETEL -- Fusion -- Midco -- DCN LLC,0.99870002,0,0,1,1
38019,3691,3436,0,64,5,0,33,47.8,61174,67,644,41,540,69,6,148,210,1519,1257,262,344,7,1228,141,143,1241,1234,1110,231,99,56,93,35,168,140,194,150,3533,0,57,57,44,33,28,2643,3424,1519,0,0,0,0,0,0,48,1,2.5,6,4,Polar Telecommunications Inc -- United Communications -- T-Mobile US -- Verizon -- North Dakota Telephone Company -- Midco,1.0,0,0,1,1
38021,5003,4582,11,110,50,0,240,38.1,60250,114,741,112,666,134,18,90,343,1916,1490,426,586,0,1518,259,139,1532,1532,1346,299,66,22,145,79,307,217,254,194,4839,0,12,29,123,33,90,3194,4699,1916,0,0,0,0,0,0,41,1,4.43,4,3,James Valley Cooperative Telephone Company -- T-Mobile US -- Dickey Rural Telephone Coop -- Verizon,0.99980003,0,0,1,1
