County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
31001,31143,27135,218,79,361,2,3629,38.0,61502,132,4831,700,3383,1301,452,1699,1864,12717,8691,4026,3658,57,10878,856,926,11024,10967,8995,1345,629,463,1249,785,1788,1401,1397,1225,29148,8,112,565,1310,1164,287,20343,29164,12717,9584,9936,10877,10227,11296,10792,2083,0,55.54,18,11,NCTC -- Verizon -- UPN -- Charter Communications Inc -- Superior iNET -- Great Plains Broadband LLC -- Viaero Wireless -- Hamilton Telephone Company -- Big Red Communications -- Nextlink -- Glenwood Telephone Membership Corporation -- T-Mobile US -- Allo Communications LLC -- TDS Telecom -- Rise Broadband -- GigFire -- LTD Broadband -- Windstream Buffalo Valley Inc.,0.99489999,0,0,1,1
31003,6302,6043,65,9,6,1,226,42.5,61924,45,1335,119,561,209,61,292,394,2607,1962,645,624,13,2064,221,309,2096,2080,1419,465,96,58,231,88,342,257,354,286,6119,1,81,25,76,58,74,4288,5880,2607,0,0,0,0,0,0,83,1,7.36,12,6,UPN -- Great Plains Broadband LLC -- Viaero Wireless -- Stealth Broadband -- Cable America -- TDS Telecom -- T-Mobile US -- Nextlink -- Northeast Nebraska Telephone Company -- Plainview Telephone Company -- FRONTIER -- Rise Broadband,0.7191,0,0,1,1
31005,485,455,0,1,0,0,6,44.1,66667,0,67,1,70,25,4,5,29,178,132,46,65,1,146,12,19,148,147,140,27,3,3,16,8,26,17,21,16,475,0,0,7,3,0,0,315,453,178,0,0,0,0,0,0,1,1,0.66,4,3,Glenwood Telephone Membership Corporation -- T-Mobile US -- Consolidated -- Viaero Wireless,0.85750002,0,0,1,1
31007,670,621,0,0,6,0,34,54.1,62375,0,76,9,108,40,6,23,26,249,173,76,55,8,183,13,45,191,183,92,57,7,7,4,4,19,15,65,31,623,0,0,11,36,31,6,510,609,249,0,0,0,0,0,0,11,1,0.81,6,2,Vistabeam -- Viaero Wireless -- T-Mobile US -- Visionary Broadband -- Livingston Telephone -- CenturyLink,0.51980001,0,0,1,1
31009,384,384,0,0,0,0,0,57.7,52083,0,118,3,54,13,0,20,24,201,156,45,20,0,166,11,24,170,170,113,31,9,3,15,15,30,27,39,38,383,0,1,0,0,3,0,322,367,201,0,0,0,0,0,0,5,1,0.49,3,2,NCTC -- Consolidated -- T-Mobile US,0.51349998,0,0,1,1
31011,5397,5223,4,10,14,1,149,43.6,66800,41,1371,110,444,166,54,204,185,2240,1807,433,586,20,1832,177,211,1858,1838,1238,351,105,53,129,77,224,157,335,247,5321,0,18,35,23,19,10,3747,5080,2240,0,0,0,0,0,0,57,1,7.88,11,9,Verizon -- Rise Broadband -- Great Plains Broadband LLC -- Viaero Wireless -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- T-Mobile US -- FRONTIER -- Vyve Broadband,0.5848,0,0,1,1
31013,10778,9166,365,302,76,0,1429,40.9,67893,51,1896,279,1117,166,60,446,825,4573,3340,1233,1466,15,4082,172,304,4118,4103,3304,378,316,299,279,225,607,406,476,457,9989,11,45,128,605,138,58,7434,10169,4573,0,0,0,0,0,0,494,1,10.06,9,4,Vistabeam -- Telecom West Inc. -- Verizon -- Charter Communications Inc -- Viaero Wireless -- T-Mobile US -- Allo Communications LLC -- Mobius Communications Company -- CenturyLink,0.94370002,0,0,1,1
31015,1767,1637,5,51,0,0,57,55.6,57120,12,568,24,122,95,2,109,93,807,669,138,115,1,651,42,113,664,663,526,123,34,23,73,43,138,95,111,81,1697,0,11,32,27,10,1,1343,1698,807,0,0,0,0,0,0,10,1,3.36,4,1,Three River Communications LLC -- Golden West Telecommunications -- Viaero Wireless -- Northeast Nebraska Telephone Company,0.99849999,0,0,1,1
31017,2691,2504,2,2,1,0,108,46.9,44267,8,623,41,256,133,18,128,108,1217,915,302,218,13,1017,90,97,1042,1029,745,118,59,52,139,58,250,228,221,209,2623,15,5,4,44,47,8,1988,2485,1217,0,0,0,0,0,0,20,1,2.27,9,5,Great Plains Broadband LLC -- Viaero Wireless -- Three River Communications LLC -- TDS Telecom -- T-Mobile US -- Consolidated -- Northeast Nebraska Telephone Company -- Verizon -- CenturyLink,0.78539997,0,0,1,1
31019,50103,44442,452,222,777,0,4867,34.2,70093,193,6470,1167,7178,2439,505,2495,3158,19544,12955,6589,5693,35,17356,1084,1069,17529,17493,14147,1345,1025,770,1356,985,2502,1987,2159,1838,47582,22,229,1150,1120,1023,477,31028,47039,19544,15769,16406,16226,16579,17664,19408,2738,0,51.48,19,11,Great Plains Broadband LLC -- Viaero Wireless -- Consolidated -- T-Mobile US -- Allo Communications LLC -- Verizon -- UPN -- Prairie Hills Wireless LLC -- TDS Telecom -- LTD Broadband -- GigFire -- Rise Broadband -- CenturyLink -- NCTC -- Charter Communications Inc -- FRONTIER -- Windstream Buffalo Valley Inc. -- APPLIED COMMUNICATIONS TECHNOLOGY INC -- Glenwood Telephone Membership Corporation,0.89850003,0,0,1,1
31021,6717,6178,30,57,43,11,241,44.9,54950,31,1394,223,853,196,41,541,400,2790,2148,642,757,8,2199,289,294,2246,2238,1624,456,184,115,212,119,473,323,393,284,6612,9,40,47,9,16,2,4723,6368,2790,0,0,0,0,0,0,125,1,13.64,15,10,Verizon -- Skywave Wireless Inc. -- Great Plains Broadband LLC -- Westel_Systems -- Western Iowa Wireless -- Stealth Broadband -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- T-Mobile US -- Northeast Nebraska Telephone Company -- Rise Broadband -- Fastwyre Broadband -- CenturyLink,0.889,0,0,1,1
31023,8373,7741,10,63,6,0,410,43.0,75690,68,1830,188,1162,216,69,423,224,3508,2843,665,997,35,2946,107,420,3017,2982,2049,419,241,175,252,143,347,292,404,322,8176,0,10,47,140,171,47,5785,7901,3508,0,0,0,0,0,0,270,1,14.28,14,11,Verizon -- Charter Communications Inc -- Viaero Wireless -- FRONTIER -- Stealth Broadband -- TDS Telecom -- Nextlink -- LTD Broadband -- Northeast Nebraska Telephone Company -- GigFire -- T-Mobile US -- Rise Broadband -- Vyve Broadband -- Windstream Buffalo Valley Inc.,0.93980002,0,0,1,1
