County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
35001,674692,406649,19377,33180,18517,597,342361,38.6,62220,3019,86281,19795,93393,53529,12362,52253,57100,281095,178141,102954,75972,915,241727,22322,16131,244094,243129,203925,28783,19467,13783,26849,18263,35561,27752,33125,28345,596148,1153,8515,33871,35005,38964,8032,469743,639826,281095,208583,221230,219773,225066,258832,257976,51435,0,581.2,18,8,Xfinity -- ENMR Telephone Cooperative -- Cyber Mesa -- FastTrack Communications -- UPN -- Charter Communications Inc -- TPx Communications -- NMSurf -- NetFortris -- Allstream Business US LLC -- Fusion -- ALASKA COMMUNICATIONS -- T-Mobile US -- Cable America -- Sacred Wind Communications Inc -- Verizon -- Cogent Communication -- CenturyLink,0.98110002,0,0,1,1
35003,3635,3228,17,81,0,0,563,59.5,44777,37,978,169,217,103,96,212,544,1609,1405,204,205,20,993,347,249,1013,993,467,416,40,0,229,85,441,291,196,119,3462,0,62,62,49,36,0,2925,3629,1609,0,0,0,0,0,0,145,1,0.97,1,0,CentraCom,0.3184,0,0,1,0
35005,64701,44897,1011,647,766,28,38206,36.2,49673,720,8689,2611,4537,2023,512,5840,7682,23280,15688,7592,8200,63,17261,3192,2764,17526,17463,12142,4456,1637,883,3348,1669,3489,2382,3263,2547,57057,22,702,3451,3469,4986,281,41749,60661,23280,15163,16151,16088,16945,15597,18472,6606,0,18.84,9,5,ENMR Telephone Cooperative -- Leaco Rural Telephone Cooperative Inc. -- PVT Networks Inc -- Straight Shot Wireless -- Resound Networks -- Cable America -- T-Mobile US -- Verizon -- CenturyLink,0.884,0,0,1,1
35006,27211,11620,400,11353,70,26,10461,38.0,49866,232,4764,1272,1507,974,180,2049,5014,8124,5773,2351,2440,5,5480,1362,1277,5514,5509,3137,2309,440,221,1169,597,1275,760,1185,755,26352,0,39,489,331,1228,700,18386,25485,8124,5542,4449,6081,4909,6448,7563,2436,1,7.59,7,4,Oso Internet Solutions -- Smith Bagley Inc -- Sacred Wind Communications Inc -- T-Mobile US -- Verizon -- Red Bolt Broadband -- CenturyLink,0.634,0,0,1,1
35007,12370,9129,97,320,76,0,6084,49.2,46286,17,2498,484,1169,710,123,794,1336,5549,3979,1570,1170,5,4083,635,826,4160,4155,2889,1130,179,112,717,354,1270,956,773,549,11768,0,53,305,244,356,102,9233,11869,5549,0,0,0,0,0,0,865,1,3.94,6,5,Baca Valley Telephone -- Kit Carson Internet -- T-Mobile US -- CenturyLink -- Verizon -- ENMR Telephone Cooperative,0.48789999,0,0,1,1
35009,48327,29180,2727,328,728,74,21475,31.7,55427,422,6153,1424,4028,1872,298,4360,4753,18535,10999,7536,6265,17,15891,1043,1584,16176,16159,12341,2130,1179,847,2173,1574,2845,2235,2214,1902,43017,194,1053,937,3126,2722,187,29818,44501,18535,15388,14503,16323,15950,15557,17328,4049,0,34.66,7,4,ENMR Telephone Cooperative -- Yucca Telecom -- Resound Networks -- Optimum -- T-Mobile US -- Verizon -- CenturyLink,0.95929998,0,0,1,1
35011,1695,713,1,1,0,0,1076,28.5,34702,2,265,19,53,52,0,101,172,741,502,239,219,0,555,31,155,555,555,326,171,69,20,87,64,217,169,65,54,1676,0,14,3,2,15,0,1139,1475,741,0,0,0,0,0,0,109,1,2.24,3,3,T-Mobile US -- Verizon -- ENMR Telephone Cooperative,0.86979997,0,0,1,1
35013,219870,128908,4084,2717,2588,384,151592,33.2,51232,1147,24427,5772,23076,13243,2110,20209,28523,81969,52513,29456,25319,65,67630,7903,6371,68522,68448,55226,10963,6689,4995,9653,6274,14481,10572,9443,7940,183348,128,2159,16700,17535,32031,1678,134344,206805,81969,53585,53073,54923,61848,73475,76260,24849,0,58.9,11,5,Xfinity -- Transtelco -- Webatron Internet Solutions Inc -- UPN -- Charter Communications Inc -- CentraCom -- JackRabbit Wireless -- Resound Networks -- T-Mobile US -- Verizon -- CenturyLink,0.93650001,0,0,1,1
35015,61264,43458,922,1036,443,0,31552,35.7,77458,433,9393,2410,4615,2237,128,3369,3763,22703,16667,6036,7869,54,18367,2254,2028,18561,18507,13463,3337,1220,715,1712,941,2488,1844,1957,1221,56968,0,459,1594,2243,3833,139,39653,56865,22703,16883,17444,15369,16826,19609,21523,4299,0,20.85,10,5,ENMR Telephone Cooperative -- UPN -- PVT Networks Inc -- Straight Shot Wireless -- Resound Networks -- TDS Telecom -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0.8987,0,0,1,1
35017,28006,20006,256,303,238,0,14039,48.1,44895,277,4183,1302,3153,1794,228,2279,3259,11292,8072,3220,1832,9,9338,750,1195,9429,9420,6862,1554,816,626,1270,1014,2504,1719,1660,1319,26810,6,64,492,634,679,38,20381,26748,11292,7413,8451,9829,9611,9790,9535,2386,1,8.1,6,4,Xfinity -- Valley Telecom Group -- T-Mobile US -- CenturyLink -- Verizon -- CentraCom,0.8793,0,0,1,1
35019,4413,2028,87,354,4,0,3321,43.0,38713,103,1231,273,348,96,32,353,448,1295,1013,282,267,9,907,182,197,940,931,621,341,98,68,173,101,291,185,254,206,4062,0,0,148,203,723,0,3398,4235,1295,0,0,0,0,0,0,373,1,2.67,3,3,T-Mobile US -- Verizon -- ENMR Telephone Cooperative,0.91360003,0,0,1,1
35021,671,341,1,0,0,7,288,42.2,39489,6,128,15,74,66,4,31,65,243,163,80,30,2,153,42,46,155,153,120,55,7,3,37,18,52,36,45,25,648,0,0,6,17,25,7,471,637,243,0,0,0,0,0,0,16,1,0.64,2,2,T-Mobile US -- ENMR Telephone Cooperative,0.73180002,0,0,1,1
35023,4160,2887,7,28,0,0,2469,42.1,53651,52,765,298,330,128,8,275,664,1557,1100,457,414,0,1167,163,227,1178,1178,756,312,74,24,243,118,242,197,161,130,3814,6,29,161,150,311,12,2908,3897,1557,0,0,0,0,0,0,428,1,5.05,3,2,CentraCom -- Valley Telecom Group -- Verizon,0.62440002,0,0,1,1
35025,73103,45587,3078,800,440,0,44987,32.2,65855,1143,11803,2577,3298,2636,258,7084,5473,24379,16679,7700,9506,19,20039,2208,2113,20161,20142,15628,3521,2006,1330,2218,1437,3020,2082,2230,1787,59362,99,689,3153,9800,10012,173,43412,67289,24379,15795,17563,18652,19054,20409,21940,5350,0,20.07,10,5,Yucca Telecom -- Leaco Rural Telephone Cooperative Inc. -- Bros Broadband LLC -- Straight Shot Wireless -- Resound Networks -- TDS Telecom -- T-Mobile US -- Verizon -- Echo Wireless Broadband Inc. -- Windstream Buffalo Valley Inc.,0.93040001,0,0,1,1
35027,20222,15418,366,503,57,0,6942,51.7,47919,51,3981,524,2191,1156,216,1928,1212,9031,7000,2031,1839,55,7212,1349,415,7269,7214,4842,1062,813,671,809,457,2061,1447,1143,925,19105,0,265,394,458,488,23,15369,19397,9031,0,0,0,0,0,0,1190,1,5.35,8,5,Tularosa Communications Inc. -- PVT Networks Inc -- Straight Shot Wireless -- TDS Telecom -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- ENMR Telephone Cooperative,0.88569999,0,0,1,1
