County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
39001,27509,26532,131,38,127,6,303,42.2,46234,356,7200,1167,1514,1003,246,2221,3092,10175,7271,2904,3474,13,7999,938,1225,8120,8107,4830,1886,772,501,1531,833,1793,1255,1232,1042,27034,12,176,122,165,25,0,18788,25891,10175,7068,7388,7975,6659,8643,8072,3315,1,47.21,10,7,altafiber Extended Territories -- AT&T Inc -- Charter Communications Inc -- Southern Ohio Communications Inc -- Riverside Broadband LLC -- T-Mobile US -- Verizon -- FRONTIER,0.50660002,0,0,1,1
39003,102087,83081,10963,181,850,15,3548,39.8,58976,308,23779,3761,8167,3649,748,5265,6816,40735,27494,13241,11997,42,35149,2181,3363,35506,35460,29896,4388,1803,1289,3396,2040,6167,4638,5896,5091,99725,71,435,1085,771,304,324,68467,95939,40735,30488,33094,34687,35463,35571,37003,13068,0,254.54,17,5,BCI_Mississippi_Broadband_LLC -- altafiber Extended Territories -- Fort Randall Telephone Company -- Charter Communications Inc -- Benton Ridge Telephone Company -- FRONTIER -- Wabash Mutual Telephone -- MetaLINK Technologies Inc. -- FJ Communications -- T-Mobile US -- Verizon -- Speedwavz -- NKTELCO -- BTC Communications -- Vaughnsville Telephone Co -- Brightspeed,0.9849,0,0,1,1
39005,52522,50178,409,82,320,6,883,41.5,62254,753,13504,1807,5103,2210,418,2664,3286,20478,15954,4524,5276,48,17202,1163,2065,17390,17342,13245,2457,645,374,1603,935,2821,2044,2740,2191,51679,24,154,309,356,27,883,35796,49683,20478,16166,16391,16427,16351,16449,18373,2389,0,124.49,13,6,altafiber Extended Territories -- MCTV -- Charter Communications Inc -- North Coast Wireless Communications -- fixedbroadbandavailabiity6.30.2023 -- ArmstrongUtilitiesInc -- T-Mobile US -- Everstream -- MechcomDotNet -- FRONTIER -- Brightspeed -- Verizon,0.87120003,0,0,1,1
39007,97666,88110,3487,85,371,36,4625,42.6,53663,1526,25071,3853,7102,2875,523,6896,10128,38549,28278,10271,10370,186,31949,2475,3939,32669,32475,25989,4736,2278,1652,4200,2787,6042,4814,5758,4747,94942,862,283,1089,490,801,1279,68664,92189,38549,28790,29260,27208,29308,33957,33425,11989,0,139.4,16,7,GreatWave Communications -- altafiber Extended Territories -- Fort Randall Telephone Company -- AT&T Inc -- GreatWave Communications -- ArmstrongUtilitiesInc -- Fusion -- Everstream -- Charter Communications Inc -- T-Mobile US -- Verizon -- Zito Media -- Windstream Buffalo Valley Inc. -- Brightspeed,0.90369999,0,0,1,1
39009,61276,55686,1557,69,1604,19,1231,32.2,48750,257,10231,1165,5632,4907,443,7000,6049,22582,13698,8884,4810,24,18568,1941,2049,18775,18743,13510,2312,2347,1632,2893,1850,3462,2710,2762,2436,58424,39,362,704,1747,147,839,36121,58915,22582,16148,15930,17974,18929,18776,19446,5187,0,124.96,14,7,altafiber Extended Territories -- AT&T Inc -- Point Broadband Fiber Holding LLC -- New Era Broadband -- Charter Communications Inc -- T-Mobile US -- Nelsonville TV Cable -- Optimum -- Verizon -- Windstream Buffalo Valley Inc. -- Brightspeed -- FRONTIER,0.78079998,0,0,1,1
39011,46263,44115,400,19,152,0,849,40.7,75231,285,12127,1170,3973,2185,260,1271,1734,18858,14575,4283,6000,51,16323,1064,1420,16517,16466,13885,2024,571,365,947,497,2025,1404,2214,1888,45830,54,97,113,169,103,55,31516,43445,18858,15188,16088,17197,17112,16252,16173,2202,1,115.3,18,5,Hometown Cable -- BCI_Mississippi_Broadband_LLC -- Fort Randall Telephone Company -- altafiber Extended Territories -- Charter Communications Inc -- MCC_Georgia_LLC -- Wabash Mutual Telephone -- MetaLINK Technologies Inc. -- Benton Ridge Telephone Company -- T-Mobile US -- Fusion -- Verizon -- Speedwavz -- FRONTIER -- BTC Communications -- NKTELCO -- Brightspeed,0.97369999,0,0,1,1
39013,66554,61237,2014,40,409,38,776,44.1,56943,425,20372,2155,5451,2368,419,4478,4322,25974,19357,6617,6568,83,20692,1266,3933,21296,21213,15965,4186,1503,974,2394,1538,3865,2560,3554,2916,65592,100,135,613,114,54,251,48858,63478,25974,19718,16300,18092,19918,22123,21636,3699,1,126.05,13,8,Xfinity -- Bresco Broadband a 614 Gig Company -- altafiber Extended Territories -- AT&T Inc -- MCTV -- Smart Way Communications| LLC -- T-Mobile US -- Charter Communications Inc -- Verizon -- Windstream Buffalo Valley Inc. -- FRONTIER,0.85680002,0,0,1,1
39015,43715,42178,451,13,118,0,545,41.9,66677,489,11871,1918,2893,1348,122,2497,4332,16958,12647,4311,5077,57,13595,1288,2018,13853,13789,9834,2825,686,460,2098,1038,2026,1558,1814,1303,43465,0,95,80,75,7,34,30495,41207,16958,13325,13573,13896,14690,13013,14758,4425,1,89.25,11,8,altafiber Extended Territories -- AT&T Inc -- Charter Communications Inc -- Southern Ohio Communications Inc -- T-Mobile US -- Verizon -- TDS Telecom -- FRONTIER -- BridgeMAXX Suncoast Broadband,0.73339999,0,0,1,1
39017,388327,311138,32073,373,15372,199,20213,37.2,77062,1850,72118,9218,51348,20831,3131,23562,21110,144536,100443,44093,47726,153,129504,6534,8345,130656,130497,112789,11379,7004,5376,8070,5763,16429,12616,15649,13510,357152,820,2448,12754,15153,6978,10009,250309,365649,144536,117244,122436,124478,125409,131861,134139,34449,0,831.32,18,9,Xfinity -- Pavlov Media -- BCI_Mississippi_Broadband_LLC -- altafiber Extended Territories -- Fort Randall Telephone Company -- Charter Communications Inc -- TPx Communications -- MCC_Georgia_LLC -- AT&T Inc -- PCs For People -- T-Mobile US -- BridgeMAXX Suncoast Broadband -- Verizon -- FRONTIER -- Blue Sky Wireless -- Mobilcomm  Inc dba Heavenwire.net,0.96799999,0,0,1,1
39019,26761,25531,208,0,0,0,372,45.9,59872,710,8258,800,1623,862,61,1478,1728,11355,8695,2660,2969,65,8563,1406,1321,8711,8646,5630,2164,526,346,942,609,1469,754,1644,1208,26602,0,49,52,58,10,245,19215,25420,11355,8138,9027,8224,8984,9874,8865,1850,1,68.08,11,5,altafiber Extended Territories -- MCTV -- Charter Communications Inc -- Smart Way Communications| LLC -- Everstream -- Verizon -- FRONTIER -- T-Mobile US -- Pattersonville -- RAA Data Services,0.7899,0,0,1,1
