County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
40001,19726,7756,66,8681,268,4,1504,38.1,44955,244,4874,1084,846,479,40,1909,2430,6848,4695,2153,2231,13,3730,1591,1514,3770,3757,2429,2874,669,265,928,331,1373,607,756,472,19192,12,59,224,239,170,234,12785,18348,6848,4060,3609,3878,3646,4405,4735,2114,1,34.57,10,5,Cookson Hills Connect LLC -- Lake Region Technology & Communications LLC -- Wave Rural Connect -- Northeast Rural Services -- T-Mobile US -- OzarksGo -- Verizon -- Salina Spavinaw Telephone -- Windstream Buffalo Valley Inc. -- Brightspeed,0.99830002,0,1,1,1
40003,5683,4695,201,156,39,5,376,43.6,75028,68,1118,463,602,251,20,161,373,1829,1457,372,632,2,1555,150,122,1566,1564,1176,245,88,75,128,99,201,141,199,169,5455,6,11,124,87,89,26,4251,5425,1829,0,0,0,0,0,0,171,1,6.63,9,7,Pioneer Telephone Cooperative Inc. -- Chisholm Broadband -- Verizon -- Optimum -- T-Mobile US -- Nextlink -- South Central Telephone Assn Inc -- KanOkla Telephone Association -- AT&T Inc,0.71539998,0,1,1,1
40005,14117,9837,457,1317,106,1,599,40.6,49181,104,3412,684,983,448,24,819,1492,4848,3727,1121,1470,45,3531,593,679,3604,3559,1068,1082,230,150,715,380,749,459,767,543,13763,6,69,74,205,138,49,10044,13414,4848,0,0,0,0,0,0,1105,1,14.43,10,7,Atlink Services -- 360 Communications INC -- TDS Telecom -- Nextlink -- T-Mobile US -- Verizon -- Dobson Fiber -- Rise Broadband -- Vyve Broadband -- Windstream Buffalo Valley Inc.,0.76319999,0,1,1,1
40007,5071,3735,20,58,6,0,1337,39.9,62981,69,890,160,565,133,28,158,193,1727,1353,374,464,2,1494,105,126,1511,1509,1127,177,62,48,80,34,203,184,245,166,4498,0,9,124,440,465,13,3387,4776,1727,0,0,0,0,0,0,109,1,2.81,4,4,United Communications Association Inc -- Panhandle Telephone -- T-Mobile US -- IdeaTek,0.8373,0,0,1,1
40009,22295,18373,1422,435,139,1,3566,36.3,51499,290,4399,1649,1574,574,109,2194,1916,8013,5294,2719,2505,0,6901,659,453,6971,6971,4450,826,432,338,1087,819,1277,999,1081,984,21099,14,94,327,761,439,10,15297,20876,8013,4493,6276,0,6972,7713,7479,1555,1,24.79,10,6,Pioneer Telephone Cooperative Inc. -- Bluepeak -- Southern Plains Cable LLC -- Cable America -- HTSWIRELESS -- TDS Telecom -- T-Mobile US -- Verizon -- Dobson Fiber -- AT&T Inc,0.72399998,0,1,1,1
40011,8661,6709,404,560,0,0,1176,41.3,56843,212,1635,595,842,187,34,412,601,3431,2412,1019,1044,19,2825,323,264,2869,2850,1718,538,135,106,315,243,443,298,483,411,8077,0,16,35,533,409,0,6123,8238,3431,0,0,0,0,0,0,560,1,9.48,9,7,Pioneer Telephone Cooperative Inc. -- HINTON TELEPHONE CO -- Chisholm Broadband -- Plains Internet  LLC -- Optimum -- HTSWIRELESS -- T-Mobile US -- Nextlink -- Verizon,0.80949998,0,1,1,1
40013,46528,33332,1010,6262,309,15,3199,36.8,54289,365,8966,1651,4972,1867,310,3171,4228,17941,11417,6524,5735,7,13794,2427,1713,13933,13926,8257,3026,960,487,1956,992,2916,2044,2669,2225,45112,25,225,374,792,496,186,31086,43562,17941,10946,12724,13312,13050,14242,14873,4309,1,50.66,14,11,UPN -- Arbuckle Communications LLC -- 360 Communications INC -- Wifires Internet -- AT&T Inc -- TDS Telecom -- Nextlink -- T-Mobile US -- TekWav -- Verizon -- 903 Broadband -- Rise Broadband -- Vyve Broadband -- Cherokee Telephone Company,0.96630001,0,1,1,1
40015,26910,16282,951,5108,34,7,4038,37.4,52443,221,7102,1218,2030,639,43,2118,2605,9099,6585,2514,3055,2,7296,855,946,7396,7394,3890,1556,511,370,925,553,1613,1092,1306,1109,25448,7,90,237,1128,1009,97,18308,25295,9099,6495,6344,7457,8734,6761,7722,2524,1,21.33,15,10,HINTON TELEPHONE CO -- Pioneer Telephone Cooperative Inc. -- Carnegie Telephone Company -- Plains Internet  LLC -- Southern Plains Cable LLC -- HTSWIRELESS -- Optimum -- T-Mobile US -- Nextlink -- TDS Telecom -- Verizon -- Fusion -- Rise Broadband -- AT&T Inc -- OEC Fiber,0.87639999,0,1,1,1
40017,156681,119845,5582,5736,4803,208,16521,36.2,82364,605,24325,3969,23238,7754,1300,5398,6852,56300,42525,13775,21452,77,51591,2541,2091,52004,51927,41782,3375,1420,1100,2274,1559,4753,3890,6474,5686,147029,167,1396,4901,3188,2332,1990,103902,146524,56300,36584,39359,41170,41514,52999,54283,10307,0,168.61,17,9,Pioneer Telephone Cooperative Inc. -- HINTON TELEPHONE CO -- Chisholm Broadband -- Logix Communications LP -- Airosurf Communications -- Dobson Fiber -- UPN -- HTSWIRELESS -- TDS Telecom -- Nextlink -- T-Mobile US -- Cox Communications -- Verizon -- ProValue.Net -- AT&T Inc -- Atlink Services -- OEC Fiber,0.97490001,0,1,1,1
40019,48202,33751,2942,3707,622,16,4088,38.4,56390,372,9618,1971,3668,1906,407,3290,3967,18738,12627,6111,6124,40,14633,2737,1328,14785,14745,9907,3283,1112,638,1533,735,3106,2197,2751,2151,46154,122,251,650,1025,761,287,32134,44987,18738,10389,11054,12954,15126,16314,15948,4253,0,58.5,11,7,Arbuckle Communications LLC -- 360 Communications INC -- Cable America -- TDS Telecom -- T-Mobile US -- Chickasaw Telephone Company -- Trace Fiber Networks LLC -- Verizon -- Rise Broadband -- AT&T Inc -- Windstream Buffalo Valley Inc.,0.98409998,0,1,1,1
