County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
42001,104604,95750,1694,341,844,4,7688,43.8,78975,789,26065,3512,10195,5984,904,3930,3979,40006,31264,8742,10832,378,34629,1673,3326,35511,35133,29298,3857,1245,941,1933,1209,3981,2672,4719,3794,99996,225,848,1738,1797,1947,552,73526,99653,40006,30010,30962,33163,32554,34389,35247,2710,1,200.08,5,3,Xfinity -- T-Mobile US -- Verizon -- Shentel -- Brightspeed,0.90759999,0,0,1,1
42003,1245310,969070,158051,1152,50929,310,29272,40.6,72537,3230,203340,29689,229538,114694,28571,69136,65451,545637,354956,190681,126127,550,478843,24911,41333,484758,484056,426031,51145,29225,21893,42778,28644,60683,45391,60479,52143,1158278,1948,7986,37930,39168,4826,22979,902730,1181910,545637,435845,448531,467534,480643,490868,480076,68539,0,1707.12,18,6,Xfinity -- BCI_Mississippi_Broadband_LLC -- Consolidated Communications -- NetSpeed LLC -- Cogent Communication -- Salsgiver Inc -- TPx Communications -- ArmstrongUtilitiesInc -- Segra -- DQE Communications LLC -- Allstream Business US LLC -- Fusion -- NetFortris -- T-Mobile US -- Full Service Network LP -- Verizon -- Windstream Buffalo Valley Inc. -- Netrix,0.9975,0,0,1,1
42005,65538,63113,689,23,241,0,560,47.0,61011,477,21438,2345,6171,2180,441,2611,4114,27767,21810,5957,6715,195,22594,1663,3315,23205,22992,19285,3813,1001,733,2375,1386,4082,2735,3599,2711,64892,28,217,191,210,91,443,48608,62556,27767,18461,19519,21200,22846,22286,24045,3560,0,100.97,9,5,Xfinity -- Consolidated Communications -- Salsgiver Inc -- ArmstrongUtilitiesInc -- DQE Communications LLC -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- Brightspeed,0.90780002,0,0,1,1
42007,167629,148540,10127,127,839,6,3227,44.9,67194,559,40696,4331,22588,8581,1036,8174,9027,71999,52993,19006,17812,273,61272,4076,6378,62321,62014,52960,8245,3305,2367,5503,3502,9562,6643,8625,7065,163191,206,693,2483,1056,510,964,123142,159468,71999,52694,56333,60394,58884,61694,64253,8478,0,387.08,9,6,Xfinity -- NetSpeed LLC -- Charter Communications Inc -- ArmstrongUtilitiesInc -- NetFortris -- DQE Communications LLC -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc.,0.97369999,0,0,1,1
42009,47613,45949,347,47,249,0,598,47.3,58337,597,15357,1639,3396,1851,261,1873,3198,19571,15435,4136,4774,139,15543,924,2965,15996,15851,12280,3357,696,464,2266,1308,3071,2119,2557,1889,46858,73,197,296,189,116,284,34889,45235,19571,13892,13682,14909,16655,15257,16413,2014,1,47.15,10,8,Xfinity -- Crowsnest Broadband LLC -- In The Stix Broadband| LLC -- Breezeline -- SkyPacket -- T-Mobile US -- Upward Broadband LLC -- Verizon -- FRONTIER -- Brightspeed,0.70660001,0,0,1,1
42011,428483,322910,21068,1847,5831,70,99460,39.9,74617,4896,94082,12807,50120,21002,4091,22144,26971,161174,114165,47009,49046,502,137665,9226,13781,139629,139078,116431,18859,6913,4870,10898,6281,18453,13316,16404,13230,371514,17577,4567,19075,15750,27539,4030,292213,404827,161174,124404,128848,129236,129220,144029,143392,24157,0,498.56,16,7,Xfinity -- Verizon -- NetCarrier Telecom Inc. -- Service Electric Cable TV -- FastBridge Fiber -- Allstream Business US LLC -- Borough of Kutztown -- T-Mobile US -- Xtel Communications -- Upward Broadband LLC -- PenTeleData -- WiNet -- FRONTIER -- FirstLight Fiber -- Windstream Buffalo Valley Inc. -- Cogent Communication,0.97439998,0,0,1,1
42013,122640,115276,2329,79,688,21,1721,42.9,59386,799,35399,3758,13677,4917,1397,6471,9268,50587,36671,13916,13524,158,41535,2825,6069,42266,42108,35289,7259,2522,1480,4991,3110,6933,4773,6768,5530,120639,56,450,715,780,209,704,87416,116506,50587,37813,41618,41176,43710,42217,44531,8447,0,234.41,10,6,Xfinity -- Crowsnest Broadband LLC -- In The Stix Broadband| LLC -- Breezeline -- Salsgiver Inc -- DQE Communications LLC -- T-Mobile US -- Upward Broadband LLC -- Verizon -- Brightspeed,0.94999999,0,0,1,1
42015,60159,57419,455,36,352,43,946,43.9,60650,427,18220,1829,5202,2471,541,3293,4516,24361,17648,6713,6433,182,20184,1528,2467,20564,20359,16305,3122,971,723,2085,1159,3499,2648,3568,2957,58687,138,156,648,530,304,259,42551,56751,24361,19371,19010,20468,21182,19998,20343,3110,1,52.5,14,8,Xfinity -- Verizon -- Empire Telephone Corp. -- Charter Communications Inc -- Zeta Broadband -- PennWisp LLC -- Revolution Broadband - Claverack Communications LLC -- TRI-CO CONNECTIONS -- Beaver_Valley_Cable -- T-Mobile US -- Zito Media -- PenTeleData -- FRONTIER -- FirstLight Fiber,0.78430003,0,0,1,1
42017,645163,540421,25143,674,31585,73,38195,44.0,107826,1656,118008,10976,119275,59754,12516,16753,19077,246834,192466,54368,76305,285,227993,8159,10397,229905,229590,208024,13755,6652,4971,9050,6407,18129,14003,18557,16435,572100,3067,4416,45155,20425,7965,20687,464065,614917,246834,203416,211130,214718,218850,231186,236210,15155,0,1065.37,11,6,Xfinity -- Verizon -- NetCarrier Telecom Inc. -- Telesystem -- Service Electric Cable TV -- Hotwire Communications -- TPx Communications -- T-Mobile US -- Xtel Communications -- PenTeleData -- FRONTIER,0.99519998,0,0,1,1
42019,194562,183767,2180,89,2758,9,3391,43.4,82932,712,40312,4404,33619,15000,2593,6879,8051,79466,60520,18946,21327,238,69932,3196,6100,70778,70511,61635,7054,2921,2179,5243,3407,8481,6222,7143,5747,189145,276,760,2417,1964,715,1180,139574,185105,79466,63403,64205,66371,66107,72640,72823,5263,0,243.91,11,5,Xfinity -- BCI_Mississippi_Broadband_LLC -- Consolidated Communications -- Salsgiver Inc -- ArmstrongUtilitiesInc -- Prologic Technology Services LLC -- DQE Communications LLC -- T-Mobile US -- Verizon -- Telesystem -- Brightspeed,0.97320002,0,0,1,1
