County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
46003,2590,2415,33,62,6,0,172,41.4,71490,33,587,47,232,72,10,43,85,1053,807,246,300,3,822,120,108,827,824,642,195,8,7,97,67,100,71,130,91,2454,18,10,16,92,95,0,1724,2414,1053,0,0,0,0,0,0,22,1,3.74,6,5,Midstate Communications -- Golden West Telecommunications -- Venture Communications Cooperative Inc. -- Santel -- T-Mobile US -- Verizon,0.96310002,0,0,1,1
46005,19089,14228,113,231,1708,201,2244,37.5,63813,430,3420,716,2077,739,172,754,1057,7443,5214,2229,2533,0,6098,571,774,6145,6145,4525,1133,334,241,653,326,967,772,1119,810,16741,32,23,803,1490,449,1349,12532,17547,7443,0,0,0,0,0,0,728,1,15.06,12,8,SDN Communications -- Venture Communications Cooperative Inc. -- Santel -- Valley FiberCom -- T-Mobile US -- LTD Broadband -- GigFire -- Verizon -- James Valley Cooperative Telephone Company -- Midco -- Wisp West| Celerity Internet -- CenturyLink,0.99330002,0,0,1,1
46007,3391,1373,6,1822,45,0,315,27.0,44821,43,538,84,270,48,0,721,270,1014,615,399,401,0,656,186,172,683,683,603,277,120,72,125,24,172,91,142,111,3335,0,12,12,32,2,55,1797,3134,1014,0,0,0,0,0,0,213,1,2.88,2,1,Golden West Telecommunications -- Verizon,0.87809998,0,1,1,1
46009,7018,6100,115,471,14,0,204,42.1,57554,135,1302,606,721,251,42,172,458,2414,1844,570,518,34,1866,187,327,1931,1897,1564,432,102,56,223,89,399,274,345,281,6933,13,18,16,38,31,23,5171,6686,2414,0,0,0,0,0,0,63,1,12.46,7,3,Fort Randall Telephone Company -- Golden West Telecommunications -- South Dakota Wireless Internet -- Viaero Wireless -- Santel -- T-Mobile US -- Verizon,0.98809999,0,0,1,1
46011,34631,31148,370,422,1057,0,1341,27.7,64438,109,3840,501,5202,1557,547,1540,2382,13366,7797,5569,3403,13,11898,800,655,11925,11912,9781,1064,493,373,1141,870,1402,1085,1628,1283,32239,400,142,664,1186,387,294,18716,32646,13366,9650,10848,11405,11059,11734,12837,446,0,43.32,13,6,SDN Communications -- Swiftel Communications -- ITC -- Alliance Communications Cooperative Inc. -- MCC_Georgia_LLC -- Valley FiberCom -- T-Mobile US -- LTD Broadband -- GigFire -- Verizon -- Midco -- Wisp West| Celerity Internet -- CenturyLink,0.9946,0,0,1,1
46013,38278,33055,937,1237,1344,13,1461,37.3,70379,293,7022,821,6111,1415,414,1610,2313,16035,10568,5467,4214,29,13574,1259,1173,13745,13716,11124,1838,710,499,1046,674,2263,1624,1548,1305,35568,299,361,577,1473,471,761,25369,35978,16035,13057,13018,12243,14918,13545,14443,762,0,22.46,10,5,SDN Communications -- Wavelength LLC -- Venture Communications Cooperative Inc. -- Valley FiberCom -- T-Mobile US -- Verizon -- James Valley Cooperative Telephone Company -- Midco -- Dickey Rural Telephone Coop -- CenturyLink,0.99529999,0,0,1,1
46015,5247,4330,69,645,0,0,94,41.5,64821,254,1128,94,694,172,43,279,428,1958,1273,685,612,0,1484,197,277,1499,1494,1321,372,98,22,188,109,260,121,241,195,5178,0,12,34,23,7,86,3576,4950,1958,0,0,0,0,0,0,127,1,6.42,4,3,Midstate Communications -- T-Mobile US -- CenturyLink -- Verizon,0.96450001,0,0,1,1
46017,1859,352,0,1472,0,0,154,24.0,42917,4,332,71,47,5,0,462,211,492,241,251,227,0,289,84,119,301,301,159,190,100,40,88,40,26,15,68,41,1854,0,5,0,0,0,18,911,1624,492,0,0,0,0,0,0,262,1,4.19,3,2,SDN Communications -- Midstate Communications -- Venture Communications Cooperative Inc.,0.94760001,0,1,1,1
46019,10369,9297,0,171,37,13,441,40.3,58106,52,2277,472,924,325,48,321,520,4112,3296,816,1275,9,3631,172,300,3640,3631,2949,449,83,65,427,333,649,545,545,407,10217,64,23,59,6,67,0,7263,9751,4112,0,0,0,0,0,0,188,1,9.39,8,4,Bluepeak -- Golden West Telecommunications -- West River Cooperative Telephone Company -- T-Mobile US -- Verizon -- Midco -- Wisp West| Celerity Internet -- CenturyLink,0.88370001,0,0,1,1
46021,1534,1493,0,4,2,0,61,50.4,66932,59,292,38,278,26,0,11,75,691,572,119,132,0,501,62,128,502,502,444,155,13,6,73,24,69,36,137,95,1508,0,3,7,16,9,3,1111,1448,691,0,0,0,0,0,0,7,1,2.11,4,3,Valley FiberCom -- T-Mobile US -- Venture Communications Cooperative Inc. -- Verizon,0.90630001,0,0,1,1
