County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
47001,77337,68460,2446,258,1017,62,2661,42.1,60633,617,14375,4092,7440,4156,830,4888,6772,31275,21844,9431,8969,103,27247,1815,2110,27573,27453,21224,2985,1892,1416,2885,1838,3793,2783,4576,4191,74091,34,533,1384,1295,751,442,55143,73310,31275,25009,24381,24865,26204,28181,29073,3861,0,227.41,8,6,Xfinity -- Highland Telephone Cooperative -- TDS Telecom -- T-Mobile US -- Iris Networks -- Verizon -- FRONTIER -- AT&T Inc,0.9673,0,0,1,1
47003,50533,41327,3267,513,169,0,6857,37.9,59955,792,11864,2209,4051,1209,347,2226,3949,18469,12998,5471,6217,24,14931,1567,1947,15421,15397,10439,2476,690,467,1612,1107,2218,1494,2806,2287,46864,28,430,766,2445,1992,59,33792,47245,18469,11301,14468,13097,13818,16611,18007,3631,0,105.05,10,8,Xfinity -- Ben Lomand Rural Telephone Coop. Inc -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- TPx Communications -- United Communications Inc -- Fusion -- T-Mobile US -- Verizon -- AT&T Inc,0.81290001,0,0,1,1
47005,15933,14836,304,18,170,123,289,47.9,47737,347,4331,1025,733,432,67,1099,1736,6736,4980,1756,1688,23,4977,889,847,5083,5060,2865,1558,339,167,985,478,1050,676,1137,901,15570,12,72,269,10,0,10,11591,15197,6736,0,0,0,0,0,0,1501,1,40.25,10,7,Charter Communications Inc -- TEC Bay Springs Division -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- LTD Broadband -- GigFire -- Verizon -- SCRNCOM LLC -- AT&T Inc,0.65539998,0,0,1,1
47007,14816,13226,845,45,20,0,448,44.6,51783,508,3991,1277,728,363,45,1293,2256,4851,3912,939,1553,11,3721,324,795,3865,3841,2706,895,348,221,682,492,809,581,533,433,14428,46,27,109,206,130,48,11441,14177,4851,0,0,0,0,0,0,841,1,36.56,0,0,0,0.78659999,0,0,0,0
47009,135951,124296,3589,104,1034,36,5234,43.8,70935,1063,29723,5117,16230,6568,1756,5016,6484,53456,40762,12694,14574,85,45703,4139,3529,46072,45987,37523,6521,1980,1248,3179,1865,6211,4517,6428,5198,131056,188,648,1959,2100,1440,529,98165,129364,53456,37753,39139,41782,41545,49337,50040,8556,0,239.87,11,7,Xfinity -- Point Broadband Fiber Holding LLC -- Charter Communications Inc -- BreezeAir Networks LLC -- WireTower.Net| Planet Connect| SevierNet -- Fusion -- TDS Telecom -- T-Mobile US -- Verizon -- Wifisquard -- AT&T Inc,0.95550001,0,0,1,1
47011,108859,94075,5263,237,1075,0,7506,39.9,60692,1290,17850,5412,11018,4769,1126,5305,8823,41340,28102,13238,12722,106,35193,2910,3131,35595,35489,29017,4925,2063,1383,4027,2223,5724,4691,5067,4102,101662,936,501,2765,2995,2005,1019,74607,102806,41340,30200,34036,31809,32889,37499,36952,10183,0,328.03,10,6,Xfinity -- EPB -- Charter Communications Inc -- TPx Communications -- America Internet & Communications -- NetFortris -- T-Mobile US -- Verizon -- Twin Lakes -- AT&T Inc,0.91619998,0,0,1,1
47013,39397,37935,117,22,182,0,661,44.2,48258,885,9722,2005,2147,1058,429,2648,4825,16255,10944,5311,4990,40,11859,2284,2072,12011,11971,9110,2929,951,568,2460,1002,2716,1819,2144,1671,38960,0,56,190,191,124,36,28408,37196,16255,9723,10001,10304,12508,12802,12970,4057,1,82.03,9,7,Xfinity -- RJM Networks -- Vyve Broadband -- Charter Communications Inc -- Highland Telephone Cooperative -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0.80839998,0,0,1,1
47015,14481,13670,359,31,0,2,397,40.7,57651,182,3848,481,1210,364,59,1320,848,5769,4417,1352,1589,3,4274,942,550,4329,4326,3192,1242,482,207,695,326,764,401,593,464,14213,9,37,34,188,92,124,10328,13664,5769,0,0,0,0,0,0,826,1,53.87,7,7,Xfinity -- Ben Lomand Rural Telephone Coop. Inc -- United Communications Inc -- DeKalb Telephone Cooperative Inc. -- T-Mobile US -- Verizon -- AT&T Inc,0.99879998,0,0,1,1
47017,28381,24378,2520,31,87,0,881,41.7,49700,415,6589,1722,2302,1186,147,1975,2527,11038,8227,2811,3487,98,8422,1157,1361,8634,8536,5807,2139,736,415,1500,743,1836,1177,1479,1185,27536,24,349,310,162,87,26,19421,26892,11038,7425,6778,7165,7809,9424,9196,2971,1,47.47,7,5,Charter Communications Inc -- TEC Bay Springs Division -- Rural Connect -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0.7001,0,0,1,1
47019,56315,53105,1221,106,259,19,1526,46.0,47994,864,12055,3399,5687,2295,554,3528,6368,23940,17555,6385,5974,58,18489,2416,2977,18824,18766,15195,3900,1416,894,3489,1818,4126,2957,3337,2638,54907,23,221,376,788,305,131,42063,53884,23940,13882,14487,16755,17335,18672,19952,7550,0,165.02,6,4,Xfinity -- Charter Communications Inc -- T-Mobile US -- Verizon -- Erwin Fiber -- Brightspeed,0.88959998,0,0,1,1
