County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
49001,7102,6326,10,63,0,10,919,33.8,80268,9,1075,89,924,192,20,283,202,2290,1843,447,951,0,1831,365,94,1831,1831,1356,441,73,45,90,41,263,179,210,153,6636,0,17,134,315,300,59,4241,6531,2290,0,0,0,0,0,0,115,1,5.14,5,3,FIF St. George LLC -- SC BROADBAND -- T-Mobile US -- Verizon -- CenturyLink,0.91350001,0,0,1,1
49003,58291,52626,240,272,581,102,5751,33.1,72769,108,9977,1246,6499,2046,240,1851,2868,18557,14116,4441,7726,69,16895,994,599,17053,16983,13365,1086,895,672,969,719,1565,1315,2099,1872,56080,22,492,854,843,1162,67,34857,53915,18557,14268,14988,15898,16398,17561,18030,1051,0,28.52,13,6,Xfinity -- Beehive Broadband -- ATC Communications -- Utah Telecommunication Open Infrastructure Agency -- Blue Spring Broadband -- T-Mobile US -- CenturyLink -- Utah Broadband -- Verizon -- FRONTIER -- Rise Broadband -- Wi-Fiber Inc -- CentraCom,0.88410002,0,0,1,1
49005,134428,117401,925,486,2699,534,14770,25.5,72719,253,12606,1199,17456,7168,1096,7705,9990,41718,26748,14970,16591,27,38077,2453,1161,38197,38170,32040,1904,1431,1143,2248,1774,5175,4072,4959,4331,125114,138,1137,3307,4732,2885,1376,68799,123950,41718,32676,33358,34836,36116,40137,41955,2206,0,113.08,12,5,Xfinity -- Beehive Broadband -- ATC Communications -- Utah Telecommunication Open Infrastructure Agency -- CentraCom -- Blue Spring Broadband -- STRATA Networks -- Wi-Fiber Inc -- T-Mobile US -- Verizon -- Rise Broadband -- CenturyLink,0.92220002,0,0,1,1
49007,20338,18214,226,123,56,39,2799,37.8,53734,84,3234,654,1563,504,94,1340,1977,7998,5355,2643,2664,34,6494,871,599,6631,6585,5271,955,537,355,852,557,1325,895,951,838,19729,0,152,187,270,153,85,13286,19087,7998,6132,5538,6785,6008,7347,7234,1235,1,13.66,5,2,River Canyon Wireless Inc -- T-Mobile US -- Verizon -- EXSTREAM -- CentraCom,0.92220002,0,0,1,1
49009,638,592,0,11,0,0,18,43.3,61250,3,115,11,53,16,2,38,8,235,197,38,58,2,212,9,12,220,218,130,15,21,15,6,6,32,27,44,44,630,0,8,0,0,0,0,429,611,235,0,0,0,0,0,0,7,1,0.81,2,1,Union Telephone Company -- LR Communications,0.65060002,0,0,1,1
49011,363032,317232,4526,1474,6627,2839,37998,32.0,101285,402,40115,5630,54957,21481,3754,9901,11885,112155,87150,25005,49647,147,104751,4785,2472,105197,105022,93745,4462,2527,1878,3734,2357,7333,6199,7633,6879,339339,468,4062,10359,8804,6074,2715,215372,335531,112155,91733,96452,96774,102898,107010,111546,5126,0,1199.84,13,4,Xfinity -- Beehive Broadband -- ATC Communications -- WiFi Pros -- Utah Telecommunication Open Infrastructure Agency -- Google Fiber -- Echo Broadband -- Allstream Business US LLC -- T-Mobile US -- Utah Broadband -- Verizon -- Rise Broadband -- CenturyLink,0.9964,0,0,1,1
49013,19779,17557,74,680,78,85,1683,33.1,70821,66,4124,476,1152,441,45,1172,1453,6461,4992,1469,2664,19,5610,486,346,5657,5638,4746,626,228,172,496,361,770,566,808,651,19041,0,101,310,327,383,40,11720,18119,6461,5643,6001,5806,6427,6556,6303,479,1,11.62,5,2,STRATA Networks -- SBT Internet -- T-Mobile US -- Verizon -- EXSTREAM,0.60979998,0,1,1,1
49015,9898,9461,8,58,0,96,677,38.4,67056,54,1774,179,572,369,38,352,804,3447,2698,749,1209,0,2950,321,176,2955,2955,2621,421,115,56,220,104,459,325,417,347,9635,0,9,30,224,131,52,6282,9305,3447,0,0,0,0,0,0,351,1,3.64,4,2,EXSTREAM -- River Canyon Wireless Inc -- T-Mobile US -- Verizon,0.87089998,0,0,1,1
49017,5121,4826,6,146,0,22,381,40.4,56481,20,1013,77,785,268,56,419,368,1952,1428,524,514,9,1554,219,170,1571,1562,1362,248,84,50,212,89,336,296,245,163,4901,0,12,110,98,29,12,3747,4835,1952,0,0,0,0,0,0,63,1,2.06,4,2,Beehive Broadband -- SC BROADBAND -- T-Mobile US -- Verizon,0.70029998,0,0,1,1
49019,9680,8431,2,349,140,101,1052,40.3,59171,48,1352,260,1501,401,281,893,612,4335,2906,1429,1234,136,3647,283,269,3828,3670,3209,209,328,186,218,114,574,441,585,534,8989,11,51,204,425,332,42,6970,9282,4335,0,0,0,0,0,0,271,1,10.82,5,3,T-Mobile US -- Verizon -- EXSTREAM -- FRONTIER -- River Canyon Wireless Inc,0.96390003,0,0,1,1
