County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
51001,33367,20860,9484,79,268,0,3084,47.3,52694,407,6992,1070,2970,1747,334,2431,2809,14252,9530,4722,3358,49,11323,1085,1795,11534,11484,7354,2291,742,566,1450,624,2426,1698,2113,1740,30318,222,351,699,1777,1250,508,24396,31593,14252,8154,9280,9521,10949,12086,13086,2638,1,74.31,7,5,Neubeam -- Charter Communications Inc -- bloosurf -- T-Mobile US -- Eastern Shore Communications -- Verizon -- Eastern Shore of Virginia Broadband Authority,0.91390002,0,0,1,1
51003,112513,88455,9966,125,6319,34,6633,39.7,97708,350,9804,1475,23136,14590,4208,3386,3992,44031,29604,14427,12054,91,39457,2293,2190,39743,39652,30377,3410,1166,825,1752,1223,3970,3244,3745,2981,99377,307,1487,5048,6294,2205,2048,76936,106847,44031,33922,34649,37067,37935,41161,41140,3142,1,154.67,15,7,Xfinity -- Ting -- infinaFiber -- MGW Telephone -- FiberLync -- Nelson County Cablevision Corp -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- Virginia Broadband  LLC -- Firefly Fiber Broadband -- Verizon -- Shentel -- RIVERSTREET NETWORKS -- Brightspeed,0.86409998,0,0,1,1
51005,15159,14000,783,0,9,0,246,48.0,52546,122,4332,513,967,461,111,1209,826,6309,5250,1059,1435,9,4867,509,924,4950,4941,4358,1255,523,371,758,380,929,633,758,571,14871,14,114,78,82,12,5,11161,14530,6309,0,0,0,0,0,0,980,1,34.18,5,4,TDS Telecom -- T-Mobile US -- Verizon -- lumos -- Shentel,0.79430002,0,0,1,1
51007,13309,9928,2679,0,1,0,455,45.1,63438,310,3664,779,1251,416,40,461,1008,5258,4438,820,1545,42,4119,423,674,4225,4157,2492,897,316,211,242,26,611,356,905,738,13104,0,67,28,110,206,0,9801,12584,5258,0,0,0,0,0,0,649,1,37.2,7,5,Xfinity -- infinaFiber -- TDS Telecom -- T-Mobile US -- Kinex Telecom -- Verizon -- RIVERSTREET NETWORKS,0.74659997,0,0,1,1
51009,31426,23551,5726,238,226,22,839,43.9,64454,389,6901,1559,2996,1498,99,1678,1774,12615,9550,3065,3157,58,9867,1162,1528,10032,9967,6209,2391,540,295,1047,364,1991,1345,1594,1265,30661,95,94,311,265,88,42,22321,29774,12615,8017,8112,8571,9345,11263,9916,1848,0,66.21,8,6,Xfinity -- infinaFiber -- TDS Telecom -- T-Mobile US -- Firefly Fiber Broadband -- Verizon -- Shentel -- RIVERSTREET NETWORKS,0.84210002,0,0,1,1
51011,16253,12621,2943,1,51,0,352,43.1,60041,187,3768,790,1626,546,29,1050,1175,6535,5083,1452,2003,0,5061,832,642,5113,5113,2719,1185,379,166,598,355,889,504,999,816,15934,0,67,90,162,33,9,11491,15248,6535,0,0,0,0,0,0,1017,1,47.99,7,5,infinaFiber -- TDS Telecom -- T-Mobile US -- Firefly Fiber Broadband -- Verizon -- Shentel -- RIVERSTREET NETWORKS,0.74650002,0,0,1,1
51013,235845,153250,21994,869,24308,242,36734,35.3,137387,674,10675,1961,61741,48347,14799,8680,6847,110887,46842,64045,22999,106,103937,3573,3271,104350,104221,95165,4693,3646,2836,3376,2426,5376,4045,5056,4373,176238,1266,5847,27142,25352,9550,9384,173124,223025,110887,93689,96596,99900,103280,104178,106545,8311,0,9068.75,13,6,Xfinity -- Starry Inc. -- Allied Telecom Group LLC -- Astound_Broadband -- MCC_Georgia_LLC -- Allstream Business US LLC -- Fusion -- T-Mobile US -- Cox Communications -- Verizon -- Telefonica -- Atlantech Online Inc. -- Cogent Communication,0.99980003,0,0,1,1
51015,77433,70321,3407,181,346,66,2655,44.8,76124,793,19116,3871,8937,3193,730,2517,3464,30056,23663,6393,8172,144,25083,2320,2509,25551,25407,16924,3943,844,660,1895,813,3630,2554,3398,2758,74587,39,850,829,1128,705,247,57106,73981,30056,21743,21932,22889,25274,25699,27471,3090,1,79.57,12,7,Xfinity -- New Hope Telephone Cooperative -- MGW Telephone -- infinaFiber -- Rural Broadband Network Services -- Nelson County Cablevision Corp -- BARC Connects -- T-Mobile US -- Firefly Fiber Broadband -- Verizon -- lumos -- Shentel,0.74529999,0,0,1,1
51017,4177,3909,202,4,14,0,31,51.8,55699,52,978,201,408,154,17,289,667,1905,1355,550,430,5,1373,187,340,1397,1392,1161,508,116,33,249,113,259,212,247,187,4061,0,86,0,30,16,0,3217,3970,1905,0,0,0,0,0,0,144,1,8.02,7,5,MGW Telephone -- infinaFiber -- BARC Connects -- TDS Telecom -- T-Mobile US -- Verizon -- lumos,0.81569999,0,0,1,1
51019,79761,69564,4925,53,1010,0,2079,46.8,74773,282,14534,2532,11560,5532,1009,2778,4383,32510,27390,5120,8492,108,27541,2364,2497,27753,27645,18162,3907,981,736,2242,1299,3191,2057,4031,3149,76957,184,496,1153,971,433,399,58099,76223,32510,22079,23237,25966,24119,30264,27633,3223,0,104.17,10,6,Xfinity -- infinaFiber -- ZiTEL -- SML Wireless -- TDS Telecom -- T-Mobile US -- Cox Communications -- Verizon -- Shentel -- RIVERSTREET NETWORKS,0.71160001,0,0,1,1
