County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
50001,37434,34494,391,80,769,29,935,43.9,85870,238,6871,730,6343,3080,613,1256,1321,14416,11455,2961,3310,92,12677,816,831,12881,12789,11294,1191,410,319,839,537,1379,1036,1525,1274,35178,25,412,854,965,166,115,26081,35936,14416,11566,12416,12150,11802,13460,13284,921,1,48.68,10,5,Xfinity -- Consolidated Communications -- Maple Broadband -- Otelco Telephone LLC -- GREEN MOUNTAIN ACCESS -- T-Mobile US -- Verizon -- ECFiber -- FirstLight Fiber -- VTel Wireless Inc.,0.75129998,0,0,1,1
50003,37326,34919,357,44,402,27,891,46.7,68558,224,6715,828,5734,3662,738,2168,1891,14566,10823,3743,3334,156,11545,1531,1334,11817,11660,10024,1542,889,391,1165,762,1838,1435,1583,1234,35914,30,362,534,486,25,164,26835,35692,14566,11843,12035,10666,11421,11727,12332,1647,1,55.23,14,7,Xfinity -- New England Wireless Co. -- Consolidated Communications -- DVFiber -- Charter Communications Inc -- TPx Communications -- Vermont Telephone Company -- TDS Telecom -- T-Mobile US -- Verizon -- Hub66 Inc. -- Wireless Partners LLC -- FirstLight Fiber -- VTel Wireless Inc.,0.92290002,0,0,1,1
50005,30418,28614,323,68,130,0,581,45.4,62964,248,6508,804,4219,1989,413,1589,1911,12819,9891,2928,3525,79,10555,932,1253,10728,10649,7866,1758,514,303,1212,732,1873,1231,1550,1171,29384,61,176,474,323,107,72,21985,29082,12819,8714,9494,10111,10966,10696,12171,1915,1,46.83,14,6,Xfinity -- New England Wireless Co. -- Consolidated Communications -- Cloud Alliance -- NEK Broadband -- Charter Communications Inc -- NEW Alliance -- Kingdom Fiber -- Northern Connections -- T-Mobile US -- Verizon -- Tilson Broadband -- FirstLight Fiber -- VTel Wireless Inc.,0.79210001,0,0,1,1
50007,168309,148313,4265,146,6546,65,4286,36.7,89494,545,16873,1973,36064,18247,4296,8755,8999,69318,43933,25385,17319,134,61688,4586,2910,62319,62185,56234,3710,2933,2259,3992,2538,6501,4863,5924,5164,152846,129,1597,8120,5617,274,4455,112289,160993,69318,56218,55057,56053,57935,65546,67548,5690,0,312.05,11,5,Xfinity -- Consolidated Communications -- Mansfield Community Fiber -- TPx Communications -- GREEN MOUNTAIN ACCESS -- Vermont Telephone Company -- T-Mobile US -- Verizon -- FirstLight Fiber -- Antietam Cable -- VTel Wireless Inc.,0.97229999,0,0,1,1
50009,5976,5682,2,39,44,0,92,51.6,55247,70,1671,297,515,298,45,354,435,2667,2231,436,562,19,2135,209,304,2178,2159,1603,432,87,56,325,174,439,310,351,298,5764,0,39,112,61,14,58,4562,5722,2667,0,0,0,0,0,0,209,1,9.02,13,5,Xfinity -- New England Wireless Co. -- Consolidated Communications -- NEK Broadband -- Charter Communications Inc -- NEW Alliance -- Northern Connections -- T-Mobile US -- Tilson Broadband -- Wireless Partners LLC -- Netafy -- FirstLight Fiber -- VTel Wireless Inc.,0.73750001,0,0,1,1
50011,50101,46703,121,304,331,16,921,40.6,73633,602,11696,1533,6192,2605,363,2463,2688,19233,14965,4268,5393,74,16453,1040,1666,16696,16611,14278,1982,893,544,1405,840,1910,1239,2130,1779,48219,142,480,845,415,85,208,35303,47324,19233,13598,14846,15255,16192,17359,18712,1849,1,78.85,8,5,Xfinity -- Consolidated Communications -- Franklin Telephone Company -- Mansfield Community Fiber -- T-Mobile US -- Verizon -- FirstLight Fiber -- VTel Wireless Inc.,0.90679997,0,0,1,1
50013,7335,6760,80,128,25,0,147,48.6,86639,40,1613,166,1406,727,118,325,219,3027,2719,308,685,19,2729,126,153,2753,2734,2286,173,109,60,199,98,193,145,417,415,6961,6,74,175,119,28,49,5608,7019,3027,0,0,0,0,0,0,248,1,88.66,5,5,Xfinity -- Consolidated Communications -- T-Mobile US -- Verizon -- VTel Wireless Inc.,0.8118,0,0,1,1
50015,25977,24371,312,90,123,0,510,41.0,69886,80,3573,682,5040,2176,455,1118,1059,11176,8213,2963,2907,64,9807,830,475,9959,9895,8061,831,458,314,757,481,1050,890,1479,1289,24691,33,213,455,585,31,50,18510,24765,11176,8869,7666,9588,8524,10521,11063,659,1,56.19,11,5,Xfinity -- New England Wireless Co. -- Consolidated Communications -- Cloud Alliance -- Mansfield Community Fiber -- Stowe Communications LLC -- Vermont Telephone Company -- T-Mobile US -- Verizon -- FirstLight Fiber -- VTel Wireless Inc.,0.83789998,0,0,1,1
50017,29439,27973,101,81,162,2,414,46.6,74534,197,6513,791,4186,2388,655,953,1709,12690,10461,2229,3280,196,10773,686,1035,11009,10811,8811,1405,308,200,748,480,1403,1021,1490,1261,28514,14,281,410,220,43,112,21890,28183,12690,8782,9063,10299,10892,10980,11546,1102,1,42.63,11,7,Xfinity -- Consolidated Communications -- Cloud Alliance -- Charter Communications Inc -- TDS Telecom -- T-Mobile US -- Castle Cable TV -- Verizon -- ECFiber -- FirstLight Fiber -- VTel Wireless Inc.,0.86570001,0,0,1,1
50019,27459,26082,190,85,164,5,455,45.6,63981,303,6601,953,3474,1608,346,1030,1580,11528,9228,2300,2838,134,9876,517,1001,10146,9994,8044,1222,432,301,922,584,1700,1362,1600,1336,26288,10,266,710,185,39,196,20080,26170,11528,8769,8620,9142,9451,10128,10905,1177,1,39.33,12,5,Xfinity -- New England Wireless Co. -- Consolidated Communications -- Cloud Alliance -- NEW Alliance -- Kingdom Fiber -- Northern Connections -- T-Mobile US -- Verizon -- Wireless Partners LLC -- FirstLight Fiber -- VTel Wireless Inc.,0.82700002,0,0,1,1
