County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
55001,20730,18796,507,123,138,7,931,55.1,55223,200,5494,1297,1895,554,66,1389,1501,9176,7781,1395,1368,61,7296,750,1069,7421,7360,5561,1537,445,339,836,461,1663,1080,1298,1027,20081,31,94,357,167,127,216,16596,20092,9176,6091,6278,7210,7992,8149,8525,1562,1,31.76,10,6,Solarus -- Hoyos Consulting LLC -- Charter Communications Inc -- Amherst Telephone Company -- Marquette Adams Telephone Coop Inc -- TDS Telecom -- T-Mobile US -- Bug Tussel Wireless LLC -- Verizon -- FRONTIER,0.91530001,0,0,1,1
55003,16041,13331,249,1586,119,7,524,42.2,57000,28,3531,481,1464,620,157,1036,1527,6846,4915,1931,1667,54,5307,674,811,5409,5355,4139,1219,432,234,915,491,803,532,880,699,15790,2,46,147,56,18,118,11136,15172,6846,0,0,0,0,0,0,1238,1,15.31,10,4,Astrea -- Brightspeed -- Charter Communications Inc -- T-Mobile US -- CenturyLink -- Peninsula Fiber Network -- Verizon -- Bug Tussel Wireless LLC -- Bayfield Wireless -- Norvado,0.72229999,0,0,1,1
55005,46683,43208,862,252,276,0,1380,44.6,59379,651,10049,1763,4654,1411,511,2058,3343,19197,14455,4742,4901,161,15152,2303,1581,15538,15375,12321,2179,639,415,1653,938,2841,1854,2823,2172,45049,18,176,634,806,499,507,33242,44261,19197,14481,14855,13191,13173,15774,17421,2757,1,53.91,9,4,Charter Communications Inc -- Citizens Telephone Cooperative -- NextGen Communications LLC -- Northwest_Communications_Inc -- Mosaic Technologies -- T-Mobile US -- CenturyLink -- Verizon -- Brightspeed,0.83209997,0,0,1,1
55007,16214,13713,165,1306,98,0,390,53.6,67266,39,3157,258,2627,1142,273,690,986,7557,6258,1299,1549,43,6570,367,577,6651,6607,5372,732,299,236,513,344,953,707,837,735,15953,11,43,140,67,11,41,12545,15534,7557,0,0,0,0,0,0,974,1,10.85,6,2,Brightspeed -- Charter Communications Inc -- Peninsula Fiber Network -- T-Mobile US -- Bayfield Wireless -- Norvado,0.87370002,0,0,1,1
55009,268393,219486,7100,5207,8488,74,25363,37.8,74066,1161,47183,6057,40059,12796,2677,10705,14653,109096,70623,38473,32074,280,97053,5145,6618,98024,97741,82591,8562,4108,3211,6156,4249,12584,9588,12718,10961,250801,1452,1604,5894,8642,8041,3224,180495,252432,109096,86452,90028,89090,93655,100996,103637,18620,0,504.37,18,7,Aristotle Unified Communications -- Verizon -- US Signal Company -- Nsight Telservices -- Charter Communications Inc -- Acrospire Networks -- MCC_Georgia_LLC -- Bertram Internet -- TDS Telecom -- Peninsula Fiber Network -- T-Mobile US -- Bug Tussel Wireless LLC -- Ethoplex -- WIN LLC -- AT&T Inc -- Door County Broadband  LLC -- Telnet Worldwide Inc. -- Brightspeed,0.95289999,0,0,1,1
55011,13329,12721,43,10,13,0,342,46.4,64238,98,3608,319,1470,465,85,259,829,5616,4359,1257,1454,29,4759,256,572,4849,4820,3544,700,169,93,554,384,559,421,805,633,13080,0,53,64,132,82,39,9747,12681,5616,0,0,0,0,0,0,349,1,19.7,13,8,Tri_County_Telcom_Inc -- Chippewa Valley Communications Inc. -- Charter Communications Inc -- Cochrane Cooperative Telephone Company -- TDS Telecom -- HiawathaBroadbandCommunicationsInc -- Bug Tussel Wireless LLC -- T-Mobile US -- Verizon -- LTD Broadband -- FRONTIER -- GigFire -- Brightspeed,0.96310002,0,0,1,1
55013,16561,15119,114,543,95,19,349,54.4,60466,66,4346,562,1936,685,151,877,1034,6989,5918,1071,1183,57,5692,586,654,5832,5775,3821,1054,373,300,619,366,938,626,896,724,16214,31,64,195,57,40,60,12836,15941,6989,0,0,0,0,0,0,632,1,19.91,7,4,Starwire Technologies -- Farmers Independent Telephone Company -- Siren Telephone Company -- T-Mobile US -- Verizon -- Lakeland Communications Group LLC dba Lakeland Communications -- Brightspeed,0.61809999,0,0,1,1
55015,52361,47655,509,177,1254,1,2459,41.7,84151,237,10532,846,8314,2503,394,1203,1849,20712,16862,3850,6639,111,18711,795,1095,18924,18811,15467,1365,543,376,898,554,2158,1744,2154,1807,50231,10,381,865,874,435,351,36408,49744,20712,17028,17427,17917,17386,19007,19907,2646,0,163.8,11,7,Ethoplex -- UPN -- Charter Communications Inc -- Northern Telephone & Data -- Bertram Internet -- TDS Telecom -- T-Mobile US -- Bug Tussel Wireless LLC -- Verizon -- FRONTIER -- AT&T Inc,0.97280002,0,0,1,1
55017,66254,62057,1011,210,940,1,1257,41.4,69815,468,14335,1916,8001,2143,510,2868,3450,26326,19429,6897,7214,129,22802,1117,2278,23194,23064,18242,2756,790,602,1838,1317,3333,2351,3009,2551,65048,2,155,573,476,327,455,47131,62743,26326,20916,20878,22524,22126,23173,24532,4123,0,65.33,12,7,Charter Communications Inc -- Bloomer Telephone Company -- Citizens Telephone Cooperative -- WIN LLC -- TDS Telecom -- T-Mobile US -- CenturyLink -- Mosaic Technologies -- Verizon -- 24-7 TELCOM INC -- AT&T Inc -- Brightspeed,0.84810001,0,0,1,1
55019,34703,32542,244,86,128,0,1926,37.1,63187,1956,7732,705,2056,580,149,1837,2331,12649,9871,2778,4148,106,9617,726,2200,9829,9721,5792,2582,443,245,954,542,1644,944,1674,1314,33481,76,134,239,773,715,1606,21563,31917,12649,8464,9519,9537,9313,9682,9720,1697,1,28.65,11,6,Astrea -- AirRunner Networks LLC -- Tri_County_Telcom_Inc -- Charter Communications Inc -- Country Wireless -- TDS Telecom -- T-Mobile US -- Bug Tussel Wireless LLC -- Verizon -- FRONTIER -- Brightspeed,0.79210001,0,0,1,1
