County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
54001,15527,14313,215,26,84,0,182,42.6,44341,206,4883,837,729,390,94,1602,1676,5789,4348,1441,1506,25,4468,519,777,4565,4540,3540,1158,460,301,609,325,1117,763,1107,925,15384,7,70,28,38,68,22,10601,14788,5789,0,0,0,0,0,0,1119,1,45.74,10,7,Micrologic -- Charter Communications Inc -- Lynx WV -- Shentel -- Optimum -- TDS Telecom -- T-Mobile US -- Citynet LLC -- Verizon -- FRONTIER,0.2536,0,0,1,1
54003,123283,103566,8360,108,1296,18,6432,38.8,73619,755,25726,5240,13653,5677,845,6189,7116,48528,36589,11939,15822,82,43129,2809,2508,43469,43387,36388,4197,1751,1348,2821,2089,5321,4235,5177,4361,116519,387,821,3634,1922,910,837,85192,115768,48528,35962,33537,37759,41359,47116,47026,5386,1,375.09,9,5,Xfinity -- One Ring Networks -- Shentel -- Segra -- TDS Telecom -- T-Mobile US -- Morgan Wireless  LLC -- Verizon -- FRONTIER,0.92439997,0,0,1,1
54005,21705,21119,58,0,36,0,71,44.8,56182,413,6098,1262,990,685,36,1460,2083,7992,6319,1673,2308,20,6574,419,979,6759,6739,5731,914,435,281,1138,650,1152,848,910,832,21598,5,10,32,60,29,37,15480,20634,7992,5684,6590,7647,6315,6361,7321,1951,1,43.98,7,4,Foster Communications LLC -- Shentel -- ArmstrongUtilitiesInc -- Optimum -- T-Mobile US -- Verizon -- FRONTIER,0.84899998,0,0,1,1
54007,12505,11186,131,33,11,0,137,46.8,42245,279,3838,991,801,248,37,517,1679,4567,3722,845,1321,36,3459,331,741,3525,3489,2398,883,294,147,511,281,1049,722,798,635,12445,0,43,10,7,1,0,9292,11968,4567,0,0,0,0,0,0,892,1,24.87,6,5,Micrologic -- Shentel -- TDS Telecom -- T-Mobile US -- Verizon -- FRONTIER,0.3682,0,0,1,1
54009,22349,21090,334,19,122,3,233,46.4,51963,135,5698,1176,2242,1105,99,1195,1158,9593,7165,2428,1902,13,7718,738,1124,7940,7911,6366,1527,412,251,1000,726,1539,1200,1734,1222,21895,35,133,123,163,56,221,16252,21389,9593,6843,7617,9161,6951,7717,8618,1030,1,253.41,6,5,Xfinity -- MCTV -- Blue Devil Cable -- T-Mobile US -- Verizon -- FRONTIER,0.89719999,0,0,1,1
54011,93965,84632,4089,119,1205,4,1407,39.1,48944,679,16355,3222,10541,5704,1447,9320,8743,38854,25110,13744,9170,103,31535,3361,3855,31926,31823,25619,5681,3713,2826,4958,3127,6229,4349,4736,3999,91772,83,554,903,653,238,392,62754,89029,38854,27903,22967,29796,29610,33908,33838,8333,0,336.71,11,6,Xfinity -- Pavlov Media -- TPx Communications -- ArmstrongUtilitiesInc -- NetFortris -- Arx Web -- Optimum -- T-Mobile US -- Verizon -- FRONTIER -- Alpha Technologies Inc.,0.93239999,0,0,1,1
54013,6279,6027,3,5,2,0,19,48.3,39031,99,2141,452,245,87,60,1048,1055,2416,1888,528,575,146,1627,237,406,1797,1651,1215,552,216,98,499,321,396,233,434,263,6220,0,48,9,2,0,0,4718,6017,2416,0,0,0,0,0,0,549,1,22.99,4,3,FRONTIER -- T-Mobile US -- Shentel -- ArmstrongUtilitiesInc,0.2325,0,0,1,1
54015,8049,7808,5,5,0,0,8,45.0,41530,236,2497,425,366,235,4,892,1055,2865,2343,522,914,0,2218,163,484,2319,2308,1537,492,278,238,379,251,577,363,327,285,8046,0,0,3,0,0,0,5609,7645,2865,0,0,0,0,0,0,726,1,23.91,4,3,FRONTIER -- Optimum -- TDS Telecom -- T-Mobile US,0.22149999,0,0,1,1
54017,7847,7448,144,46,0,0,129,46.1,56587,198,2041,635,549,94,84,309,665,2345,2107,238,435,23,1707,270,345,1762,1739,1276,551,32,13,294,184,380,215,339,204,7711,0,74,62,0,0,0,6056,7556,2345,0,0,0,0,0,0,391,1,24.8,5,4,ArmstrongUtilitiesInc -- T-Mobile US -- Verizon -- FRONTIER -- Shentel,0.41229999,0,0,1,1
54019,40545,37483,1825,24,0,15,529,44.7,50090,765,10453,2674,3175,1280,121,3199,5189,15938,12063,3875,4075,19,12261,1295,2363,12528,12509,9157,2921,1143,740,2292,1602,2552,1612,1967,1369,40306,0,102,45,92,55,46,29452,38563,15938,12686,12126,12617,13242,11517,14515,3099,1,62.05,7,4,Shentel -- Countrymen Communications -- Optimum -- TDS Telecom -- T-Mobile US -- Verizon -- FRONTIER,0.71869999,0,0,1,1
