County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
56001,37525,32443,370,151,1412,50,3719,28.3,55887,69,2421,616,6073,3629,540,3813,4247,16290,8235,8055,3477,25,14681,1072,512,14723,14698,12487,721,1459,1211,1634,1357,2105,1776,2249,2007,34677,4,271,837,1736,284,617,21101,35897,16290,12450,13713,13936,14445,15867,15717,1790,0,14.44,13,7,LARIAT -- Pavlov Media -- Vistabeam -- Kwikbit Inc. -- Charter Communications Inc -- Bluepeak -- Mountain West Technologies Corporation -- Allstream Business US LLC -- Union Telephone Company -- T-Mobile US -- Verizon -- Visionary Broadband -- CenturyLink,0.9307,0,0,1,1
56003,11690,10454,52,73,81,31,1132,40.9,61262,48,1893,356,1149,392,57,577,694,4262,3286,976,1190,13,3595,281,373,3639,3626,2781,506,181,91,340,180,613,502,533,407,11204,0,91,160,235,272,40,7954,11040,4262,0,0,0,0,0,0,301,1,4.0,6,3,Dubois Telephone Exchange Inc. -- Charter Communications Inc -- T-Mobile US -- Verizon -- TCT Cable Internet (Hardin) -- CenturyLink,0.80140001,0,0,1,1
56005,46857,41259,178,556,34,52,4147,35.5,93315,316,8233,1913,4219,2013,242,1627,2770,17509,13703,3806,6373,0,16163,682,664,16172,16172,11387,1066,680,571,1139,891,1411,1228,1041,936,45004,28,387,460,978,1037,16,30249,43603,17509,14783,15766,15968,16994,16448,17344,1850,0,12.27,8,4,Dubois Telephone Exchange Inc. -- Charter Communications Inc -- Fusion -- T-Mobile US -- Verizon -- Visionary Broadband -- Collins Communications LLC -- CenturyLink,0.80500001,0,0,1,1
56007,14609,12585,205,231,75,0,2726,39.5,65196,75,3007,774,1639,402,43,1043,905,5847,4256,1591,1728,0,5052,431,364,5139,5139,3570,515,253,184,479,375,762,561,623,572,13977,11,41,125,455,193,45,10146,13833,5847,0,0,0,0,0,0,472,1,2.84,10,6,Vistabeam -- Dubois Telephone Exchange Inc. -- Charter Communications Inc -- Wyoming.com -- Mountain West Technologies Corporation -- Union Telephone Company -- T-Mobile US -- Verizon -- Visionary Broadband -- CenturyLink,0.81900001,0,0,1,1
56009,13729,13035,32,60,19,0,1162,41.1,79235,43,2626,585,1231,742,106,784,715,5656,4554,1102,1767,10,4705,535,406,4717,4707,3397,575,159,109,427,239,674,359,617,563,13322,0,44,194,169,108,24,9500,12818,5656,0,0,0,0,0,0,186,1,5.72,8,5,Vistabeam -- Kwikbit Inc. -- Mountain West Technologies Corporation -- T-Mobile US -- Verizon -- Visionary Broadband -- Vyve Broadband -- CenturyLink,0.81150001,0,0,1,1
56011,7258,6784,0,23,34,0,206,44.2,68876,15,1378,106,1021,142,13,268,187,2755,2159,596,686,0,2374,211,170,2375,2375,1446,302,153,89,165,95,236,160,359,312,7084,0,23,62,89,59,52,5065,6756,2755,0,0,0,0,0,0,30,1,2.83,7,3,Dubois Telephone Exchange Inc. -- T-Mobile US -- Verizon -- Visionary Broadband -- Collins Communications LLC -- Wisp West| Celerity Internet -- CenturyLink,0.41420001,0,0,1,1
56013,39402,28134,216,7616,184,28,3061,38.9,60030,70,6629,1629,3990,1948,353,2087,3235,14617,10333,4284,4257,59,12155,1173,1230,12462,12400,9160,1833,591,368,1321,801,1991,1536,1985,1613,38581,0,196,374,251,61,68,26286,36969,14617,10928,10799,12238,11720,12452,13159,2106,1,6.81,7,4,Dubois Telephone Exchange Inc. -- Charter Communications Inc -- Wyoming.com -- T-Mobile US -- Verizon -- Visionary Broadband -- CenturyLink,0.65619999,0,1,1,1
56015,12592,11210,78,165,80,30,1410,43.9,62356,81,1845,620,1374,542,66,508,576,5069,3815,1254,1343,19,3997,518,535,4073,4054,2277,817,215,103,515,217,720,520,566,409,12246,0,130,93,123,62,9,8911,11832,5069,0,0,0,0,0,0,181,1,6.5,7,4,Vistabeam -- Viaero Wireless -- Mountain West Technologies Corporation -- Verizon -- Visionary Broadband -- Vyve Broadband -- CenturyLink,0.91109997,0,0,1,1
56017,4616,4261,0,99,6,0,190,45.8,64031,15,733,134,682,191,22,234,486,2105,1503,602,492,8,1815,142,140,1836,1818,1354,213,95,23,173,143,367,337,205,203,4565,0,20,12,19,17,0,3308,4349,2105,0,0,0,0,0,0,268,1,3.33,4,2,TCT Cable Internet (Hardin) -- T-Mobile US -- Dubois Telephone Exchange Inc. -- Charter Communications Inc,0.7888,0,0,1,1
56019,8536,7868,16,187,57,0,469,46.1,60667,28,1158,422,1222,661,93,760,641,3971,2837,1134,885,45,3252,454,220,3366,3321,2384,501,481,428,284,153,573,378,370,227,8253,0,50,104,129,23,1,6336,8162,3971,0,0,0,0,0,0,270,1,5.02,8,4,Dubois Telephone Exchange Inc. -- Charter Communications Inc -- T-Mobile US -- Verizon -- Visionary Broadband -- Collins Communications LLC -- Tongue River Communications -- CenturyLink,0.65270001,0,0,1,1
