County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
01001,16153,15559.0,18116.0,18496.0,20206.0,20630.0
01003,59033,66656.0,70029.0,71206.0,85942.0,87203.0
01005,6221,4915.0,5507.0,6449.0,6107.0,7105.0
01007,4656,4259.0,5313.0,5607.0,6107.0,7444.0
01009,14947,14419.0,14483.0,17088.0,18166.0,17265.0
01013,3745,,4721.0,5121.0,5019.0,
01015,31399,33954.0,33804.0,34779.0,37451.0,39611.0
01017,9915,9323.0,9332.0,9715.0,10026.0,10538.0
01019,7404,8416.0,6689.0,8554.0,8515.0,8970.0
01021,10738,11675.0,11992.0,13458.0,13590.0,14567.0
01025,5916,5053.0,6098.0,6113.0,5654.0,6956.0
01031,14863,16352.0,15609.0,17130.0,17158.0,17697.0
01033,15807,16479.0,15299.0,14884.0,16871.0,20610.0
01039,10523,9751.0,10667.0,10096.0,9608.0,11999.0
01043,21793,21965.0,24005.0,25911.0,29843.0,31394.0
01045,11584,15078.0,13403.0,16867.0,15309.0,15642.0
01047,10614,12523.0,9960.0,11992.0,10401.0,14861.0
01049,17234,18710.0,20564.0,20118.0,19195.0,23074.0
01051,23710,22551.0,23855.0,25644.0,27898.0,31188.0
01053,7458,8804.0,8807.0,8868.0,9234.0,11410.0
01055,28068,28045.0,31393.0,31496.0,32293.0,33722.0
01059,7337,8024.0,6128.0,6336.0,6050.0,9114.0
01061,6262,6925.0,6269.0,6929.0,7030.0,8531.0
01069,27776,29360.0,28515.0,33212.0,37441.0,36174.0
01071,13874,13333.0,15529.0,15906.0,18004.0,20079.0
01073,203608,208369.0,210527.0,219511.0,237946.0,242321.0
01077,26724,28531.0,29038.0,28650.0,29891.0,32597.0
01079,7200,7303.0,7232.0,8608.0,8908.0,10650.0
01081,48671,48985.0,48004.0,53983.0,58495.0,61959.0
01083,23050,26556.0,26420.0,29072.0,34384.0,34624.0
01087,4220,5302.0,,,5906.0,
01089,122117,127790.0,133546.0,138909.0,150330.0,153502.0
01091,3592,4005.0,4999.0,5685.0,,
01093,7371,8027.0,6653.0,9460.0,7962.0,8471.0
01095,27088,26971.0,29851.0,29751.0,31090.0,32485.0
01097,112464,120052.0,120923.0,121365.0,133797.0,135688.0
01099,3057,3783.0,4150.0,3813.0,4891.0,6051.0
01101,71754,67686.0,71036.0,73837.0,80778.0,83020.0
01103,31957,35320.0,36457.0,35274.0,37703.0,42271.0
01107,4633,4631.0,4762.0,4964.0,5592.0,5453.0
01109,7573,6430.0,5402.0,10475.0,10549.0,10366.0
01111,6044,6431.0,5569.0,6242.0,6472.0,8490.0
01113,15614,16528.0,15261.0,18310.0,17655.0,18656.0
01115,23696,25135.0,24977.0,27278.0,29847.0,32158.0
01117,66827,70309.0,72383.0,76079.0,80855.0,81770.0
01121,23476,23387.0,24974.0,24139.0,28786.0,29726.0
01123,11399,11208.0,12695.0,12569.0,12619.0,14083.0
01125,56351,58556.0,60190.0,62960.0,76074.0,78502.0
01127,17248,18447.0,18716.0,19334.0,20185.0,19145.0
01133,5476,6517.0,6223.0,6555.0,6570.0,6670.0
