County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
18001,8653,8711.0,9002.0,8707,9984,9334
18003,118645,122113.0,125511.0,130689,141775,143086
18005,24928,24859.0,26498.0,26698,29781,30357
18011,20849,22189.0,23030.0,23348,26905,26260
18017,11167,11016.0,11219.0,11357,12251,13158
18019,33615,33242.0,35091.0,33958,44592,47306
18021,7568,8906.0,8628.0,8715,9571,9108
18023,9522,8928.0,9868.0,8378,10501,11752
18027,6749,7347.0,9125.0,8359,8827,9282
18029,14746,15243.0,15811.0,16707,17840,17376
18031,7938,8007.0,8180.0,8163,8813,9041
18033,13369,13072.0,13789.0,13048,14967,14605
18035,35711,36447.0,35226.0,37128,40004,42207
18037,13894,14310.0,13125.0,15051,13764,15019
18039,54548,59985.0,61914.0,58594,59895,64347
18041,6674,7155.0,7850.0,7106,7964,7781
18043,22337,21906.0,24656.0,23078,26833,30167
18047,6097,6511.0,6440.0,8283,7340,8026
18049,6285,,6737.0,6350,7268,5937
18051,10994,10286.0,10888.0,10676,11565,11440
18053,17001,17515.0,20219.0,22003,22995,23211
18055,8744,9235.0,9229.0,9858,10272,10693
18057,110724,112953.0,115410.0,118872,126115,129463
18059,22709,24798.0,24176.0,25209,30286,30659
18061,10861,10955.0,10491.0,10904,13410,13083
18063,50434,52276.0,54523.0,55501,61278,62110
18065,11670,13683.0,14770.0,14227,16538,16815
18067,27148,26405.0,27689.0,29216,32131,32243
18069,10117,11795.0,12290.0,11957,13808,13889
18071,12173,12051.0,13230.0,12145,15470,14652
18073,10195,10346.0,10818.0,10305,11444,11983
18075,5404,5170.0,5947.0,6589,7384,6772
18077,9948,9546.0,11169.0,8196,10462,10651
18079,7472,8172.0,7804.0,8312,8837,10129
18081,45582,51362.0,51760.0,49538,56550,57401
18083,11521,12405.0,11714.0,11528,13511,12867
18085,23684,24954.0,24992.0,25698,28296,27177
18087,7554,6806.0,7434.0,7344,9772,7811
18089,145159,146607.0,153757.0,156741,169389,175633
18091,33752,33533.0,35007.0,35869,38643,37976
18093,13606,12237.0,13896.0,15520,14788,16044
18095,39451,38484.0,40288.0,41989,46335,47694
18097,288249,293516.0,299158.0,311798,358649,367761
18099,11588,13198.0,11589.0,11940,13484,14874
18103,10375,10027.0,9415.0,11289,10956,11635
18105,45264,49395.0,50066.0,47976,50920,53927
18107,12351,12995.0,13148.0,12838,13693,12985
18109,21644,21572.0,22078.0,22471,22286,25687
18113,13846,14599.0,14195.0,14734,15066,16631
18119,6651,6404.0,6679.0,6435,5984,7330
18127,52537,54043.0,56610.0,56439,62384,64449
18129,8112,8454.0,8148.0,9117,8572,9667
18133,10086,10397.0,11765.0,10470,11887,12112
18135,8300,6686.0,7880.0,7317,9360,8345
18137,8163,7767.0,8842.0,8713,9913,8434
18141,71535,78590.0,85889.0,82069,95565,95141
18143,5480,6415.0,6637.0,6431,8730,8432
18145,12480,13683.0,14967.0,14099,15389,16569
18147,6317,6091.0,5540.0,5657,6319,6458
18149,5988,6175.0,6345.0,5834,8045,7956
18151,11127,11355.0,11682.0,10310,11649,12653
18153,5223,,,6029,5560,6409
18157,57548,60884.0,60720.0,61096,66156,70046
18163,57601,62428.0,61967.0,64484,69066,68540
18167,32228,33910.0,37725.0,36270,35947,37551
18169,8930,9476.0,9537.0,10491,11133,11091
18173,20961,21989.0,21804.0,22163,22773,22869
18175,7525,7181.0,7985.0,8232,8174,9981
18177,18359,18464.0,21645.0,23498,22817,24524
18179,8820,8413.0,8898.0,9364,9341,9645
18181,6973,7467.0,8370.0,8227,9147,9786
18183,10400,11622.0,11825.0,12180,11762,12575
