County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
21003,5298,5126,5892,5140,6675,7061
21005,6328,7492,6726,7106,8693,7884
21009,12462,14207,12654,14205,14837,16231
21013,5431,6576,7316,5976,7956,6981
21015,42402,41843,43198,43634,45323,49487
21017,5800,6255,6156,6906,7098,6609
21019,15210,14454,14873,14988,15840,16966
21021,8065,8412,8827,8834,9703,10127
21029,23371,23427,25236,26162,27575,29251
21035,12757,10780,11914,13589,11439,12136
21037,29834,30650,29348,32055,35271,36806
21043,5986,5064,5147,5959,8014,8435
21047,16901,19569,20888,21553,18338,21182
21049,10947,12341,12114,11841,13540,13271
21051,5439,4563,5107,4662,0,6483
21059,32068,31832,33457,35390,36965,36883
21067,108544,114368,118325,116810,127612,127737
21071,9588,9941,11670,11924,11548,12668
21073,16603,16151,17827,17870,19346,20218
21081,6866,6256,6277,7225,8882,8451
21083,9199,11376,11736,11539,9884,12203
21085,6264,5114,6120,6906,7196,7667
21089,11056,10268,11714,10805,11526,12980
21093,31264,30330,31254,35640,38315,40040
21095,7248,6496,8501,7367,8431,8822
21101,13977,11967,14548,16072,15990,17064
21107,11912,13487,13851,15065,16647,16765
21111,261278,264813,266088,274648,295978,302630
21113,14731,15516,16172,16766,17540,18736
21115,5904,6936,5816,5897,7074,8025
21117,54247,53657,57573,56996,61210,60748
21121,6078,3760,8791,9216,9806,10059
21125,15800,14844,15966,16995,21438,21379
21133,6399,6876,7110,6440,6864,7002
21137,6451,6762,5839,7218,7939,7820
21141,5736,7326,7225,7837,9646,10204
21145,21040,21893,23527,25149,22274,23081
21151,25989,25658,28027,29112,31118,32689
21157,9873,11836,10793,10709,10495,11065
21163,9506,8644,8549,8836,8271,11555
21167,6305,6169,7407,7259,7690,8442
21173,7056,7717,7946,9281,10229,10461
21177,7767,7220,9490,9288,8874,10657
21179,13602,14897,15508,15881,16921,17025
21183,6376,6214,7278,7115,6918,8234
21185,19222,18591,19826,19075,22058,21089
21193,7473,7585,8343,8625,7486,10592
21195,16908,18412,21288,19224,19219,20928
21199,17557,18642,19176,19137,19820,22890
21205,7541,7303,7184,7305,6666,7982
21209,16358,17750,19371,18915,19560,20530
21211,13188,13862,14523,13626,16478,17281
21217,6678,7776,7745,8796,8343,9591
21227,40170,40350,42110,44779,47465,49855
21231,4630,5427,4171,6715,5971,6225
21235,6587,7603,9172,9139,9666,11853
21239,7957,9912,8257,8786,9796,9652
