County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
27003,109704,113352,116417,120923,125054,129394
27005,10173,10228,11516,12841,12191,12873
27007,12681,13107,13944,14897,16772,16104
27009,12813,13667,14128,14864,15333,14259
27013,21190,22330,23272,22974,24233,25861
27015,8454,8068,9405,9157,9736,9779
27017,9991,10127,10315,11605,12656,12864
27019,33362,33054,33668,35631,37577,38830
27021,9470,10278,10780,11261,11446,11790
27025,16886,17455,17986,18621,19421,20197
27027,17747,20098,22283,21366,23054,24860
27035,20110,20723,22657,22856,24982,26127
27037,141800,144321,149581,148139,159768,166037
27039,6496,6789,6800,7210,6965,7648
27041,12806,13251,13414,14219,16747,16116
27045,6288,6236,6576,7263,7041,7521
27047,9501,9904,10217,10798,11228,10705
27049,15804,16724,16178,16768,17282,18026
27053,424114,444925,447202,461049,491292,499563
27057,5952,6389,7216,7141,7271,8127
27059,12071,12393,12388,13579,14438,14112
27061,13238,14820,15241,16603,14799,16789
27067,13586,13468,13240,14559,15842,16360
27079,8433,8884,9215,9545,9939,10130
27083,8564,8279,8762,8296,8598,8609
27085,12394,12428,12288,11403,13497,13830
27091,6209,6376,7157,7730,7639,7526
27093,7227,7062,7120,7577,8305,7990
27095,7084,8395,8054,9033,8604,9449
27097,9205,10416,11363,10361,11884,12261
27099,12259,12011,12796,12680,13542,14155
27103,10443,10709,10899,11459,11084,11567
27105,5783,6256,5663,7137,6264,7211
27109,52695,54187,54907,58253,58980,63325
27111,15973,16587,18201,19946,21714,20704
27115,6506,6748,8148,9635,9883,9978
27119,8538,8707,10197,11428,10755,11253
27123,176435,183459,182473,181563,199316,203174
27131,18405,19784,19884,20515,22015,21663
27137,65555,68501,67717,72409,75821,77007
27139,43812,44892,46335,48006,52778,51770
27141,27144,28375,29351,29859,31060,33230
27145,48870,50579,48917,50138,55370,56847
27147,12104,12854,12591,12596,12973,13327
27153,6681,5668,6914,7402,7245,8405
27157,6888,6416,7704,7758,7979,8616
27163,83239,86639,88123,87941,96796,100917
27169,15664,16743,16791,17620,19349,18109
27171,40514,41489,43026,44121,49306,50386
