County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
28001,7295,7196.0,8263.0,8545.0,9101.0,10667.0
28003,10493,10695.0,11969.0,9775.0,10279.0,11894.0
28011,6978,7238.0,9388.0,7716.0,9053.0,9884.0
28025,5665,,,,,
28027,4771,4656.0,5245.0,6023.0,6458.0,6872.0
28029,3804,4003.0,4396.0,6750.0,7894.0,7499.0
28033,51540,54755.0,56621.0,57999.0,61175.0,64771.0
28035,20240,21576.0,20589.0,21647.0,25061.0,26637.0
28039,5969,5237.0,5061.0,6118.0,8378.0,8132.0
28043,5067,7176.0,6392.0,5338.0,5065.0,5487.0
28045,13573,15628.0,18378.0,17939.0,14746.0,18283.0
28047,57688,64328.0,68299.0,60279.0,70133.0,73261.0
28049,72478,71419.0,68908.0,74747.0,77660.0,78609.0
28057,6161,5841.0,6040.0,6044.0,7028.0,9052.0
28059,38955,42171.0,42788.0,47401.0,50239.0,51810.0
28067,13269,12674.0,15548.0,14296.0,16551.0,18872.0
28071,17669,14879.0,14146.0,14304.0,16921.0,15944.0
28073,18607,18097.0,20513.0,18683.0,23973.0,20611.0
28075,18782,22139.0,24034.0,22729.0,21716.0,24446.0
28079,5125,5440.0,6515.0,5097.0,4394.0,5823.0
28081,24553,22219.0,24502.0,23450.0,26524.0,25986.0
28083,4078,4294.0,3860.0,4295.0,5499.0,6635.0
28085,6428,8285.0,7923.0,9236.0,9529.0,11334.0
28087,15915,17161.0,18656.0,18350.0,20429.0,20315.0
28089,30415,35612.0,37350.0,36295.0,40212.0,39990.0
28091,4562,5440.0,4364.0,6142.0,7374.0,7292.0
28093,9224,9244.0,10269.0,11226.0,9522.0,10146.0
28095,8170,10881.0,11071.0,9783.0,11502.0,11578.0
28099,6588,6987.0,7836.0,8302.0,7494.0,8172.0
28101,5594,5574.0,5243.0,4987.0,5806.0,6292.0
28105,12450,14004.0,15599.0,13958.0,16972.0,18969.0
28107,9041,7653.0,8183.0,8014.0,7980.0,9972.0
28109,15345,15392.0,16088.0,17096.0,16591.0,19617.0
28113,8589,8084.0,8073.0,9950.0,12848.0,13133.0
28115,6713,5323.0,7328.0,7771.0,8491.0,9307.0
28117,5739,7377.0,6420.0,6688.0,7546.0,8653.0
28121,46609,47552.0,45690.0,50895.0,53932.0,52830.0
28123,6512,5451.0,7105.0,6393.0,7562.0,7795.0
28127,4844,5797.0,6247.0,5832.0,6543.0,7371.0
28133,4991,5069.0,5125.0,4563.0,6250.0,5188.0
28137,5925,7133.0,7268.0,7521.0,9063.0,8762.0
28139,5377,3842.0,4935.0,5430.0,6750.0,6894.0
28145,6788,5735.0,6022.0,7007.0,8163.0,8211.0
28149,14304,13972.0,13160.0,11448.0,12707.0,13041.0
28151,10990,11455.0,11059.0,10657.0,7988.0,7781.0
28153,4199,4619.0,6311.0,5136.0,5360.0,5914.0
28163,6622,5874.0,6644.0,5531.0,6121.0,5968.0
