County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
37001,49775,49963,50922,51601.0,60794.0,63498.0
37003,10136,9927,11250,12349.0,11148.0,11511.0
37007,7060,7106,8340,7139.0,6621.0,6828.0
37009,7472,8961,8840,9170.0,9269.0,10239.0
37013,13230,13038,16068,16262.0,14839.0,17133.0
37015,5050,4717,4245,,,
37017,8384,10884,9186,10310.0,9143.0,10234.0
37019,43774,46062,51868,53461.0,61028.0,64637.0
37021,81579,86822,89428,88414.0,84900.0,94468.0
37023,24521,24271,26489,28405.0,28395.0,31639.0
37025,62259,65832,67089,61453.0,67685.0,78871.0
37027,24223,24514,25295,27404.0,27043.0,28088.0
37031,21811,25855,25165,25076.0,28376.0,28593.0
37033,4269,5813,5946,5927.0,7252.0,6052.0
37035,50224,50967,52316,52939.0,55167.0,60113.0
37037,23293,21453,22385,24070.0,28001.0,29127.0
37039,8344,8424,8754,10138.0,10141.0,9843.0
37045,23872,25154,22583,21341.0,32222.0,32409.0
37047,14438,17309,14593,14324.0,16407.0,17629.0
37049,33552,32755,34705,33579.0,34697.0,37533.0
37051,101102,108375,110599,110118.0,117260.0,121263.0
37053,7805,7973,8208,9748.0,11391.0,10508.0
37055,12707,14351,13950,15144.0,15362.0,17080.0
37057,50419,53388,54408,57776.0,57521.0,58910.0
37059,12601,14452,14777,15019.0,16834.0,15789.0
37061,14389,14212,15537,14474.0,15304.0,18424.0
37063,103745,107909,113793,116997.0,128622.0,133751.0
37065,11823,12463,15152,15060.0,13482.0,17611.0
37067,117635,119786,120350,124896.0,139720.0,140920.0
37069,17799,19498,21835,22781.0,23357.0,24942.0
37071,65828,66546,69899,72225.0,79697.0,85958.0
37077,15457,17046,17265,18702.0,18101.0,20715.0
37079,5600,5228,4917,4938.0,4687.0,6808.0
37081,145540,150543,170171,173167.0,194121.0,198928.0
37083,11848,11231,13143,13234.0,13993.0,16217.0
37085,34102,37222,36604,38149.0,39251.0,40377.0
37087,17089,18411,18181,21917.0,23755.0,22249.0
37089,37924,40154,41771,43068.0,44416.0,46684.0
37091,5729,5287,6354,6147.0,7447.0,6583.0
37093,14159,12866,15404,15854.0,16458.0,17436.0
37097,50978,54861,58820,59694.0,68183.0,69305.0
37099,10007,10753,13274,14901.0,15914.0,14495.0
37101,48770,54843,53951,57867.0,71499.0,73282.0
37105,14990,17750,17151,14481.0,17988.0,18712.0
37107,16658,17502,17702,18112.0,18382.0,17660.0
37109,24927,26629,30461,29365.0,32913.0,34121.0
37111,11440,14274,12908,14681.0,15300.0,14703.0
37113,11355,11632,10708,12995.0,14656.0,14850.0
37115,5341,5682,5964,5970.0,7528.0,8417.0
37117,7228,6050,6791,7525.0,7794.0,7554.0
37119,346178,362041,376393,385030.0,425234.0,446281.0
37123,7966,7466,6815,6397.0,8505.0,9247.0
37125,31683,32731,34469,34925.0,37380.0,40926.0
37127,25621,27636,30468,30432.0,31578.0,30243.0
37129,75802,78606,85113,88913.0,94710.0,96730.0
37131,4112,4860,3108,4151.0,,
37133,52887,54927,60712,57669.0,65503.0,71047.0
37135,43028,46801,46905,50870.0,51785.0,54597.0
37139,10327,11779,12401,13512.0,14025.0,15905.0
37141,16135,17687,18955,18575.0,20352.0,23103.0
37145,10916,11955,11954,13822.0,13392.0,14287.0
37147,56854,57530,56980,59864.0,61612.0,67414.0
37149,6580,6847,6819,7178.0,7779.0,7777.0
37151,43108,44870,43606,45240.0,49085.0,50899.0
37153,13575,13229,12930,13258.0,14512.0,15476.0
37155,24019,25699,30065,30659.0,32353.0,33137.0
37157,23762,26564,24796,27805.0,29812.0,33137.0
37159,37914,41117,43499,47408.0,50356.0,52381.0
37161,17640,18336,19054,22675.0,19566.0,23731.0
37163,15052,15740,13937,17881.0,16413.0,18832.0
37165,6676,8542,8201,8864.0,10832.0,11195.0
37167,17597,20335,19526,19974.0,22311.0,22007.0
37169,13489,13424,13492,16215.0,17021.0,16465.0
37171,16403,18548,17207,21495.0,26153.0,25522.0
37175,9368,11864,13521,13325.0,11096.0,12644.0
37179,67618,68132,71702,71647.0,78214.0,78589.0
37181,10168,11413,12418,13049.0,13199.0,13147.0
37183,352383,372205,375788,389728.0,415842.0,423635.0
37185,3271,5241,5992,4586.0,,
37189,16382,15407,18863,19348.0,20812.0,18563.0
37191,36474,39733,39408,41150.0,40922.0,41897.0
37193,21112,21962,23107,21530.0,22282.0,23552.0
37195,22258,24492,23778,22781.0,26176.0,28905.0
37197,10978,11431,11121,11070.0,12100.0,13795.0
