County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
39001,7068,7388,7975,6659,8643,8072
39003,30488,33094,34687,35463,35571,37003
39005,16166,16391,16427,16351,16449,18373
39007,28790,29260,27208,29308,33957,33425
39009,16148,15930,17974,18929,18776,19446
39011,15188,16088,17197,17112,16252,16173
39013,19718,16300,18092,19918,22123,21636
39015,13325,13573,13896,14690,13013,14758
39017,117244,122436,124478,125409,131861,134139
39019,8138,9027,8224,8984,9874,8865
39021,12715,12992,13052,12748,13458,14494
39023,43276,45423,47401,46765,50819,49900
39025,64067,66276,67891,71794,75817,77114
39027,12396,14382,14044,14079,14268,14254
39029,31026,29761,33758,32424,34194,34001
39031,10012,10002,10485,11336,11090,11793
39033,13014,13586,13597,15388,15550,16175
39035,409967,432115,439928,441068,484412,494248
39037,15883,17464,16018,17449,18578,18938
39039,11900,12219,12200,13189,13119,13886
39041,63730,65955,67402,69022,78118,79343
39043,24608,25462,24292,25553,26881,29830
39045,47169,46141,46951,51598,54558,55643
39047,8724,9008,9013,10297,9860,9656
39049,432990,447267,454906,468745,508672,515821
39051,12693,13776,13904,14038,15361,15366
39053,7308,8477,8277,8002,9127,8517
39055,28234,29529,29326,27950,31554,31559
39057,54498,56534,58193,60429,61495,60600
39059,11454,11622,11868,12319,13576,13789
39061,272215,287304,296562,304221,318440,320358
39063,26062,27621,27628,27894,28515,29859
39065,8171,8772,9706,9932,9447,10118
39069,9397,9126,9917,9411,10308,9557
39071,12634,12608,12117,13307,13888,13843
39073,7844,7836,8012,9681,10212,9171
39075,6731,6137,7231,7534,8731,8039
39077,18425,18606,17103,19939,19198,20607
39079,8984,9624,10014,9768,9866,11220
39081,19663,21366,20773,21807,21952,23370
39083,18227,18500,20064,18760,20247,20788
39085,82853,81840,84384,85738,91489,93175
39087,16083,17732,17986,17795,17404,19320
39089,51868,54226,53992,58753,61650,63597
39091,13757,14580,16796,16419,16766,17785
39093,97196,95553,97161,93484,107202,113595
39095,146608,146763,148043,152508,161605,166684
39097,11792,12441,13346,13117,13857,14250
39099,76522,78914,79947,83258,83197,85821
39101,18324,19991,19398,21239,21532,21918
39103,58836,61367,61580,59974,65828,67090
39105,5968,5938,7099,6451,6881,6557
39107,12109,14470,13624,14905,15590,14030
39109,34413,34407,35426,35585,38509,41590
39113,181645,188584,190654,190787,203221,212272
39117,9144,9746,10160,12494,10987,12252
39119,24294,25043,27610,26814,28279,31762
39123,13286,14435,15424,13908,15510,16202
39127,8772,10191,9664,10370,11852,12245
39129,15726,14425,16466,17070,18438,19090
39131,7300,8131,7550,7981,8784,8679
39133,49051,50743,50763,51248,53596,58396
39135,12923,12868,13028,13862,14412,14434
39137,10719,11532,11108,11592,11003,11616
39139,35164,36557,38061,40634,40976,45294
39141,20946,22233,23322,23883,25858,25519
39143,19177,17632,18446,19765,20922,22036
39145,19559,22286,22976,23322,23419,25587
39147,16010,17704,17572,17958,19443,19076
39149,14210,14706,15182,17347,16005,17394
39151,124162,129333,126883,128428,131848,133456
39153,174130,190384,193666,195308,206988,210949
39155,64779,66945,66889,65593,70267,72292
39157,25625,26898,28876,28793,32261,32265
39159,16018,17284,19087,19945,21472,23543
39161,8217,9152,8948,9650,10223,10393
39165,73532,76597,77296,78095,83678,88251
39167,17003,16390,18784,19763,20688,22059
39169,34769,34151,35281,35734,35513,37803
39171,11838,12585,13008,12595,12897,13760
39173,42203,43858,43265,44869,49517,50324
39175,6633,7752,6832,7300,8234,7026
