County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
42001,30010,30962,33163,32554,34389,35247
42003,435845,448531,467534,480643,490868,480076
42005,18461,19519,21200,22846,22286,24045
42007,52694,56333,60394,58884,61694,64253
42009,13892,13682,14909,16655,15257,16413
42011,124404,128848,129236,129220,144029,143392
42013,37813,41618,41176,43710,42217,44531
42015,19371,19010,20468,21182,19998,20343
42017,203416,211130,214718,218850,231186,236210
42019,63403,64205,66371,66107,72640,72823
42021,41531,43445,43357,45633,47057,46474
42025,20844,20760,20603,22387,24037,24563
42027,48849,48203,49169,48662,49488,52663
42029,161842,167035,172836,176697,189671,193190
42031,11959,11431,12315,13027,11297,13048
42033,20575,20852,24729,24051,25576,26891
42035,11053,10317,11717,11743,11668,13367
42037,20395,21509,20825,20989,21682,22843
42039,25663,26557,28073,28527,27397,29443
42041,80581,84136,87872,88628,95892,97721
42043,91686,89488,92363,95999,105887,110626
42045,173147,179016,181703,185820,202533,200046
42047,10570,10374,11119,11515,10931,12369
42049,85945,88427,91253,91163,95424,98249
42051,39627,40881,42748,42575,46737,46358
42055,46784,49497,47604,51525,53913,56823
42059,10678,10906,10902,11636,11356,12243
42061,10577,12136,13137,13448,12615,14201
42063,24617,25246,25832,23266,25910,25155
42065,12765,12243,14168,14187,14046,15592
42067,6320,6502,7325,7172,6786,7731
42069,64252,68701,72793,75148,76436,79171
42071,153385,153742,162737,169764,182228,185662
42073,26351,29326,30908,30731,31076,30613
42075,41259,42315,46606,43818,47712,48017
42077,112675,116989,117228,118108,122227,128646
42079,91222,99161,103496,108382,115551,119216
42081,35571,37253,36172,36312,40614,40936
42083,11777,11633,13363,13935,13449,14143
42085,36107,36114,37357,37957,38501,39760
42087,11946,13878,14633,15089,15600,14842
42089,46803,49318,47731,50143,60590,53481
42091,275199,279839,285425,294913,314041,314592
42095,92040,93874,96115,96558,108694,108726
42097,26631,28316,29961,29555,30689,32356
42099,13173,13388,15064,14644,15171,15958
42101,424729,428484,478499,512129,565208,614416
42103,18162,18040,20201,18756,21671,22244
42107,42896,44273,44554,46490,48667,49896
42109,10195,10805,11993,11142,11995,11696
42111,20478,21183,21081,22028,23129,23309
42115,12357,11369,14645,14799,12197,14339
42117,11164,10956,12453,13869,13920,14496
42119,10393,10829,12435,10018,10363,12211
42121,16205,16450,16599,18192,17756,18476
42123,12099,11419,13173,13635,13683,14177
42125,68327,67122,71892,74858,78236,78761
42127,12269,13557,15026,15017,16549,18592
42129,117254,121429,124986,129666,133965,136678
42131,8663,8880,9440,9085,9228,9658
42133,137280,141900,144360,150678,159384,164233
