County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
45001,6615,6883,6746,7568,7967.0,8462.0
45003,52030,54745,56142,58679,59048.0,63731.0
45007,55585,56534,63202,63534,73473.0,73976.0
45011,5183,5188,6689,5779,4913.0,5601.0
45013,56478,59236,66885,56474,69700.0,74446.0
45015,62331,63394,64857,66209,79164.0,86557.0
45019,121570,124234,133287,135533,153449.0,163517.0
45021,12707,13666,11868,17586,19807.0,17224.0
45023,6001,6571,8796,9115,10384.0,10764.0
45025,10805,11300,11400,13428,14174.0,14209.0
45027,7917,9198,9077,9932,8963.0,11328.0
45029,11652,12379,10635,10182,13135.0,13131.0
45031,17329,20766,15596,18376,19034.0,22308.0
45033,6947,4889,6086,6424,5990.0,6302.0
45035,44481,46395,48338,46501,52830.0,58585.0
45037,6473,6144,5487,6735,6430.0,7990.0
45039,4294,5805,5469,6806,5567.0,7094.0
45041,34628,39129,36158,40252,39230.0,43766.0
45043,17505,19650,19675,20368,20603.0,25473.0
45045,151968,163087,165260,174372,193404.0,203410.0
45047,18548,20381,20859,20866,21228.0,21585.0
45049,4210,4895,5435,5338,,
45051,104708,103189,109307,124180,132136.0,147102.0
45053,6307,6656,6284,7744,11162.0,10897.0
45055,16239,17593,21068,20881,22330.0,23304.0
45057,25563,28149,30077,28744,33104.0,36292.0
45059,17678,18617,18699,20621,22764.0,22492.0
45063,91094,93620,99979,102786,110126.0,113357.0
45067,5096,4926,5285,6207,7473.0,7806.0
45069,4875,5760,6044,5112,6123.0,8020.0
45071,8245,10570,11721,11355,13541.0,11472.0
45073,23164,24850,23196,25778,27346.0,31473.0
45075,22416,21310,23930,24209,24266.0,25409.0
45077,36963,37048,37553,40001,43913.0,46553.0
45079,125037,123576,128733,129477,148552.0,153114.0
45081,4717,3456,7173,5017,,
45083,87273,92786,93689,100641,112985.0,115962.0
45085,29352,31653,31707,33766,35507.0,36265.0
45087,7084,7111,8893,9374,8298.0,10242.0
45089,5296,6472,7437,6622,8740.0,9044.0
45091,84757,88762,88906,99415,104959.0,105049.0
