County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
47001,25009,24381,24865,26204,28181,29073
47003,11301,14468,13097,13818,16611,18007
47009,37753,39139,41782,41545,49337,50040
47011,30200,34036,31809,32889,37499,36952
47013,9723,10001,10304,12508,12802,12970
47017,7425,6778,7165,7809,9424,9196
47019,13882,14487,16755,17335,18672,19952
47021,12510,11510,12752,12918,13645,15228
47025,7182,9689,8107,8224,11333,11627
47029,7274,9517,9534,10317,10337,11447
47031,15777,16053,15239,15925,18430,21655
47035,19340,20532,21163,22507,23903,21229
47037,236006,242820,253171,257385,289550,298668
47043,13952,14015,15012,15659,17863,17771
47045,11202,11727,11273,12758,12394,11852
47047,10976,12040,12991,12869,14636,15499
47051,11520,11998,12650,11470,12795,16030
47053,14067,13989,15890,14046,16778,17670
47055,7678,8991,9058,9811,9793,9877
47057,6890,6355,6053,7123,6828,8074
47059,17772,19404,21332,20757,22625,23211
47063,16003,17400,19996,20974,20081,23657
47065,108287,112655,124129,127879,136382,138564
47069,5534,6025,7242,6096,7200,7046
47071,6786,7002,7865,7828,9818,8781
47073,13617,17013,17476,18274,18156,21154
47077,7744,7275,8191,8591,8736,7479
47079,9704,9386,11219,9114,11030,11962
47081,4988,5495,6501,7293,7350,7427
47089,14997,14610,14763,16137,15907,19721
47093,151525,156338,155426,161182,175019,182151
47097,5772,6122,7630,7555,7869,8050
47099,10932,12077,11945,11796,13373,13129
47103,9492,8587,9030,10343,10530,13483
47105,16041,16474,16596,18459,19814,22775
47107,14325,16535,15710,17280,17752,18812
47109,6933,7402,7479,8208,7281,7462
47111,6164,5500,6357,7701,8095,7941
47113,28008,26995,32866,32648,33570,33381
47115,7025,8550,10030,8339,9610,10472
47117,8713,8596,9952,10959,10866,12170
47119,26645,28686,28962,31629,38022,39645
47123,13529,13984,14786,14764,15973,16583
47125,55835,64398,66103,68563,77039,84840
47129,4840,5435,5017,4983,6419,4983
47131,9502,8994,10095,10603,10658,10919
47133,5447,5378,5631,5147,6965,7667
47141,22871,23818,27272,25971,28182,31246
47143,7659,9269,9455,10560,12208,11292
47145,15763,15434,15049,16118,18729,20644
47147,18926,21671,22698,23407,23037,25151
47149,92647,94751,103156,105564,114537,124486
47151,5759,6408,4761,5527,6701,7539
47155,28241,27682,29896,28727,30922,37419
47157,260291,266468,266303,276018,322065,322195
47163,49662,52848,51466,56909,58265,62447
47165,52064,56242,60564,62356,71265,72487
47167,16124,16755,16358,16355,19858,20861
47177,9396,11955,10961,11382,12991,14957
47179,43622,42482,44183,46776,50382,49719
47183,9274,9939,9067,10122,10149,11981
47185,6414,7388,7420,7794,9134,10445
47187,68573,72085,76653,79235,87639,89787
47189,40746,43542,44710,43283,51091,57397
