County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
51001,8154,9280,9521,10949,12086.0,13086
51003,33922,34649,37067,37935,41161.0,41140
51009,8017,8112,8571,9345,11263.0,9916
51013,93689,96596,99900,103280,104178.0,106545
51015,21743,21932,22889,25274,25699.0,27471
51019,22079,23237,25966,24119,30264.0,27633
51023,10517,10395,9946,12293,12201.0,11506
51027,4434,5144,5696,4913,,6199
51031,16943,16039,17673,16508,18131.0,19805
51033,7424,7841,8235,7855,9307.0,10385
51035,8185,7837,8464,10598,10836.0,10152
51041,108061,113591,115873,114830,126759.0,132361
51047,14023,14170,14926,15539,17274.0,17116
51053,8453,7450,8282,7757,8310.0,9733
51059,367001,369029,377254,380949,391995.0,399631
51061,20927,21535,23194,20778,24895.0,24945
51065,8225,7607,8217,8511,9312.0,9445
51067,15094,18489,17274,17239,19436.0,18560
51069,24996,26623,26757,26467,31592.0,33169
51073,12028,11757,12609,13204,13294.0,13174
51075,7464,7497,8439,8373,9633.0,10448
51083,7103,9184,9051,8250,9111.0,10349
51085,32710,33639,35096,33671,38815.0,38793
51087,106443,110816,114521,112329,122162.0,126078
51089,15781,16524,14324,13899,16621.0,14817
51093,10640,11476,11702,12309,13656.0,13666
51095,25653,23611,24564,27089,29279.0,30556
51099,8081,7784,9032,8585,9707.0,9418
51105,4313,4263,3817,3954,6061.0,7270
51107,117489,123273,126973,127314,137584.0,138720
51109,11148,11824,11277,11316,12076.0,13622
51117,7271,7144,8370,9117,9536.0,9996
51121,32149,30226,30085,32729,34427.0,33351
51127,6476,6451,6776,7542,7846.0,0
51137,12211,9886,10815,11906,13167.0,13451
51139,6300,6152,6474,6773,6965.0,8792
51143,18478,18705,17291,20585,18148.0,18644
51145,8882,9163,0,8454,0.0,9875
51147,3995,4960,4639,4272,4995.0,5208
51149,9815,10414,8529,9411,11698.0,12413
51153,130496,134301,137529,137051,148548.0,150705
51155,9671,10206,10539,11111,11735.0,11282
51161,31769,33139,31662,32482,35063.0,36651
51163,7097,6592,7639,8085,7018.0,8890
51165,23923,23283,24798,24722,27151.0,30177
51167,6387,7051,6556,6578,7471.0,7628
51169,5341,5356,5932,6036,6155.0,6394
51171,12335,13965,13454,13401,14868.0,15675
51173,8687,8437,9671,8370,9570.0,8552
51177,39549,39596,40952,42175,49633.0,50009
51179,43981,45534,46197,45155,49243.0,50581
51185,11136,11536,13495,12633,11597.0,14275
51187,11841,11766,12646,13821,13881.0,14096
51191,15505,17234,16792,17230,19001.0,17003
51195,10094,8962,10373,9041,10165.0,12863
51197,8235,7024,9624,8700,10357.0,9973
51199,22078,22443,21465,23462,24458.0,25476
51510,63286,64343,65929,64931,67315.0,71979
51540,14258,16368,15564,16367,17300.0,18044
51550,73566,75597,78621,79157,87401.0,84766
51590,13731,13407,13446,12773,13761.0,15639
51600,0,0,0,0,0.0,0
51630,9118,9688,8391,9488,9648.0,12445
51650,44346,43698,42125,46659,52612.0,53543
51660,12842,13785,12580,12716,15495.0,15158
51670,5877,6646,8426,8391,7473.0,6911
51680,20954,21796,23660,26794,26044.0,26473
51683,11065,11398,12423,12458,0.0,13824
51700,55891,46491,45038,60185,70275.0,68036
51710,72909,75424,75564,71911,86691.0,82561
51730,9528,10269,9806,9538,12879.0,12936
51740,27826,29598,28469,31592,35097.0,34483
51760,65053,64970,71111,73342,83245.0,90826
51770,30503,31351,30224,31401,36085.0,36324
51775,7609,8514,7240,8486,9030.0,9267
51790,9561,7755,7420,8363,9427.0,9345
51800,27445,26177,28164,29022,34020.0,35055
51810,149334,152542,156919,161196,172280.0,168271
51820,6716,7781,8612,7317,9411.0,7701
51840,8474,7843,8466,7976,10290.0,9063
