County,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub
54003,35962,33537.0,37759.0,41359.0,47116.0,47026.0
54005,5684,6590.0,7647.0,6315.0,6361.0,7321.0
54009,6843,7617.0,9161.0,6951.0,7717.0,8618.0
54011,27903,22967.0,29796.0,29610.0,33908.0,33838.0
54019,12686,12126.0,12617.0,13242.0,11517.0,14515.0
54025,9937,12027.0,12586.0,11602.0,12429.0,13031.0
54027,7918,6339.0,7285.0,6003.0,5251.0,7037.0
54029,9083,8645.0,10336.0,11263.0,11639.0,11212.0
54033,22223,22767.0,20687.0,20375.0,22791.0,22532.0
54035,7999,8056.0,8901.0,9402.0,8480.0,7849.0
54037,17922,16721.0,18624.0,18458.0,19359.0,20633.0
54039,58176,60458.0,61482.0,62912.0,69796.0,67522.0
54043,6370,5451.0,6382.0,5761.0,5871.0,6174.0
54045,10442,11355.0,12061.0,10987.0,9745.0,11922.0
54047,4206,,,,,
54049,17661,18464.0,19522.0,18983.0,21195.0,20059.0
54051,8172,7969.0,8804.0,9747.0,10370.0,9939.0
54053,5989,6779.0,7867.0,8738.0,9220.0,8236.0
54055,16092,17837.0,19639.0,20097.0,20039.0,19642.0
54057,8942,8606.0,8740.0,8283.0,9449.0,9948.0
54059,6728,6595.0,7227.0,7699.0,6882.0,7980.0
54061,31549,33664.0,36205.0,35751.0,38406.0,40144.0
54067,7354,7386.0,8361.0,8726.0,7724.0,8029.0
54069,10755,11792.0,13196.0,13333.0,15763.0,14760.0
54077,8722,8426.0,9807.0,9896.0,11170.0,10489.0
54079,16473,16226.0,17518.0,18157.0,19805.0,21279.0
54081,22462,25343.0,22303.0,25165.0,20242.0,21726.0
54083,7623,6489.0,6716.0,8509.0,8051.0,8047.0
54097,7047,8197.0,6901.0,7421.0,7361.0,8146.0
54099,10554,9211.0,7677.0,9835.0,13199.0,14099.0
54107,27872,28698.0,28228.0,27562.0,30842.0,32458.0
54109,5619,6982.0,7430.0,7123.0,4006.0,5611.0
