Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
05001480100,1253,917,328,0,0,0,98,46.1,58710,12,335,33,82,20,7,63,141,488,408,80,144,0,288,63,137,290,290,155,192,22,10,61,30,63,28,45,22,1253,0,0,0,0,0,0,866,1235,488,59,1,4.53,3,1,Aristotle Unified Communications -- Connect2First -- Brightspeed,1,0,1,1
05001480200,1299,1231,49,0,0,0,96,39.3,73849,3,295,73,79,13,0,67,29,461,378,83,121,0,396,27,38,396,396,167,59,29,13,22,14,52,22,55,50,1294,0,5,0,0,0,0,908,1187,461,82,1,4.8,4,1,Ritter Communications Inc. -- Aristotle Unified Communications -- Connect2First -- Brightspeed,0,0,1,1
05001480300,2885,1956,750,19,0,0,126,36.8,64886,63,729,57,241,93,35,171,221,1009,684,325,317,7,765,69,168,772,765,553,237,25,17,148,79,107,59,58,49,2787,0,12,42,44,53,31,1924,2584,1009,231,1,183.89,5,2,Aristotle Unified Communications -- Connect2First -- Ritter Communications Inc. -- Verizon -- Brightspeed,0,0,1,1
05001480400,2151,503,1518,17,8,0,32,40.7,22875,0,559,161,90,70,10,203,542,899,352,547,244,0,548,207,144,548,548,310,330,121,81,247,34,175,110,64,31,2091,0,13,39,8,32,0,1488,1956,899,216,1,92.0,5,2,Aristotle Unified Communications -- Ritter Communications Inc. -- Optimum -- Verizon -- Brightspeed,0,0,1,1
05001480500,3597,2361,1172,0,0,0,25,37.4,71392,17,790,129,325,97,15,244,252,1370,770,600,318,0,1065,214,91,1073,1073,640,198,93,93,182,72,142,90,89,66,3558,0,12,15,12,0,0,2431,3409,1370,349,1,713.89,4,2,Aristotle Unified Communications -- Verizon -- Brightspeed -- Ritter Communications Inc.,0,0,1,1
05001480600,1900,1816,32,0,0,0,153,43.9,69679,0,645,100,162,92,0,48,61,729,622,107,122,0,617,38,74,617,617,331,82,43,14,52,32,39,26,28,28,1858,0,0,0,42,26,0,1449,1865,729,113,1,36.73,4,2,Aristotle Unified Communications -- Verizon -- Connect2First -- Brightspeed,0,0,1,1
05001480700,2790,2279,465,0,0,0,119,44.9,46574,6,771,119,121,63,0,138,591,1120,722,398,273,0,836,71,213,870,849,486,242,66,57,187,83,241,150,125,89,2755,0,0,0,35,5,0,1948,2627,1120,206,1,46.13,4,2,Aristotle Unified Communications -- Verizon -- Connect2First -- Brightspeed,0,0,1,1
05001480800,1149,1049,65,10,0,0,0,51.5,71442,61,226,27,137,30,54,14,31,483,409,74,98,0,372,65,46,372,372,149,105,9,4,35,19,60,57,57,49,1145,0,4,0,0,0,9,875,1114,483,49,1,3.98,4,2,Aristotle Unified Communications -- Verizon -- Connect2First -- Brightspeed,1,0,1,1
05003960100,1394,868,436,10,0,0,168,43.9,53750,3,281,88,69,13,0,212,105,506,412,94,128,0,401,52,53,403,403,178,91,51,41,52,12,56,42,71,54,1363,0,0,22,9,10,0,935,1341,506,130,1,4.95,0,0,0,0,0,0,0
05003960200,2727,2508,122,0,6,0,82,42.8,54653,70,907,279,49,17,0,298,225,901,859,42,208,8,609,137,147,654,646,236,217,38,22,85,37,147,53,119,76,2682,0,0,0,45,24,6,1864,2488,901,151,1,16.42,0,0,0,0,0,0,0
