Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
19001960100,2813,2732,0,0,0,0,162,43.2,63125,3,723,87,291,40,5,67,189,1198,857,341,331,9,940,95,154,954,945,667,225,11,3,118,52,155,115,178,143,2782,0,0,11,20,0,0,1970,2539,1198,87,1,10.71,11,5,BTWI -- Casey Mutual Telephone Company -- Westel_Systems -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- T-Mobile US -- Coon Valley Co-op Telephone Association Inc. -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0,0,1,1
19001960200,1737,1686,0,0,0,12,24,44.3,85278,0,404,41,194,28,5,52,112,702,548,154,185,4,578,80,40,582,578,263,110,25,20,43,36,49,32,72,57,1730,0,1,1,5,1,0,1225,1652,702,61,1,6.76,10,5,Casey Mutual Telephone Company -- Cumberland Telephone Company -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- Coon Valley Co-op Telephone Association Inc. -- T-Mobile US -- Verizon -- Windstream Buffalo Valley Inc. -- CenturyLink,0,0,1,1
19001960300,2929,2774,48,0,9,0,10,42.4,54079,28,872,47,270,84,24,147,169,1324,873,451,289,9,997,113,205,1031,1017,723,262,75,57,161,93,185,125,205,152,2891,0,6,27,5,0,0,2090,2832,1324,117,1,71.57,8,3,Cumberland Telephone Company -- MCC_Georgia_LLC -- Fusion -- TDS Telecom -- Nextlink -- Coon Valley Co-op Telephone Association Inc. -- Verizon -- Windstream Buffalo Valley Inc.,0,0,1,1
19003950100,1670,1592,1,0,0,0,39,46.7,67917,6,432,10,164,19,30,64,47,666,579,87,200,0,549,39,78,555,555,256,101,31,18,38,6,63,35,102,84,1669,0,0,1,0,0,0,1152,1539,666,40,1,4.84,12,5,Massena Telephone Company -- FMTC of Stanton Iowa -- Cumberland Telephone Company -- MCC_Georgia_LLC -- Griswold Communications Blue Surge Internet -- TDS Telecom -- Nextlink -- Coon Valley Co-op Telephone Association Inc. -- T-Mobile US -- Verizon -- FRONTIER -- Windstream Buffalo Valley Inc.,0,0,1,1
19003950200,2010,1898,10,16,0,0,33,46.1,56250,32,422,73,278,49,15,96,134,857,653,204,217,5,706,66,80,725,720,592,119,46,33,91,42,123,110,98,80,1996,0,0,4,10,4,4,1492,1944,857,49,1,24.46,5,2,Massena Telephone Company -- FMTC of Stanton Iowa -- MCC_Georgia_LLC -- TDS Telecom -- FRONTIER,0,0,1,1
19005960100,1977,1934,15,23,0,0,16,50.8,59605,10,645,39,253,82,4,88,225,930,761,169,173,0,710,55,165,720,720,524,186,38,38,72,49,107,79,185,124,1949,0,0,20,8,10,13,1530,1836,930,39,1,14.84,9,5,ACENTEK -- Allamakee-Clayton Electric Inc -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Verizon -- CenturyLink,0,0,1,1
19005960200,2314,2264,6,0,0,0,4,49.8,73640,8,572,119,296,28,8,27,23,1000,883,117,207,16,830,25,129,854,838,628,141,18,18,31,5,117,78,37,24,2302,0,8,4,0,0,0,1690,2192,1000,47,1,10.39,12,6,Community Digital Wireless -- Verizon -- ACENTEK -- MiBroadband -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- GigFire -- LTD Broadband -- Allamakee-Clayton Electric Inc -- Spring Grove Communications -- CenturyLink,0,0,1,1
19005960300,4161,3985,1,24,26,0,86,38.7,55672,54,959,100,394,163,31,202,282,1874,1397,477,410,21,1486,192,175,1545,1524,1162,251,18,18,242,194,361,197,260,246,4076,0,11,68,6,18,5,2872,3952,1874,107,1,341.75,10,5,Community Digital Wireless -- Verizon -- ACENTEK -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- GigFire -- LTD Broadband -- Allamakee-Clayton Electric Inc -- CenturyLink,0,0,1,1
19005960400,2072,2061,0,0,0,0,5,56.4,67015,8,653,84,212,41,2,33,112,967,889,78,148,0,833,19,115,879,879,718,84,36,21,55,33,99,88,109,82,2038,0,0,34,0,0,28,1659,1891,967,32,1,12.36,9,5,Community Digital Wireless -- Verizon -- ACENTEK -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Allamakee-Clayton Electric Inc,0,0,1,1
19005960500,3522,2737,219,85,58,0,936,30.6,66094,64,781,81,164,55,15,186,416,1199,848,351,472,0,962,103,134,974,974,656,182,47,28,126,75,116,82,205,170,2719,94,37,211,461,436,259,1978,3215,1199,61,1,35.88,10,5,Community Digital Wireless -- Verizon -- ACENTEK -- MCC_Georgia_LLC -- TDS Telecom -- Nextlink -- LTD Broadband -- GigFire -- Allamakee-Clayton Electric Inc -- CenturyLink,0,0,1,1
