Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
18001030100,4919,4524,89,5,0,0,128,42.5,83603,31,1253,246,504,117,39,95,45,1887,1669,218,612,14,1660,110,103,1674,1660,1083,134,58,10,51,42,114,71,301,264,4906,0,8,5,0,0,0,3446,4735,1887,159,1,62.16,7,4,Benton Ridge Telephone Company -- Mercury Broadband -- MCC_Georgia_LLC -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18001030200,4746,4382,58,0,1,0,453,36.9,47652,18,1390,248,314,90,19,240,287,2106,1566,540,567,0,1651,130,325,1659,1659,1137,425,58,50,140,82,427,225,505,348,4715,0,0,16,15,0,0,3266,4142,2106,204,1,495.65,7,4,Benton Ridge Telephone Company -- Mercury Broadband -- MCC_Georgia_LLC -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18001030300,5269,4998,48,0,0,0,390,43.4,59050,3,1710,277,422,114,15,126,485,2230,1627,603,593,0,1676,193,361,1723,1709,1432,428,54,38,136,89,435,166,396,276,5134,0,71,33,31,0,0,3678,4965,2230,197,1,568.42,7,4,Benton Ridge Telephone Company -- Mercury Broadband -- MCC_Georgia_LLC -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18001030400,4084,3799,0,4,9,0,176,35.8,87031,137,974,112,269,117,18,53,321,1411,1346,65,428,10,1053,49,299,1069,1059,672,336,0,0,58,16,226,125,39,34,4052,0,0,32,0,3,98,2553,3846,1411,100,1,56.19,9,5,Charter Communications Inc -- Benton Ridge Telephone Company -- Mercury Broadband -- Craigville Telephone Company Inc. -- MCC_Georgia_LLC -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18001030500,6587,6517,8,0,0,0,50,22.1,75945,660,862,95,232,176,0,310,675,1589,1466,123,906,0,905,69,615,948,948,680,641,61,0,71,4,137,63,187,85,6575,0,7,5,0,0,998,2980,5594,1589,84,1,80.89,9,5,Xfinity -- Benton Ridge Telephone Company -- Mercury Broadband -- Craigville Telephone Company Inc. -- MCC_Georgia_LLC -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18001030600,3303,2966,0,0,28,0,239,33.5,53958,23,851,94,343,67,0,11,130,1276,924,352,495,0,1148,62,66,1148,1148,927,89,6,0,105,60,222,184,250,250,3221,0,0,69,13,0,13,2048,3077,1276,126,1,945.19,5,3,Xfinity -- Benton Ridge Telephone Company -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18001030700,6919,6674,10,0,13,0,237,26.6,57394,749,1192,239,256,111,0,876,386,1850,1554,296,762,0,1154,61,635,1154,1154,770,658,117,10,112,83,243,112,290,206,6754,0,64,26,75,80,1191,3510,6287,1850,155,1,79.85,7,4,Xfinity -- Benton Ridge Telephone Company -- Wabash Mutual Telephone -- MetaLINK Technologies Inc. -- T-Mobile US -- Verizon -- Brightspeed,0,0,1,1
18003000100,2675,2251,47,0,0,0,421,30.2,58842,0,497,28,275,119,0,212,65,1075,909,166,328,0,968,68,39,968,968,727,95,43,14,71,60,160,105,79,79,2579,0,0,16,80,26,11,1696,2402,1075,200,0,3730.27,6,4,Xfinity -- Allstream Business US LLC -- Three Rivers Communications -- T-Mobile US -- Verizon -- FRONTIER,0,0,1,1
18003000300,3293,3055,48,0,17,0,104,35.6,70324,29,418,50,598,274,39,86,251,1323,1065,258,379,0,1261,16,46,1261,1261,907,56,38,28,36,36,275,251,196,190,3244,0,0,45,4,9,24,2148,3100,1323,259,0,6784.98,4,4,Xfinity -- FRONTIER -- T-Mobile US -- Verizon,0,0,1,1
18003000400,2791,1962,588,0,0,0,19,36.9,43949,0,623,67,331,184,6,437,171,1299,617,682,261,0,1139,79,81,1139,1139,843,160,179,179,182,113,165,126,198,187,2785,0,6,0,0,0,0,2014,2627,1299,252,0,2367.8,4,4,Xfinity -- FRONTIER -- T-Mobile US -- Verizon,0,0,1,1
