Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
25001010100,3630,2932,27,29,80,0,419,56.1,91447,11,341,29,1013,557,170,178,286,1996,1525,471,102,0,1658,251,87,1658,1658,1529,189,60,60,200,77,263,158,94,61,3194,20,51,226,139,140,29,3209,3514,1996,134,1,370.41,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010206,4352,3793,11,0,36,0,53,59.1,97396,0,549,11,741,945,277,124,93,1975,1696,279,373,0,1853,41,81,1853,1853,1716,81,75,73,43,11,113,113,230,230,4109,1,37,168,37,0,146,3573,4222,1975,78,1,217.6,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010208,1627,1626,0,0,0,0,1,65.0,89243,0,506,57,148,465,74,2,122,1031,862,169,17,0,964,13,54,964,964,882,67,41,41,81,42,251,223,64,64,1585,19,21,2,0,0,0,1509,1627,1031,54,1,75.17,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010304,2739,2507,0,0,102,0,10,60.6,68633,12,429,52,602,369,137,21,107,1363,1306,57,168,0,1207,133,23,1219,1219,1180,126,30,30,20,20,153,27,203,192,2515,0,49,148,27,0,14,2313,2697,1363,58,1,414.87,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010306,2985,2605,223,10,18,0,0,57.6,81078,59,475,46,632,419,59,57,260,1361,1233,128,247,0,1208,59,94,1218,1218,1128,111,22,9,93,93,168,145,49,7,2731,0,53,159,42,0,70,2425,2893,1361,71,1,397.32,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010400,3342,3198,10,0,53,0,71,64.6,78232,0,490,108,860,407,102,110,340,1587,1172,415,267,0,1526,0,61,1526,1526,1424,61,43,43,178,149,133,111,161,161,3192,0,22,102,26,13,0,2812,3234,1587,63,1,549.83,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010500,2980,2956,3,0,6,0,29,60.2,99403,0,150,21,888,565,199,93,108,1417,1189,228,193,0,1378,10,29,1383,1383,1252,34,33,23,76,76,134,120,87,87,2716,3,67,163,31,14,9,2417,2923,1417,78,1,364.26,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010600,3247,3124,31,16,0,0,29,66.0,75417,4,322,24,827,499,76,111,34,1589,1395,194,167,0,1358,84,147,1405,1405,1332,120,66,46,67,36,122,122,160,101,3130,2,11,71,33,2,4,2665,3194,1589,41,1,553.78,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010700,3360,2989,14,0,162,0,72,63.3,108984,0,319,48,1000,579,201,83,286,1700,1508,192,228,0,1575,67,58,1586,1586,1505,114,53,41,165,154,62,50,102,102,3105,0,0,165,90,0,0,2829,3228,1700,49,1,325.05,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010800,4987,4823,21,0,0,0,53,59.9,95949,16,686,84,978,801,139,177,152,2266,1876,390,436,0,1948,142,176,2016,2016,1804,126,120,65,43,43,179,179,296,212,4762,0,28,137,60,0,60,4071,4935,2266,112,1,436.55,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
25001010900,5354,5002,69,0,31,0,228,55.9,95784,0,893,153,933,823,115,62,297,2306,1933,373,395,0,2109,81,116,2182,2109,1962,22,38,38,120,120,237,194,227,227,4770,66,64,395,59,30,52,4322,5246,2306,115,1,458.87,3,3,Xfinity -- T-Mobile US -- Verizon,0,0,1,1
