Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
24001000100,3474,3410,13,0,0,0,38,51.1,56232,0,1025,235,195,187,27,313,89,1577,1232,345,361,10,1188,192,187,1198,1188,500,368,123,59,142,97,247,130,193,138,3445,0,0,29,0,22,0,2671,3352,1577,103,1,18.42,7,5,Crowsnest Broadband LLC -- Fibercreek -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Morgan Wireless  LLC,0,0,1,1
24001000200,4052,3119,787,9,18,0,99,45.5,66596,79,1053,534,252,100,18,148,170,1390,1198,192,235,0,1009,154,227,1009,1009,816,381,75,29,94,38,216,159,136,103,3922,16,8,68,38,29,62,3255,3967,1390,207,1,88.31,6,5,Crowsnest Broadband LLC -- Fibercreek -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US,0,0,1,1
24001000500,2304,1539,458,0,34,0,125,32.1,47781,0,424,46,142,53,9,339,140,683,407,276,222,0,564,24,95,595,595,564,75,40,33,72,42,138,87,127,127,2219,0,4,49,32,24,5,1283,2251,683,216,1,506.67,8,6,Crowsnest Broadband LLC -- Breezeline -- Fibercreek -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon -- Antietam Cable,0,0,1,1
24001000600,3005,2743,47,13,0,0,21,43.0,48607,40,614,139,288,169,0,130,282,1374,968,406,409,15,1128,57,174,1184,1169,939,177,92,67,211,145,162,150,256,166,2985,0,12,8,0,0,0,2141,2865,1374,246,1,1722.63,6,5,Crowsnest Broadband LLC -- Breezeline -- Fibercreek -- SkyPacket -- TDS Telecom -- T-Mobile US,0,0,1,1
24001000700,3233,3038,57,0,0,0,17,39.3,36090,49,693,93,157,111,40,356,558,1462,714,748,446,0,1106,102,254,1149,1149,815,236,173,140,196,122,345,271,338,276,3153,0,14,66,0,0,20,2045,3032,1462,289,1,4538.5,4,4,TDS Telecom -- T-Mobile US -- SkyPacket -- Breezeline,0,0,1,1
24001000800,1932,1840,24,0,17,0,123,36.2,27130,11,537,65,80,25,11,324,351,786,376,410,290,0,679,45,62,690,690,435,84,81,62,201,170,156,131,67,65,1773,24,89,43,3,24,0,1253,1763,786,168,1,1476.48,5,5,Crowsnest Broadband LLC -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US,0,0,1,1
24001001000,1928,1757,78,0,0,0,38,45.5,24777,23,341,113,123,97,23,232,339,1025,436,589,214,0,654,151,220,669,669,484,305,152,67,313,175,132,76,67,57,1899,0,7,22,0,0,23,1384,1869,1025,238,1,5108.6,4,4,TDS Telecom -- T-Mobile US -- SkyPacket -- Breezeline,0,0,1,1
24001001100,1327,1181,57,0,16,0,13,46.2,43000,2,261,22,178,123,68,126,188,690,300,390,96,0,583,16,91,600,600,416,74,117,102,99,81,128,77,49,43,1294,0,0,22,11,0,0,960,1316,690,158,1,4252.79,6,6,Crowsnest Broadband LLC -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon,0,0,1,1
24001001200,2924,2659,20,11,95,0,48,48.0,100625,4,346,6,515,271,132,99,76,1270,1083,187,208,0,1160,45,65,1180,1180,1114,69,61,61,45,36,87,37,90,90,2769,0,12,125,18,0,0,2144,2870,1270,241,1,1122.66,6,5,Crowsnest Broadband LLC -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Shentel,0,0,1,1
24001001300,5061,2591,2212,31,10,0,152,40.6,56037,156,986,1143,195,23,3,121,134,1018,722,296,282,0,845,86,87,857,857,739,124,26,0,72,39,170,114,188,173,4845,0,42,43,131,93,39,4335,4996,1018,159,1,1464.0,4,4,Crowsnest Broadband LLC -- TDS Telecom -- T-Mobile US -- Breezeline,0,0,1,1
24001001401,4027,3632,55,8,61,0,171,41.0,76406,10,758,98,759,349,44,96,147,1603,1441,162,349,0,1379,87,137,1399,1399,1263,175,49,43,66,58,148,65,177,140,3953,0,6,50,18,14,11,2878,3669,1603,301,1,263.43,6,6,Crowsnest Broadband LLC -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon,0,0,1,1
24001001402,1599,1484,47,0,19,0,8,40.9,68352,0,265,30,254,151,6,34,24,755,599,156,179,0,696,0,59,709,709,573,46,18,18,57,57,71,49,55,55,1546,0,14,8,31,0,5,1179,1501,755,116,1,1385.54,4,4,TDS Telecom -- T-Mobile US -- SkyPacket -- Breezeline,0,0,1,1
24001001502,2116,2025,4,0,0,0,6,47.3,59306,0,635,70,114,58,34,123,198,871,680,191,244,0,647,131,93,651,651,599,190,56,22,88,27,121,71,135,135,2108,0,0,0,8,0,0,1536,1917,871,80,1,230.43,4,4,Crowsnest Broadband LLC -- T-Mobile US -- SkyPacket -- Breezeline,0,0,1,1
24001001503,1707,1634,7,5,0,2,9,51.3,56875,13,767,81,94,57,33,142,132,737,578,159,101,0,564,75,98,582,582,516,145,63,63,45,30,138,70,105,66,1653,0,7,21,26,0,20,1415,1641,737,74,1,139.04,4,4,Xfinity -- T-Mobile US -- SkyPacket -- Breezeline,0,0,1,1
24001001600,1351,1268,10,3,39,0,26,47.8,49358,0,343,0,153,145,10,101,66,628,434,194,132,0,546,20,62,550,550,441,62,41,41,11,11,77,56,204,167,1306,0,11,10,24,0,21,985,1289,628,78,1,203.27,6,5,Xfinity -- Neubeam -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon,0,0,1,1
24001001700,3722,3438,118,1,74,0,80,41.0,51074,0,1052,84,371,236,6,424,274,1553,972,581,422,12,1314,71,156,1335,1323,1186,182,162,128,272,208,214,173,98,71,3660,0,4,43,15,0,26,2526,3530,1553,241,1,284.26,6,6,Xfinity -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon,0,0,1,1
24001001800,4204,3098,803,14,108,1,162,21.7,36544,0,278,21,334,297,17,454,437,1301,570,731,300,3,1104,80,114,1107,1104,886,152,113,104,244,185,283,205,117,117,3953,0,77,80,94,0,78,1490,4122,1301,212,1,1214.77,7,5,Xfinity -- Neubeam -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon -- Shentel,0,0,1,1
24001001900,2737,2661,9,0,13,2,27,37.9,61389,5,775,15,216,150,52,82,137,1096,977,119,333,0,871,144,81,876,876,709,163,28,28,102,65,114,97,200,120,2670,0,19,48,0,10,2,1820,2565,1096,113,1,111.24,7,7,Xfinity -- Crowsnest Broadband LLC -- Breezeline -- SkyPacket -- TDS Telecom -- T-Mobile US -- Verizon,0,0,1,1
24001002000,5177,5035,16,0,70,0,0,46.6,59808,0,1545,127,510,172,35,304,244,2442,1814,628,663,0,1996,226,220,2012,2012,1632,294,179,163,279,70,328,244,249,222,5095,0,12,31,39,0,0,3765,4911,2442,378,1,185.9,5,5,Xfinity -- Crowsnest Broadband LLC -- Breezeline -- TDS Telecom -- T-Mobile US,0,0,1,1
24001002100,2814,2680,3,0,36,0,96,48.9,49352,8,899,131,126,88,34,211,249,1207,841,366,272,0,958,60,189,960,960,796,236,89,43,73,63,244,130,226,181,2710,0,18,24,62,2,19,2035,2723,1207,193,1,124.81,2,2,Xfinity -- T-Mobile US,0,0,1,1
24001002200,3805,3743,20,0,11,0,60,42.4,57568,36,1076,74,269,141,9,319,248,1494,1226,268,433,8,1248,55,183,1268,1260,1102,219,48,24,182,137,219,155,202,175,3792,0,0,8,5,0,0,2579,3565,1494,280,1,159.1,3,3,Xfinity -- TDS Telecom -- T-Mobile US,0,0,1,1
24001002300,5662,5253,117,0,10,0,58,48.7,60669,0,1395,281,401,159,16,259,472,2500,1684,816,554,0,1993,142,365,2079,2079,1810,394,162,109,310,215,302,224,303,202,5623,0,0,29,10,0,10,4235,5389,2500,464,0,462.06,6,5,Crowsnest Broadband LLC -- Breezeline -- Fibercreek -- SkyPacket -- TDS Telecom -- T-Mobile US,0,0,1,1
24003701101,4385,3879,214,0,20,0,187,47.7,145986,10,433,60,1049,473,277,39,61,1591,1457,134,453,0,1487,18,86,1496,1496,1345,68,20,0,17,8,107,75,132,106,4225,0,47,85,28,16,0,3246,4189,1591,42,0,1538.02,4,3,Xfinity -- T-Mobile US -- Believe Broadband -- Verizon,0,0,1,1
24003701103,3828,3555,177,0,8,0,546,35.9,105500,0,621,206,655,126,12,330,398,1540,1210,330,525,0,1514,17,9,1514,1514,1452,9,86,86,21,21,59,59,132,123,3719,0,10,39,60,264,33,2786,3544,1540,43,0,6310.34,4,3,Xfinity -- T-Mobile US -- Believe Broadband -- Verizon,0,0,1,1
24003701104,3572,3172,216,0,45,0,138,45.7,105494,15,607,71,701,381,100,125,45,1429,1284,145,389,0,1343,0,86,1396,1396,1251,33,52,37,15,15,58,58,130,130,3294,20,38,157,63,48,17,2709,3487,1429,51,0,2822.14,4,3,Xfinity -- T-Mobile US -- Believe Broadband -- Verizon,0,0,1,1
24003701201,3864,3653,46,0,53,0,89,39.9,138285,0,410,34,757,344,8,19,57,1373,1145,228,464,0,1341,11,21,1353,1353,1308,9,17,17,0,0,9,0,61,61,3779,0,0,38,47,7,35,2624,3558,1373,47,0,1529.18,4,3,Xfinity -- T-Mobile US -- Believe Broadband -- Verizon,0,0,1,1
24003701202,4391,3892,99,0,65,0,233,38.0,142250,10,663,84,678,375,57,174,173,1595,1341,254,715,0,1478,44,73,1478,1478,1398,96,80,80,95,65,52,42,34,34,4200,0,18,147,26,0,44,2995,3925,1595,56,0,1403.8,4,3,Xfinity -- T-Mobile US -- Believe Broadband -- Verizon,0,0,1,1
24003701301,4417,4001,130,10,21,0,161,44.2,157857,15,551,15,982,532,89,235,24,1416,1371,45,524,0,1365,0,51,1365,1365,1303,51,12,12,44,44,130,79,46,46,4110,0,126,71,110,9,20,2919,4202,1416,25,0,292.06,4,3,Xfinity -- T-Mobile US -- Believe Broadband -- Verizon,0,0,1,1
24003701302,3933,3327,468,0,35,0,55,50.3,152917,0,650,100,745,512,15,84,63,1418,1337,81,429,0,1325,14,79,1325,1325,1223,92,49,49,10,10,41,41,61,34,3848,0,50,35,0,0,0,2921,3768,1418,94,0,151.63,5,4,Xfinity -- Astound_Broadband -- Believe Broadband -- T-Mobile US -- Verizon,0,0,1,1
24003701400,3837,3102,506,0,23,0,271,53.3,139706,17,844,56,666,359,73,91,6,1292,1184,108,392,0,1186,78,28,1194,1194,1102,82,22,22,12,0,63,43,189,182,3481,13,48,193,102,148,8,2896,3611,1292,58,0,175.4,5,4,Xfinity -- Astound_Broadband -- Believe Broadband -- T-Mobile US -- Verizon,0,0,1,1
