Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
29001950100,3671,3612,1,3,7,0,134,41.9,65431,69,893,100,308,143,23,312,138,1356,1203,153,304,5,998,202,151,1025,1020,600,295,30,30,150,85,147,53,148,122,3615,0,24,14,18,27,41,2449,3416,1356,128,1,14.54,8,5,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- Northeast Missouri Rural Telecommunications -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29001950200,3051,2936,8,0,13,13,57,41.6,62621,28,795,96,269,147,34,100,307,1117,950,167,296,8,849,135,125,874,866,641,167,50,26,121,50,160,133,146,126,3008,0,10,6,27,9,3,2110,2791,1117,155,1,10.87,7,4,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- T-Mobile US -- Northeast Missouri Rural Telecommunications -- Bluebird Network LLC -- Verizon,0,0,1,1
29001950300,3073,2983,36,10,21,0,31,33.4,25616,20,464,104,237,122,0,809,606,1299,445,854,145,0,982,199,118,1006,1006,729,274,374,255,159,110,209,163,156,128,3043,0,0,16,14,0,36,1897,2974,1299,205,1,378.29,8,5,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- Northeast Missouri Rural Telecommunications -- Bluebird Network LLC -- T-Mobile US -- Verizon -- Socket Telecom LLC,0,0,1,1
29001950400,3991,3615,166,11,110,0,116,34.8,50000,0,606,81,573,281,107,173,266,1676,1192,484,365,0,1426,123,127,1426,1426,1139,192,85,78,284,189,235,185,234,220,3690,0,14,122,165,81,150,2447,3659,1676,233,1,533.19,9,6,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- Northeast Missouri Rural Telecommunications -- Bluebird Network LLC -- T-Mobile US -- Verizon -- Socket Telecom LLC -- AT&T Inc,0,0,1,1
29001950501,3616,2797,521,54,94,0,23,31.8,59353,21,492,116,258,346,43,590,88,1314,661,653,367,0,994,193,127,1062,1062,730,252,160,64,83,72,160,151,139,65,3220,0,31,61,304,16,319,2121,3338,1314,233,0,205.85,8,5,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- T-Mobile US -- Bluebird Network LLC -- Northeast Missouri Rural Telecommunications -- Socket Telecom LLC -- AT&T Inc,0,0,1,1
29001950502,3538,2940,112,19,171,0,135,27.2,60769,5,424,14,310,344,63,770,114,1176,680,496,421,0,1013,90,73,1013,1013,917,109,166,142,75,57,172,117,92,74,3321,0,0,36,181,58,2,1822,3395,1176,184,0,408.74,7,4,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- T-Mobile US -- Bluebird Network LLC -- Socket Telecom LLC -- AT&T Inc,0,0,1,1
29001950900,2451,2232,131,0,0,0,134,22.7,33516,0,259,22,167,134,14,893,262,913,348,565,83,7,751,113,42,768,761,675,123,206,125,126,99,134,112,149,134,2430,0,0,0,21,0,65,991,2439,913,142,1,5237.26,7,4,Mark Twain Rural Telephone Company -- Cable America -- TDS Telecom -- T-Mobile US -- Bluebird Network LLC -- Socket Telecom LLC -- AT&T Inc,0,0,1,1
29001951000,1908,1688,68,8,56,0,72,19.4,0,0,0,0,10,11,4,8,2,13,4,9,4,0,13,0,0,13,13,11,0,7,7,2,2,0,0,0,0,1827,0,8,0,73,30,0,31,1906,13,6,1,7807.61,0,0,0,0,0,0,0
29003010100,6447,5672,114,0,39,0,417,40.1,94444,53,1159,264,836,438,116,113,336,2218,1796,422,736,12,1896,269,41,1908,1896,1557,199,14,8,58,35,163,121,313,214,6229,7,120,45,46,20,22,4384,6041,2218,211,0,98.97,10,4,United Fiber -- Mercury Broadband -- Optimum -- T-Mobile US -- Bluebird Network LLC -- Verizon -- KwiKom -- AT&T Inc -- St Joe Wireless -- Brightspeed,0,0,1,1
29003010201,3941,3823,26,0,4,0,0,41.4,47232,129,753,138,441,201,9,107,225,1638,1168,470,488,0,1137,213,288,1137,1137,960,428,103,88,286,80,259,66,216,149,3916,0,25,0,0,2,0,2705,3759,1638,70,0,291.53,8,2,United Fiber -- Mercury Broadband -- Optimum -- T-Mobile US -- Bluebird Network LLC -- KwiKom -- St Joe Wireless -- Brightspeed,0,0,1,1
