Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
35001000107,2535,2199,0,25,40,0,638,56.0,82632,0,214,25,753,272,75,124,387,1204,880,324,206,8,1068,87,41,1076,1068,853,79,212,158,45,45,94,76,98,98,2252,0,45,201,37,0,11,1992,2499,1204,97,0,2033.76,6,4,Xfinity -- UPN -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000108,2539,1991,25,99,86,0,595,46.5,64028,15,204,19,514,240,42,232,139,1303,606,697,265,23,1091,122,67,1114,1091,975,139,232,232,159,45,114,111,87,65,2218,14,81,224,2,14,58,1960,2432,1303,91,0,5160.45,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000109,2383,1686,116,128,19,0,857,44.8,83077,0,248,35,403,387,56,178,30,1042,853,189,211,5,829,24,184,839,834,755,191,42,42,23,17,98,87,229,67,2330,10,8,28,7,11,17,1754,2189,1042,74,0,4929.85,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000110,3811,2820,27,52,91,6,1347,37.4,60841,0,588,174,458,368,18,357,240,1949,797,1152,446,47,1530,84,288,1577,1530,1345,319,126,86,161,139,303,295,270,211,3451,0,20,258,82,171,62,2870,3612,1949,133,0,7748.18,6,4,Xfinity -- UPN -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000111,3182,2213,57,24,68,0,1124,36.8,99500,0,275,43,410,358,76,139,97,1124,884,240,462,0,1075,31,18,1084,1084,955,31,47,47,39,30,25,25,57,57,2881,0,77,167,57,0,45,2135,3010,1124,84,0,6350.66,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000112,1935,1448,54,0,116,0,392,47.7,110288,0,138,0,482,333,114,12,19,831,661,170,136,5,757,44,25,770,765,692,35,22,1,9,4,62,51,40,35,1758,0,16,71,90,8,29,1634,1875,831,156,0,2406.13,4,3,Xfinity -- CenturyLink -- NMSurf -- Verizon,0,0,1,1
35001000113,3279,2144,358,193,36,11,1062,40.4,78396,0,468,72,535,255,8,267,225,1520,739,781,333,0,1323,140,57,1323,1323,1089,150,70,29,129,108,129,101,212,151,3115,0,27,90,47,8,0,2415,3136,1520,222,0,6532.73,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000114,2835,1835,31,195,34,0,1430,40.0,52361,0,429,94,232,262,0,312,164,1239,906,333,336,0,967,139,133,967,967,759,178,88,51,149,76,220,140,154,132,2641,0,46,64,84,64,20,2007,2768,1239,209,0,6356.36,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000115,3404,2737,73,216,0,0,972,37.1,61250,15,483,90,451,289,32,276,172,1702,658,1044,262,10,1522,77,93,1557,1547,1159,145,237,225,113,94,166,136,171,130,3306,0,49,49,0,0,21,2440,3261,1702,245,0,6744.73,6,4,Xfinity -- NMSurf -- Fusion -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000116,2907,2275,78,212,9,0,787,49.2,100459,0,314,72,684,357,45,68,21,1347,1042,305,279,16,1174,118,39,1190,1174,1050,106,55,36,72,37,71,51,81,81,2826,0,17,47,17,53,0,2244,2844,1347,203,0,5238.43,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000117,2199,1778,5,44,117,0,530,49.4,75714,0,245,39,490,267,163,291,50,1068,903,165,151,7,970,54,37,994,987,730,37,79,79,74,59,99,79,111,87,1903,0,4,261,31,13,34,1697,2141,1068,74,0,4721.09,6,4,Xfinity -- UPN -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
