Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
32001950100,2265,1818,122,10,71,0,316,36.0,61964,53,281,86,138,71,29,34,21,855,491,364,249,7,727,58,63,742,735,561,102,9,9,77,69,123,85,43,29,2076,51,80,32,26,53,37,1500,2172,855,180,1,2.16,5,4,Charter Communications Inc -- T-Mobile US -- Verizon -- Preferred Networks Inc. -- CC Communications Broadband,0,0,1,1
32001950301,4127,3210,64,185,86,5,588,43.9,54397,12,781,170,238,46,16,434,677,1838,890,948,477,0,1599,144,95,1599,1599,1268,215,140,73,223,167,287,204,228,221,3608,0,100,378,41,111,20,2996,4034,1838,345,1,2456.93,4,3,Charter Communications Inc -- T-Mobile US -- CC Communications Broadband -- Verizon,0,0,1,1
32001950302,5539,4528,188,94,298,31,680,33.5,70865,29,1035,283,575,90,49,261,51,2288,1024,1264,652,9,2158,23,98,2167,2158,1875,121,31,20,157,57,251,251,329,310,5042,0,13,210,274,109,56,3693,5036,2288,422,1,2386.51,4,3,Charter Communications Inc -- T-Mobile US -- CC Communications Broadband -- Verizon,0,0,1,1
32001950400,1004,636,92,0,6,0,585,12.3,100214,0,12,47,67,47,0,0,76,110,0,110,94,0,110,0,0,110,110,98,0,0,0,5,5,4,4,19,19,882,0,0,91,31,98,0,273,596,110,17,1,66.76,0,0,0,0,0,0,0
32001950500,1425,673,18,597,0,10,141,42.6,59181,3,252,60,83,40,17,95,106,547,435,112,119,0,430,36,81,430,430,327,106,14,4,81,42,71,37,60,44,1389,0,6,1,29,30,20,1026,1322,547,107,1,9.61,0,0,0,0,0,0,0
32001950600,5505,4384,0,135,204,0,641,41.9,112759,0,988,411,534,70,132,126,12,1821,1690,131,595,0,1757,59,5,1757,1757,1663,42,23,23,39,39,114,87,130,120,5173,0,68,236,28,18,27,3926,5214,1821,384,1,7.31,4,3,Charter Communications Inc -- Preferred Networks Inc. -- T-Mobile US -- CC Communications Broadband,0,0,1,1
32001950700,5544,4379,0,10,51,0,915,47.7,67665,30,1189,319,534,151,105,204,367,2136,1889,247,429,0,1811,214,111,1824,1824,1650,277,96,52,247,228,415,203,135,119,5183,0,26,88,247,154,15,4102,5435,2136,424,1,14.77,5,4,Charter Communications Inc -- T-Mobile US -- Verizon -- Preferred Networks Inc. -- CC Communications Broadband,0,0,1,1
32003000101,6833,2561,554,36,283,19,4249,38.3,77969,79,1310,183,388,122,49,357,240,1982,1428,554,694,0,1690,62,230,1690,1690,1439,120,82,67,77,55,137,128,379,177,4741,0,39,751,1302,1489,88,4345,6684,1982,761,0,4696.08,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003000103,6493,2472,441,66,304,78,3956,35.2,65661,30,1289,252,378,44,0,391,273,2043,788,1255,675,0,1697,200,146,1714,1714,1273,261,124,82,141,106,277,207,180,174,4488,29,72,572,1332,1485,94,4315,5971,2043,690,0,12494.32,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003000105,3916,1511,123,30,155,0,2588,34.5,75542,115,421,124,313,84,28,175,300,1208,917,291,486,0,1088,58,62,1114,1114,971,85,74,70,97,75,113,113,121,111,2728,0,4,283,901,770,95,2428,3597,1208,460,0,4968.17,8,4,TPx Communications -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003000106,4390,2041,507,13,328,0,2252,44.4,34720,111,1043,112,408,195,10,327,690,1931,686,1245,365,0,1367,117,447,1378,1367,991,406,151,88,544,238,279,157,305,249,3211,0,8,631,540,589,177,3420,4178,1931,775,0,8200.51,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
