Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
41001950100,2659,2420,26,18,4,18,121,59.6,52250,27,571,47,284,154,37,196,104,1165,906,259,220,21,945,91,108,972,951,509,166,98,48,50,21,216,192,214,179,2601,0,6,29,23,14,0,2138,2536,1165,189,1,2.37,8,3,The Greater Eastern Oregon Network -- Rally Networks -- Charter Communications Inc -- Cascade Utilities I -- TDS Telecom -- windwave -- Verizon -- CenturyLink,0,0,1,1
41001950200,3305,3069,30,8,8,4,12,44.5,50398,0,551,100,503,106,43,261,392,1414,979,435,392,0,1219,121,74,1219,1219,959,168,82,70,221,174,151,97,235,168,3250,0,39,16,0,4,17,2295,3098,1414,297,1,431.39,8,4,The Greater Eastern Oregon Network -- Charter Communications Inc -- Lightspeed Networks -- Ziply Fiber -- TDS Telecom -- windwave -- Verizon -- CenturyLink,0,0,1,1
41001950300,2874,2619,106,80,4,13,24,52.1,45556,12,600,173,211,85,3,232,221,1242,880,362,249,0,981,139,122,996,996,642,197,145,128,143,106,192,135,231,195,2780,0,0,94,0,0,3,2084,2701,1242,249,1,4.22,7,3,The Greater Eastern Oregon Network -- Rally Networks -- Charter Communications Inc -- TDS Telecom -- windwave -- Verizon -- CenturyLink,0,0,1,1
41001950400,2910,2806,21,0,20,0,220,44.4,66688,6,440,79,506,66,34,64,189,1257,926,331,271,8,1078,58,113,1094,1086,901,146,52,42,76,23,143,89,215,192,2866,0,0,0,44,0,0,2193,2761,1257,285,1,1361.49,7,3,The Greater Eastern Oregon Network -- Charter Communications Inc -- Lightspeed Networks -- TDS Telecom -- windwave -- Verizon -- CenturyLink,0,0,1,1
41001950500,2661,2226,13,56,0,0,328,40.1,56977,11,344,175,338,136,13,14,95,1022,761,261,238,11,856,57,98,878,867,663,129,27,19,79,66,137,92,212,159,2532,0,32,42,55,65,8,1982,2528,1022,211,1,13.33,9,4,The Greater Eastern Oregon Network -- Charter Communications Inc -- Lightspeed Networks -- Ziply Fiber -- Cascade Utilities I -- TDS Telecom -- windwave -- Verizon -- CenturyLink,0,0,1,1
41001950600,2276,2030,0,66,11,0,119,52.2,49063,0,359,56,302,100,33,146,311,904,606,298,199,0,769,75,60,777,777,659,98,38,30,79,77,168,124,188,156,2254,7,1,14,0,0,0,1723,2252,904,56,1,2.2,5,1,Eagle Telephone Systems -- Rally Networks -- Cascade Utilities I -- TDS Telecom -- CenturyLink,0,0,1,1
41003000101,3997,3713,31,0,59,6,320,29.9,60409,0,362,55,918,276,27,824,389,1649,622,1027,492,0,1596,21,32,1596,1596,1276,32,65,65,256,242,207,201,160,160,3803,0,31,53,110,15,23,2523,3716,1649,156,0,2957.7,5,5,Xfinity -- CASCO Communications Inc -- Alyrica -- T-Mobile US -- Verizon,0,0,1,1
41003000102,3341,2694,14,0,329,0,460,34.0,102454,0,195,61,722,356,29,140,196,1245,801,444,331,0,1162,25,58,1162,1162,1098,16,27,18,48,15,79,63,110,110,2775,0,159,106,301,99,124,2099,3158,1245,112,0,1469.9,6,5,Xfinity -- CASCO Communications Inc -- Alyrica -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
41003000202,5802,5173,83,0,289,0,40,39.8,77283,0,238,43,1502,830,263,426,374,2561,1513,1048,560,0,2488,31,42,2488,2488,2376,42,229,229,87,87,223,178,227,212,5217,0,31,243,311,0,65,4223,5615,2561,203,0,1125.65,8,6,Xfinity -- CASCO Communications Inc -- Pioneer Telephone Cooperative -- Lightspeed Networks -- Alyrica -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
41003000401,3096,2729,0,37,142,0,147,47.8,125557,0,174,4,601,433,146,179,9,1245,920,325,333,0,1175,60,10,1185,1185,1028,0,69,69,7,7,0,0,38,38,2505,0,92,341,158,0,118,2268,3006,1245,96,0,4526.99,6,5,Xfinity -- CASCO Communications Inc -- Alyrica -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
