Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
54001965500,3450,3054,0,0,61,0,32,43.4,42755,0,1191,157,123,70,28,485,364,1282,1107,175,312,22,1034,125,101,1065,1043,868,178,93,93,52,44,313,253,288,197,3412,0,17,21,0,0,0,2427,3248,1282,256,1,26.42,9,6,Micrologic -- Charter Communications Inc -- Lynx WV -- Shentel -- Optimum -- TDS Telecom -- T-Mobile US -- Citynet LLC -- FRONTIER,0,0,1,1
54001965600,3559,3236,198,0,23,0,22,43.6,40000,62,738,205,228,99,66,360,343,1516,907,609,279,0,1204,149,163,1204,1204,999,297,197,92,174,55,295,207,248,248,3476,7,32,6,38,26,17,2313,3396,1516,221,1,232.55,7,5,Micrologic -- Lynx WV -- Optimum -- TDS Telecom -- Citynet LLC -- T-Mobile US -- FRONTIER,0,0,1,1
54001965700,4632,4525,12,0,0,0,0,45.8,46466,95,1890,290,275,107,0,403,511,1758,1464,294,455,0,1242,199,317,1282,1282,844,476,88,44,199,132,256,122,372,290,4632,0,0,0,0,0,0,3459,4406,1758,353,1,29.34,8,6,Micrologic -- Lynx WV -- Optimum -- TDS Telecom -- T-Mobile US -- Citynet LLC -- Verizon -- FRONTIER,0,0,1,1
54001965800,3886,3498,5,26,0,0,128,37.6,45788,49,1064,185,103,114,0,354,458,1233,870,363,460,3,988,46,196,1014,1011,829,207,82,72,184,94,253,181,199,190,3864,0,21,1,0,42,5,2402,3738,1233,289,1,125.72,5,3,Micrologic -- Lynx WV -- Shentel -- T-Mobile US -- FRONTIER,0,0,1,1
54003971101,7361,5923,625,0,272,0,579,33.2,71025,50,1412,256,899,88,105,129,200,2708,2121,587,1140,0,2466,79,163,2466,2466,2113,221,44,26,73,55,281,251,252,212,6741,81,32,263,244,16,0,4704,6899,2708,271,1,746.68,6,5,Xfinity -- Shentel -- TDS Telecom -- T-Mobile US -- Verizon -- FRONTIER,0,0,1,1
54003971103,1797,1671,51,0,20,0,69,47.0,80516,95,435,45,182,50,15,92,29,746,628,118,197,0,631,46,69,631,631,551,84,37,37,52,52,42,11,174,116,1740,0,0,11,46,0,20,1303,1728,746,68,0,557.01,5,4,Xfinity -- One Ring Networks -- TDS Telecom -- Verizon -- FRONTIER,0,0,1,1
54003971104,3919,3727,67,0,56,0,5,49.1,77813,0,1007,107,480,255,0,120,92,1465,1186,279,471,0,1316,131,18,1316,1316,1214,56,73,22,79,52,64,64,263,192,3587,18,10,253,51,74,71,2883,3730,1465,107,0,429.73,5,4,Xfinity -- One Ring Networks -- T-Mobile US -- Verizon -- FRONTIER,0,0,1,1
54003971105,4528,3602,453,0,40,0,166,49.4,74222,0,1138,242,405,137,46,71,56,2309,2168,141,708,0,1998,78,233,2012,2012,1577,297,24,24,63,17,319,221,249,175,4407,0,64,57,0,0,48,3379,4340,2309,129,0,672.19,3,3,Xfinity -- FRONTIER -- T-Mobile US,0,0,1,1
54003971203,3512,3413,11,0,11,0,17,38.4,60545,45,806,191,233,262,16,162,182,1235,1125,110,455,17,1094,43,81,1111,1094,785,92,56,56,51,51,192,122,250,214,3479,0,0,27,6,0,0,2203,3030,1235,92,0,149.3,7,5,Xfinity -- One Ring Networks -- TDS Telecom -- T-Mobile US -- Morgan Wireless  LLC -- Verizon -- FRONTIER,0,0,1,1
54003971204,2983,2931,24,0,0,0,0,52.7,92101,0,851,121,241,462,39,50,47,1369,1259,110,290,0,1178,106,85,1211,1211,1049,144,9,9,53,53,102,102,41,41,2907,0,46,30,0,0,0,2442,2926,1369,128,0,116.08,7,5,Xfinity -- One Ring Networks -- TDS Telecom -- T-Mobile US -- Morgan Wireless  LLC -- Verizon -- FRONTIER,0,0,1,1
