puma22,cd118,stab,PUMA22name,hus20,afact
0100100,0104,AL,"Lauderdale, Colbert & Franklin Counties",62403,0.7242 
0100100,0105,AL,"Lauderdale, Colbert & Franklin Counties",23760,0.2758 
0100200,0105,AL,Limestone County,42692,1 
0100300,0104,AL,Morgan & Lawrence Counties--Decatur City,15225,0.2223 
0100300,0105,AL,Morgan & Lawrence Counties--Decatur City,53265,0.7777 
0100401,0105,AL,Madison County (North & East)--Huntsville City (East),45150,1 
0100402,0105,AL,"Huntsville (North & Far West), Madison (East) & Triana Cities",67835,1 
0100403,0105,AL,Huntsville City (Central & South),51204,1 
0100501,0104,AL,Marshall & Madison (Far Southeast) Counties,41245,0.8799 
0100501,0105,AL,Marshall & Madison (Far Southeast) Counties,5631,0.1201 
0100600,0104,AL,DeKalb & Jackson Counties,30584,0.5539 
0100600,0105,AL,DeKalb & Jackson Counties,24627,0.4461 
0100700,0103,AL,Etowah & Cherokee Counties,14513,0.2348 
0100700,0104,AL,Etowah & Cherokee Counties,47306,0.7652 
0100800,0103,AL,Calhoun County,53052,1 
0100900,0103,AL,St. Clair & Blount Counties,37775,0.6054 
0100900,0106,AL,St. Clair & Blount Counties,24622,0.3946 
0101000,0104,AL,"Cullman, Marion & Winston Counties",66233,1 
0101100,0104,AL,West Alabama,14831,0.2466 
0101100,0106,AL,West Alabama,9002,0.1497 
0101100,0107,AL,West Alabama,36306,0.6037 
0101201,0104,AL,Tuscaloosa County (Outer)--Northport City (North & West),13448,0.3221 
0101201,0107,AL,Tuscaloosa County (Outer)--Northport City (North & West),28302,0.6779 
0101202,0104,AL,Tuscaloosa & Northport (Southeast) Cities,4043,0.0677 
0101202,0107,AL,Tuscaloosa & Northport (Southeast) Cities,55667,0.9323 
0101301,0104,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",29975,0.5811 
0101301,0106,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",19100,0.3703 
0101301,0107,AL,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",2506,0.0486 
0101401,0106,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",3789,0.0743 
0101401,0107,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",47192,0.9257 
0101402,0106,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",53732,0.9657 
0101402,0107,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",1906,0.0343 
0101403,0106,AL,Birmingham City,21289,0.218 
0101403,0107,AL,Birmingham City,76368,0.782 
0101404,0106,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",68541,0.8354 
0101404,0107,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",13504,0.1646 
0101501,0106,AL,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",55264,1 
0101502,0103,AL,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,5744,0.1079 
0101502,0106,AL,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,47490,0.8921 
0101600,0103,AL,"Talladega, Randolph, Cleburne & Clay Counties",64184,1 
0101700,0102,AL,"Autauga, Dallas, Lowndes & Perry Counties",24350,0.4688 
0101700,0107,AL,"Autauga, Dallas, Lowndes & Perry Counties",27592,0.5312 
0101801,0102,AL,Montgomery City (West),22787,0.439 
0101801,0107,AL,Montgomery City (West),29123,0.561 
0101802,0102,AL,Montgomery City (East) & Pike Road Town (Northwest),47094,0.9883 
